KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 3
WORD_ORDER: [hailed, shier, tales, coy, bale, mans, find, sires, dipped, falls, sicker, sue, dubbed, tin, core]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 45.454548, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 31.25, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [227.0022, 180.13606, 291.33658, 177.7892, 271.3614, 251.39014, 131.09538, 202.54382, 236.54175, 280.82913, 205.52615, 167.72, 447.1465, 108.90822, 184.3285]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [227.0022, 180.13606, 291.33658, 177.7892, 271.3614, 251.39014, 131.09538, 202.54382, 236.54175, 280.82913, 205.52615, 167.72, 424.1344, 108.90822, 184.3285]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [227.0022, 180.13606, 291.33658, 177.7892, 271.3614, 251.39014, 131.09538, 202.54382, 236.54175, 280.82913, 205.52615, 167.72, 271.97977, 108.90822, 184.3285]
KEYBOARD_TYPE: leapSurface
PRACTICE_WORDS_PER_INPUT: 9
WORD_ORDER: [bales, hot, vale, mailed, tub, docket, galls, dot, rubbed, rubs, fire, fores, ripped, owns, shies]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [1787.7212, 520.09296, 1542.8914, 2075.4373, 437.07623, 2052.628, 2223.2725, 826.7671, 947.89215, 843.5981, 799.4433, 852.9229, 1148.1344, 2957.245, 1005.65173]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [1787.7212, 520.09296, 1542.8914, 2075.4373, 437.07623, 2052.628, 2223.2725, 826.7671, 947.89215, 843.5981, 799.4433, 852.9229, 1148.1344, 2957.245, 1005.65173]
TIME_DURATION_TOUCH_ONLY: [2.0491476, 1.0399169, 1.5432031, 2.261381, 0.7976694, 2.1449203, 2.9845974, 0.9567968, 1.6767621, 1.2320518, 1.0976723, 1.1361865, 1.303899, 1.477841, 1.4956757]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [2.0491476, 1.0399169, 1.5432031, 2.261381, 0.7976694, 2.1449203, 2.9845974, 0.9567968, 1.6767621, 1.2320518, 1.0976723, 1.1361865, 1.303899, 1.477841, 1.4956757]
AVERAGE_PIXEL_VELOCITY: [878.8169, 503.16336, 1005.715, 915.2855, 546.1768, 954.46686, 744.8861, 855.13025, 568.56714, 683.7851, 726.3737, 741.3636, 871.8018, 764.5241, 670.2026]
REACTION_TIME_FIRST_PRESSED: [2.0282474, 1.8004904, 1.2503631, 1.200437, 1.2670405, 1.1336778, 1.4005115, 1.1837339, 1.0836638, 1.383769, 1.2337422, 1.2003756, 1.0989546, 5.769018, 1.267078]
REACTION_TIME_FIRST_TOUCH: [2.0282474, 1.8004904, 1.2503631, 1.200437, 1.2670405, 1.1336778, 1.4005115, 1.1837339, 1.0836638, 1.383769, 1.2337422, 1.2003756, 1.0989546, 1.3670819, 1.267078]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2504643, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0675497, 0.0]
TEXT_ENTRY_RATE_WPM: [23.424376, 23.078768, 23.328102, 26.532461, 30.087652, 27.973066, 16.082571, 25.083696, 35.783253, 29.21955, 32.796673, 42.246586, 46.015835, 24.359861, 32.092518]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [23.424376, 23.078768, 23.328102, 26.532461, 30.087652, 27.973066, 16.082571, 25.083696, 35.783253, 29.21955, 32.796673, 42.246586, 46.015835, 24.359861, 32.092518]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [14.715279, 12.674239, 17.182339, 20.798323, 17.435865, 21.960606, 13.682671, 16.818258, 26.082932, 18.349882, 20.588358, 25.678751, 29.964375, 6.6235595, 21.717464]
