PRACTICE_WORD_COUNT: 5
TIME_EXPERIMENT_START: 1336488787779
TIME_WORD_START: 1336490070891; WORD_VALUE: got
TIME_SPECIAL: 1337214353268; POINT_POSITION: (482.693, 189.884, 0); TOOL_DIRECTION: (-0.104953, -0.462404, -0.880436)
TIME_SPECIAL: 1337230972277; POINT_POSITION: (479.571, 189.534, 0); TOOL_DIRECTION: (-0.10752, -0.463175, -0.879721)
TIME_SPECIAL: 1337247734644; POINT_POSITION: (476.243, 189.299, 0); TOOL_DIRECTION: (-0.111233, -0.46358, -0.879045)
TIME_SPECIAL: 1337264351092; POINT_POSITION: (474.22, 189.154, 0); TOOL_DIRECTION: (-0.113116, -0.465587, -0.877744)
TIME_SPECIAL: 1337281009354; POINT_POSITION: (468.568, 188.785, 0); TOOL_DIRECTION: (-0.120087, -0.466207, -0.876487)
TIME_SPECIAL: 1337297693215; POINT_POSITION: (460.883, 188.96, 0); TOOL_DIRECTION: (-0.130089, -0.458889, -0.878918)
TIME_SPECIAL: 1337314368258; POINT_POSITION: (453.275, 189.352, 0); TOOL_DIRECTION: (-0.136001, -0.45727, -0.878868)
TIME_SPECIAL: 1337331041311; POINT_POSITION: (447.774, 189.779, 0); TOOL_DIRECTION: (-0.138721, -0.455176, -0.879529)
TIME_SPECIAL: 1337347727732; POINT_POSITION: (444.841, 189.892, 0); TOOL_DIRECTION: (-0.13936, -0.457933, -0.877996)
TIME_SPECIAL: 1337364387416; POINT_POSITION: (443.859, 189.75, 0); TOOL_DIRECTION: (-0.137764, -0.460899, -0.876695)
TIME_SPECIAL: 1337381086636; POINT_POSITION: (443.538, 189.722, 0); TOOL_DIRECTION: (-0.137371, -0.461376, -0.876505)
TIME_SPECIAL: 1337397748311; POINT_POSITION: (442.253, 189.813, 0); TOOL_DIRECTION: (-0.138848, -0.460885, -0.876531)
TIME_SPECIAL: 1337414411408; POINT_POSITION: (442.253, 189.813, 0); TOOL_DIRECTION: (-0.138848, -0.460885, -0.876531)
TIME_SPECIAL: 1337431046630; POINT_POSITION: (439.507, 189.995, 0); TOOL_DIRECTION: (-0.14198, -0.458777, -0.877135)
TIME_SPECIAL: 1337447737886; POINT_POSITION: (438.506, 190.127, 0); TOOL_DIRECTION: (-0.142809, -0.455774, -0.878564)
TIME_SPECIAL: 1337464443081; POINT_POSITION: (437.923, 190.261, 0); TOOL_DIRECTION: (-0.142744, -0.454335, -0.87932)
TIME_SPECIAL: 1337481101911; POINT_POSITION: (437.75, 190.291, 0); TOOL_DIRECTION: (-0.142459, -0.453816, -0.879634)
TIME_SPECIAL: 1337497826731; POINT_POSITION: (437.316, 190.249, 0); TOOL_DIRECTION: (-0.143587, -0.45514, -0.878766)
