PRACTICE_WORD_COUNT: 2
TIME_SPECIAL: 1437658896319; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1437909040744; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1438075763872; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S
TIME_SPECIAL: 1438259158914; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1438509279731; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1438592670308; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1438742742854; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1439159564612; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1439392993603; DIRECTION_PRESSED: UP
TIME_PRESSED: 1439593143048; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 1439793235036; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1440043317737; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1440293440829; DIRECTION_PRESSED: UP
TIME_PRESSED: 1440510210136; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 1440643570377; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1440877029518; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1440893678109; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1441110445709; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1441577312224; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1441810761979; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1442060858049; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1442494412022; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1442711171374; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1443011315329; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1443211436899; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 1443378148365; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1443628258088; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D
TIME_PRESSED: 1443661605331; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 1443661638041; WORD_VALUE: shied
TIME_WORD_START: 1443661673597; WORD_VALUE: dubbed
TIME_SPECIAL: 1444361881494; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1444645388806; DIRECTION_PRESSED: UP
TIME_PRESSED: 1444812114778; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D
