PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 1664104557133260
TIME_WORD_START: 1664104558331134; WORD_VALUE: the
TIME_WORD_START: 1664106957311915; WORD_VALUE: brown
TIME_SPECIAL: 1664106988403003; POINT_POSITION: (255, 265, 0)
TIME_SPECIAL: 1664107019526869; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107051285099; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107082051059; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107113882790; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107144605378; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107175781556; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107207111027; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107238307402; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107269835194; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107300850795; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107332105109; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107363352140; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107394511432; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107425749192; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107457250167; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107488745844; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107519974996; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107550934312; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107582152207; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107613426386; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107644639977; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107675917799; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107707330042; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107738253269; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107769458251; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107800726472; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107831993036; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107863258608; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107894484117; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107925809947; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107957016585; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107988229844; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664108019540444; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664108050762643; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664108082010336; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664108113258690; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664108144839788; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664108175766988; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664108207045803; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664108238302766; POINT_POSITION: (0, 0, 0)
