PRACTICE_WORD_COUNT: 1
TIME_EXPERIMENT_START: 1598580476020461
TIME_WORD_START: 1598580476496900; WORD_VALUE: limped
TIME_SPECIAL: 1598581605658276; POINT_POSITION: (632.204, 199.533, 130.991); TOOL_DIRECTION: (0.0302555, 0.206999, -0.977873)
TIME_SPECIAL: 1598581622314021; POINT_POSITION: (643.87, 196.46, 125.472); TOOL_DIRECTION: (0.0375319, 0.196895, -0.979706)
TIME_SPECIAL: 1598581638983418; POINT_POSITION: (654.124, 194.002, 120.529); TOOL_DIRECTION: (0.044187, 0.189708, -0.980846)
TIME_SPECIAL: 1598581655706290; POINT_POSITION: (659.563, 190.003, 111.786); TOOL_DIRECTION: (0.0418682, 0.171896, -0.984225)
TIME_SPECIAL: 1598581672350372; POINT_POSITION: (665.3, 189.768, 103.378); TOOL_DIRECTION: (0.0462791, 0.169273, -0.984482)
TIME_SPECIAL: 1598581689039680; POINT_POSITION: (670.843, 186.737, 91.4807); TOOL_DIRECTION: (0.0500091, 0.16008, -0.985836)
TIME_SPECIAL: 1598581705740082; POINT_POSITION: (674.817, 180.228, 77.6308); TOOL_DIRECTION: (0.0516146, 0.139944, -0.988813)
TIME_SPECIAL: 1598581722431097; POINT_POSITION: (681.59, 185.335, 64.4608); TOOL_DIRECTION: (0.0618864, 0.147519, -0.987121)
TIME_SPECIAL: 1598581739090254; POINT_POSITION: (682.812, 185.712, 46.7308); TOOL_DIRECTION: (0.0624564, 0.143365, -0.987697)
TIME_PRESSED: 1598581739130360; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1598581755745998; POINT_POSITION: (683.229, 186.487, 32.7235); TOOL_DIRECTION: (0.0618165, 0.14069, -0.988122)
TIME_SPECIAL: 1598581772390934; POINT_POSITION: (683.577, 188.073, 21.828); TOOL_DIRECTION: (0.0611522, 0.140391, -0.988206)
TIME_SPECIAL: 1598581789087921; POINT_POSITION: (684.054, 189.845, 13.1912); TOOL_DIRECTION: (0.0609021, 0.141287, -0.988094)
TIME_SPECIAL: 1598581805749639; POINT_POSITION: (684.383, 190.794, 9.58984); TOOL_DIRECTION: (0.0610104, 0.142144, -0.987964)
TIME_SPECIAL: 1598581822421596; POINT_POSITION: (685.758, 193.446, 3.82196); TOOL_DIRECTION: (0.0627998, 0.146174, -0.987264)
TIME_SPECIAL: 1598581839127402; POINT_POSITION: (685.287, 193.404, 0); TOOL_DIRECTION: (0.0616572, 0.144986, -0.987511)
TIME_SPECIAL: 1598581855731947; POINT_POSITION: (681.733, 195.28, 0); TOOL_DIRECTION: (0.0555538, 0.146592, -0.987636)
TIME_SPECIAL: 1598581872445432; POINT_POSITION: (679.022, 197.341, 0); TOOL_DIRECTION: (0.0516452, 0.147968, -0.987643)
