PRACTICE_WORD_COUNT: 1
TIME_SPECIAL: 1599203082235105; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599203282354059; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599203599178704; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599203899327694; DIRECTION_PRESSED: UP
TIME_PRESSED: 1599204149451711; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599204299499611; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599204499599791; KEY_PRESSED: VK_A; KEY_EXPECTED: VK_A; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599204599599108; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599205116519098; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599205149869555; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599205183236225; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599205216511873; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599205249916943; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599205466653241; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599205750206504; KEY_PRESSED: VK_K; KEY_EXPECTED: VK_L; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_PRESSED: 1599206367156816; KEY_PRESSED: VK_BACK_SPACE; KEY_EXPECTED: VK_BACK_SPACE; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599206517191631; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599206717238905; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599206883994887; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599207400848886; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599207434206738; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599207734345773; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_PRESSED: 1599208051202276; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_WORD_END: 1599208051236693; WORD_VALUE: proposals
TIME_WORD_START: 1599208051289315; WORD_VALUE: plain
TIME_SPECIAL: 1599208451374192; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599208951562777; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599208984900718; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599209018283886; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599209051622111; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599209084944693; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599209118296003; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599209385124118; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599209635158251; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599209801940970; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599210002043426; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599210252131318; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1599210435549586; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599210602271149; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599211119220153; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599211152574023; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599211185915662; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599211219229710; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599211252592967; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599211285886819; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599211319253489; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599211352651163; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599211769502432; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599212086313709; KEY_PRESSED: VK_A; KEY_EXPECTED: VK_A; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599212386468672; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599212653243597; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599212886662946; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599213153458351; DIRECTION_PRESSED: UP
TIME_PRESSED: 1599213303513077; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599213486938456; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599213753695461; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599213987149796; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599214203946679; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1599214353980926; KEY_PRESSED: VK_N; KEY_EXPECTED: VK_N; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_PRESSED: 1599214637416146; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_WORD_END: 1599214637447435; WORD_VALUE: plain
TIME_WORD_START: 1599214637484128; WORD_VALUE: nonforfeiture
TIME_SPECIAL: 1599215054302117; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599215504485354; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599215771259141; KEY_PRESSED: VK_N; KEY_EXPECTED: VK_N; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599216004648624; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599216221462289; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599216421636709; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599216905113230; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599217105141731; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599217371976389; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599217538701366; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599217772141194; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599218005545752; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599218239033366; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599218472464945; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1599218739231621; KEY_PRESSED: VK_N; KEY_EXPECTED: VK_N; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599218989419068; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599219206144842; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599219506307485; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599219723026432; KEY_PRESSED: VK_F; KEY_EXPECTED: VK_F; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599219839768533; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599220323338635; DIRECTION_PRESSED: RIGHT
