PRACTICE_WORD_COUNT: 2
TIME_EXPERIMENT_START: 1598834239085987
TIME_WORD_START: 1598834239656292; WORD_VALUE: channelled
TIME_SPECIAL: 1598835452023287; POINT_POSITION: (294.584, 297.264, 124.182)
TIME_SPECIAL: 1598835468681307; POINT_POSITION: (282.838, 288.883, 124.182)
TIME_SPECIAL: 1598835485292110; POINT_POSITION: (274.053, 287.438, 124.182)
TIME_SPECIAL: 1598835501956671; POINT_POSITION: (267.188, 280.955, 124.182)
TIME_SPECIAL: 1598835518710832; POINT_POSITION: (261.973, 273.162, 124.182)
TIME_SPECIAL: 1598835535358896; POINT_POSITION: (258.826, 262.979, 124.182)
TIME_SPECIAL: 1598835552014925; POINT_POSITION: (257.027, 250.123, 124.182)
TIME_SPECIAL: 1598835568746615; POINT_POSITION: (258.227, 237.143, 124.182)
TIME_SPECIAL: 1598835585382448; POINT_POSITION: (260.785, 221.614, 124.182)
TIME_SPECIAL: 1598835602088538; POINT_POSITION: (262.511, 210.291, 124.182)
TIME_SPECIAL: 1598835618741154; POINT_POSITION: (263.393, 204.522, 124.182)
TIME_SPECIAL: 1598835635413395; POINT_POSITION: (264.741, 194.331, 124.182)
TIME_SPECIAL: 1598835652071984; POINT_POSITION: (265.758, 184.555, 124.182)
TIME_SPECIAL: 1598835668758163; POINT_POSITION: (268.331, 172.957, 124.182)
TIME_SPECIAL: 1598835685430974; POINT_POSITION: (272.884, 163.432, 124.182)
TIME_SPECIAL: 1598835702124833; POINT_POSITION: (274.352, 156.468, 124.182)
TIME_SPECIAL: 1598835718755262; POINT_POSITION: (275.243, 150.991, 124.182)
TIME_SPECIAL: 1598835735448268; POINT_POSITION: (276.157, 146.147, 124.182)
TIME_SPECIAL: 1598835752104296; POINT_POSITION: (277.632, 141.095, 124.182)
TIME_SPECIAL: 1598835768756058; POINT_POSITION: (278.476, 138.336, 124.182)
TIME_SPECIAL: 1598835785449633; POINT_POSITION: (279.753, 136.393, 124.182)
TIME_SPECIAL: 1598835802212896; POINT_POSITION: (281.839, 134.999, 124.182)
TIME_SPECIAL: 1598835818806632; POINT_POSITION: (282.563, 134.9, 124.182)
TIME_SPECIAL: 1598835835532064; POINT_POSITION: (282.934, 135.007, 124.182)
TIME_SPECIAL: 1598835852129782; POINT_POSITION: (285.562, 135.932, 124.182)
TIME_SPECIAL: 1598835868818522; POINT_POSITION: (287.077, 136.477, 124.182)
TIME_SPECIAL: 1598835885461181; POINT_POSITION: (288.973, 137.939, 124.182)
TIME_SPECIAL: 1598835902235537; POINT_POSITION: (290.973, 139.509, 124.182)
TIME_SPECIAL: 1598835918821594; POINT_POSITION: (292.056, 141.57, 124.182)
TIME_SPECIAL: 1598835935564946; POINT_POSITION: (292.742, 142.719, 124.182)
TIME_SPECIAL: 1598835952202770; POINT_POSITION: (293.359, 143.732, 124.182)
TIME_SPECIAL: 1598835968912842; POINT_POSITION: (293.237, 144.699, 124.182)
TIME_SPECIAL: 1598835985564035; POINT_POSITION: (295.107, 145.466, 124.182)
TIME_SPECIAL: 1598836002247086; POINT_POSITION: (297.972, 145.135, 124.182)
TIME_SPECIAL: 1598836018923879; POINT_POSITION: (299.294, 144.449, 124.182)
TIME_SPECIAL: 1598836035605507; POINT_POSITION: (300.465, 143.689, 124.182)
TIME_SPECIAL: 1598836052339188; POINT_POSITION: (300.539, 143.581, 124.182)
TIME_SPECIAL: 1598836068924959; POINT_POSITION: (300.391, 143.411, 124.182)
TIME_SPECIAL: 1598836085623370; POINT_POSITION: (299.8, 142.811, 124.182)
TIME_SPECIAL: 1598836102276269; POINT_POSITION: (298.66, 142.301, 124.182)
TIME_SPECIAL: 1598836118955338; POINT_POSITION: (297.358, 141.676, 124.182)
TIME_SPECIAL: 1598836135645784; POINT_POSITION: (295.979, 140.985, 124.182)
TIME_SPECIAL: 1598836152250044; POINT_POSITION: (294.538, 140.368, 124.182)
TIME_SPECIAL: 1598836168999938; POINT_POSITION: (293.402, 139.981, 124.182)
TIME_SPECIAL: 1598836185659949; POINT_POSITION: (292.435, 139.768, 124.182)
TIME_SPECIAL: 1598836202349826; POINT_POSITION: (291.772, 140.057, 124.182)
TIME_SPECIAL: 1598836218980255; POINT_POSITION: (291.065, 140.425, 124.182)
TIME_SPECIAL: 1598836235703696; POINT_POSITION: (291.299, 140.285, 124.182)
TIME_SPECIAL: 1598836252352329; POINT_POSITION: (291.384, 140.043, 124.182)
TIME_SPECIAL: 1598836269062402; POINT_POSITION: (291.802, 139.293, 124.182)
TIME_SPECIAL: 1598836285679177; POINT_POSITION: (292.239, 137.769, 124.182)
TIME_SPECIAL: 1598836302349428; POINT_POSITION: (292.16, 136.931, 124.182)
TIME_SPECIAL: 1598836318986683; POINT_POSITION: (295.376, 130.639, 124.182)
TIME_SPECIAL: 1598836335729751; POINT_POSITION: (295.745, 128.325, 124.182)
TIME_SPECIAL: 1598836352407681; POINT_POSITION: (295.623, 127.06, 124.182)
TIME_SPECIAL: 1598836369089594; POINT_POSITION: (295.334, 126.002, 124.182)
TIME_SPECIAL: 1598836385700965; POINT_POSITION: (294.73, 124.623, 124.182)
TIME_SPECIAL: 1598836402409047; POINT_POSITION: (294.345, 123.295, 124.182)
TIME_SPECIAL: 1598836419085839; POINT_POSITION: (294.349, 122.154, 124.182)
TIME_SPECIAL: 1598836435743575; POINT_POSITION: (294.439, 121.129, 124.182)
TIME_SPECIAL: 1598836452417238; POINT_POSITION: (294.819, 120.331, 124.182)
TIME_SPECIAL: 1598836469101996; POINT_POSITION: (295.769, 119.512, 124.182)
