PRACTICE_WORD_COUNT: 16
TIME_EXPERIMENT_START: 154488067746712
TIME_WORD_START: 154488068448715; WORD_VALUE: shirr
TIME_SPECIAL: 154488766643987; POINT_POSITION: (-15.1843, 422.477, 90.1021); TOOL_DIRECTION: (-0.173558, 0.205415, -0.963163)
TIME_SPECIAL: 154488783309449; POINT_POSITION: (-29.2401, 423.863, 95.6145); TOOL_DIRECTION: (-0.176061, 0.208091, -0.962133)
TIME_SPECIAL: 154488799946468; POINT_POSITION: (-44.018, 424.879, 102.077); TOOL_DIRECTION: (-0.17825, 0.210371, -0.961234)
TIME_SPECIAL: 154488816686738; POINT_POSITION: (-60.9554, 426.259, 105.328); TOOL_DIRECTION: (-0.181636, 0.213438, -0.959923)
TIME_SPECIAL: 154488833349925; POINT_POSITION: (-72.1366, 425.809, 108.383); TOOL_DIRECTION: (-0.184216, 0.212767, -0.95958)
TIME_SPECIAL: 154488849971015; POINT_POSITION: (-96.6589, 423.31, 116.183); TOOL_DIRECTION: (-0.189315, 0.206961, -0.959858)
TIME_SPECIAL: 154488866694219; POINT_POSITION: (-121.435, 419.872, 122.974); TOOL_DIRECTION: (-0.195203, 0.200548, -0.96004)
TIME_SPECIAL: 154488883406046; POINT_POSITION: (-144.988, 412.398, 132.097); TOOL_DIRECTION: (-0.200464, 0.184929, -0.962089)
TIME_SPECIAL: 154488900039366; POINT_POSITION: (-168.263, 407.311, 132.054); TOOL_DIRECTION: (-0.205093, 0.172391, -0.963441)
TIME_SPECIAL: 154488916752615; POINT_POSITION: (-192.965, 399.401, 134.62); TOOL_DIRECTION: (-0.20957, 0.151511, -0.965984)
TIME_SPECIAL: 154488933361189; POINT_POSITION: (-213.652, 390.448, 134.83); TOOL_DIRECTION: (-0.211622, 0.1259, -0.969208)
TIME_SPECIAL: 154488950073585; POINT_POSITION: (-225.646, 381.328, 130.712); TOOL_DIRECTION: (-0.209001, 0.0985527, -0.972937)
TIME_SPECIAL: 154488966768060; POINT_POSITION: (-234.136, 371.434, 129.526); TOOL_DIRECTION: (-0.205027, 0.0701789, -0.976237)
TIME_SPECIAL: 154488983389150; POINT_POSITION: (-234.136, 371.434, 129.526); TOOL_DIRECTION: (-0.205027, 0.0701789, -0.976237)
TIME_SPECIAL: 154489000087039; POINT_POSITION: (-254.264, 355.034, 125.183); TOOL_DIRECTION: (-0.201784, 0.0252098, -0.979105)
TIME_SPECIAL: 154489016751079; POINT_POSITION: (-275.054, 343.603, 132.822); TOOL_DIRECTION: (-0.203605, -0.00456809, -0.979043)
TIME_SPECIAL: 154489033448968; POINT_POSITION: (-295.188, 334.885, 127.12); TOOL_DIRECTION: (-0.206641, -0.0293081, -0.977978)
TIME_SPECIAL: 154489050096511; POINT_POSITION: (-305.946, 331.087, 125.451); TOOL_DIRECTION: (-0.208928, -0.0381483, -0.977187)
TIME_SPECIAL: 154489066732107; POINT_POSITION: (-319.868, 324.982, 113.331); TOOL_DIRECTION: (-0.209805, -0.0514126, -0.976391)
TIME_SPECIAL: 154489083407525; POINT_POSITION: (-326.082, 318.229, 95.6807); TOOL_DIRECTION: (-0.20595, -0.0669838, -0.976267)
TIME_SPECIAL: 154489100082374; POINT_POSITION: (-332.43, 314.268, 69.7698); TOOL_DIRECTION: (-0.203654, -0.074513, -0.976203)
TIME_SPECIAL: 154489116801596; POINT_POSITION: (-338.676, 310.304, 44.2309); TOOL_DIRECTION: (-0.201142, -0.0825187, -0.97608)
TIME_SPECIAL: 154489133436054; POINT_POSITION: (-344.836, 308.403, 21.0335); TOOL_DIRECTION: (-0.199427, -0.0854139, -0.976183)
TIME_SPECIAL: 154489150152432; POINT_POSITION: (-347.445, 308.096, 0); TOOL_DIRECTION: (-0.196784, -0.0852508, -0.976733)
TIME_SPECIAL: 154489166849468; POINT_POSITION: (-349.603, 308.928, 0); TOOL_DIRECTION: (-0.192702, -0.0825935, -0.977775)
TIME_SPECIAL: 154489183494735; POINT_POSITION: (-351.911, 311.51, 0); TOOL_DIRECTION: (-0.189884, -0.0749167, -0.978944)
TIME_SPECIAL: 154489200157068; POINT_POSITION: (-354.663, 314.571, 0); TOOL_DIRECTION: (-0.186794, -0.0653288, -0.980225)
TIME_SPECIAL: 154489216866619; POINT_POSITION: (-362.195, 314.908, 0); TOOL_DIRECTION: (-0.185606, -0.0615995, -0.980691)
TIME_SPECIAL: 154489233515584; POINT_POSITION: (-370.48, 312.018, 0); TOOL_DIRECTION: (-0.184302, -0.0661652, -0.98064)
TIME_SPECIAL: 154489250203802; POINT_POSITION: (-377.592, 308.006, 0); TOOL_DIRECTION: (-0.182643, -0.0734624, -0.980431)
TIME_SPECIAL: 154489266857603; POINT_POSITION: (-381.575, 305.8, 0); TOOL_DIRECTION: (-0.182426, -0.0771523, -0.980188)
TIME_SPECIAL: 154489283499172; POINT_POSITION: (-389.838, 301.504, 0); TOOL_DIRECTION: (-0.182606, -0.0845319, -0.979546)
TIME_SPECIAL: 154489300244847; POINT_POSITION: (-396.413, 297.429, 0); TOOL_DIRECTION: (-0.182521, -0.0912512, -0.978958)
TIME_SPECIAL: 154489316856266; POINT_POSITION: (-399.289, 292.784, 0); TOOL_DIRECTION: (-0.18071, -0.0997578, -0.978464)
TIME_SPECIAL: 154489333593123; POINT_POSITION: (-398.615, 288.26, 0); TOOL_DIRECTION: (-0.177441, -0.107132, -0.978283)
TIME_SPECIAL: 154489350275083; POINT_POSITION: (-397.531, 285.441, 0); TOOL_DIRECTION: (-0.174976, -0.112118, -0.978168)
TIME_SPECIAL: 154489366950786; POINT_POSITION: (-397.26, 284.118, 0); TOOL_DIRECTION: (-0.173921, -0.112967, -0.978259)
TIME_SPECIAL: 154489383639288; POINT_POSITION: (-395.019, 281.217, 0); TOOL_DIRECTION: (-0.171924, -0.11696, -0.978142)
TIME_SPECIAL: 154489400305889; POINT_POSITION: (-392.161, 277.698, 0); TOOL_DIRECTION: (-0.169294, -0.123647, -0.977779)
TIME_SPECIAL: 154489416904507; POINT_POSITION: (-391.117, 275.109, 0); TOOL_DIRECTION: (-0.167708, -0.129635, -0.977276)
TIME_SPECIAL: 154489433601258; POINT_POSITION: (-388.6, 273.135, 0); TOOL_DIRECTION: (-0.165567, -0.134075, -0.977042)
TIME_SPECIAL: 154489450312516; POINT_POSITION: (-384.883, 271.433, 0); TOOL_DIRECTION: (-0.163319, -0.137393, -0.97696)
TIME_SPECIAL: 154489466933890; POINT_POSITION: (-383.191, 270.336, 0); TOOL_DIRECTION: (-0.162682, -0.139389, -0.976783)
TIME_SPECIAL: 154489483593948; POINT_POSITION: (-382.09, 269.6, 0); TOOL_DIRECTION: (-0.162161, -0.141329, -0.976591)
TIME_SPECIAL: 154489500316299; POINT_POSITION: (-380.176, 267.909, 0); TOOL_DIRECTION: (-0.161374, -0.146175, -0.976008)
