PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 1940206592023
TIME_WORD_START: 1940208058030; WORD_VALUE: pens
TIME_SPECIAL: 1940899219580; POINT_POSITION: (649.936, 215.792, 272.685); TOOL_DIRECTION: (-0.032777, 0.247313, -0.968381)
TIME_SPECIAL: 1940915887512; POINT_POSITION: (664.723, 216.351, 267.277); TOOL_DIRECTION: (-0.0289645, 0.24337, -0.969501)
TIME_SPECIAL: 1940932577916; POINT_POSITION: (675.775, 217.902, 257.996); TOOL_DIRECTION: (-0.0253696, 0.239475, -0.970571)
TIME_SPECIAL: 1940949249546; POINT_POSITION: (686.42, 219.363, 250.372); TOOL_DIRECTION: (-0.0231345, 0.235047, -0.971709)
TIME_SPECIAL: 1940965907807; POINT_POSITION: (695.071, 220.614, 243.564); TOOL_DIRECTION: (-0.0212115, 0.229557, -0.973064)
TIME_SPECIAL: 1940982549856; POINT_POSITION: (703.021, 223.105, 237.09); TOOL_DIRECTION: (-0.0174985, 0.227511, -0.973618)
TIME_SPECIAL: 1940999270409; POINT_POSITION: (706.062, 223.517, 233.37); TOOL_DIRECTION: (-0.015952, 0.224524, -0.974338)
TIME_SPECIAL: 1941015962235; POINT_POSITION: (710.831, 221.613, 226.116); TOOL_DIRECTION: (-0.0147176, 0.208736, -0.977861)
TIME_SPECIAL: 1941032578115; POINT_POSITION: (714.163, 223.236, 221.049); TOOL_DIRECTION: (-0.0135392, 0.205023, -0.978663)
TIME_SPECIAL: 1941049284162; POINT_POSITION: (716.003, 225.814, 217.347); TOOL_DIRECTION: (-0.0131485, 0.206884, -0.978277)
TIME_SPECIAL: 1941065980254; POINT_POSITION: (718.207, 227.283, 213.662); TOOL_DIRECTION: (-0.0111818, 0.206996, -0.978278)
TIME_SPECIAL: 1941082640222; POINT_POSITION: (720.205, 228.147, 209.415); TOOL_DIRECTION: (-0.00855876, 0.205899, -0.978536)
TIME_SPECIAL: 1941099301613; POINT_POSITION: (721.659, 228.126, 204.781); TOOL_DIRECTION: (-0.00667041, 0.20254, -0.979251)
TIME_SPECIAL: 1941116257683; POINT_POSITION: (722.285, 228.211, 202.368); TOOL_DIRECTION: (-0.00586218, 0.200996, -0.979575)
TIME_SPECIAL: 1941132657957; POINT_POSITION: (723.346, 227.505, 196.405); TOOL_DIRECTION: (-0.0043797, 0.195724, -0.980649)
TIME_SPECIAL: 1941149331294; POINT_POSITION: (724.75, 226.542, 188.868); TOOL_DIRECTION: (-0.00224312, 0.189117, -0.981952)
TIME_SPECIAL: 1941166019706; POINT_POSITION: (726.088, 225.917, 179.839); TOOL_DIRECTION: (-0.000418281, 0.182364, -0.983231)
TIME_SPECIAL: 1941182669719; POINT_POSITION: (727.787, 226.828, 171.016); TOOL_DIRECTION: (0.00161829, 0.178754, -0.983892)
TIME_SPECIAL: 1941199349313; POINT_POSITION: (729.252, 225.502, 161.671); TOOL_DIRECTION: (0.00337937, 0.170768, -0.985305)
TIME_SPECIAL: 1941215983397; POINT_POSITION: (730.857, 225.863, 157.051); TOOL_DIRECTION: (0.00559667, 0.168673, -0.985656)
TIME_SPECIAL: 1941232660147; POINT_POSITION: (733.353, 226.471, 147.827); TOOL_DIRECTION: (0.00816054, 0.164148, -0.986402)
TIME_SPECIAL: 1941249363066; POINT_POSITION: (735.196, 225.992, 139.308); TOOL_DIRECTION: (0.00945828, 0.157816, -0.987423)
TIME_SPECIAL: 1941266035265; POINT_POSITION: (736.196, 226.307, 130.545); TOOL_DIRECTION: (0.00905604, 0.152936, -0.988195)
TIME_SPECIAL: 1941282748423; POINT_POSITION: (735.877, 225.434, 121.9); TOOL_DIRECTION: (0.00637501, 0.14569, -0.98931)
TIME_SPECIAL: 1941299406400; POINT_POSITION: (737.173, 225.513, 112.943); TOOL_DIRECTION: (0.00643006, 0.140273, -0.990092)
