PRACTICE_WORD_COUNT: 11
TIME_EXPERIMENT_START: 2879421758508
TIME_WORD_START: 2879422397646; WORD_VALUE: hipped
TIME_SPECIAL: 2880134052854; POINT_POSITION: (470.002, 181.295, 128.423); TOOL_DIRECTION: (-0.0209306, -0.224356, -0.974282)
TIME_SPECIAL: 2880150708555; POINT_POSITION: (473.705, 181.191, 125.073); TOOL_DIRECTION: (-0.0190756, -0.220148, -0.97528)
TIME_SPECIAL: 2880167434513; POINT_POSITION: (478.958, 181.494, 119.252); TOOL_DIRECTION: (-0.0194815, -0.19703, -0.980204)
TIME_SPECIAL: 2880184041576; POINT_POSITION: (484.585, 181.635, 122.144); TOOL_DIRECTION: (-0.0166963, -0.20768, -0.978054)
TIME_SPECIAL: 2880200745632; POINT_POSITION: (487.303, 181.631, 121.443); TOOL_DIRECTION: (-0.0157009, -0.21405, -0.976697)
TIME_SPECIAL: 2880217366632; POINT_POSITION: (492.349, 181.584, 121.468); TOOL_DIRECTION: (-0.0131007, -0.239293, -0.970859)
TIME_SPECIAL: 2880234068697; POINT_POSITION: (496.639, 181.53, 120.367); TOOL_DIRECTION: (-0.0114712, -0.250318, -0.968096)
TIME_SPECIAL: 2880250747154; POINT_POSITION: (500.223, 181.479, 118.892); TOOL_DIRECTION: (-0.00942483, -0.251648, -0.967773)
TIME_SPECIAL: 2880267391478; POINT_POSITION: (502.908, 181.3, 117.818); TOOL_DIRECTION: (-0.0115766, -0.255097, -0.966846)
TIME_SPECIAL: 2880284104921; POINT_POSITION: (503.963, 181.2, 117.305); TOOL_DIRECTION: (-0.0121533, -0.255493, -0.966734)
TIME_SPECIAL: 2880300741849; POINT_POSITION: (506.225, 180.943, 116.881); TOOL_DIRECTION: (-0.0124233, -0.25617, -0.966552)
TIME_SPECIAL: 2880317481176; POINT_POSITION: (506.84, 180.874, 116.567); TOOL_DIRECTION: (-0.0122693, -0.256163, -0.966556)
TIME_SPECIAL: 2880334115544; POINT_POSITION: (508.007, 180.804, 115.189); TOOL_DIRECTION: (-0.0102332, -0.252378, -0.967575)
TIME_SPECIAL: 2880350790019; POINT_POSITION: (509.187, 180.793, 113.707); TOOL_DIRECTION: (-0.00887861, -0.245556, -0.969342)
TIME_SPECIAL: 2880367429507; POINT_POSITION: (510.425, 180.884, 109.474); TOOL_DIRECTION: (-0.00757183, -0.236275, -0.971657)
TIME_SPECIAL: 2880384158594; POINT_POSITION: (512.335, 180.921, 104.79); TOOL_DIRECTION: (-0.00509785, -0.236589, -0.971596)
TIME_SPECIAL: 2880400837051; POINT_POSITION: (514.431, 181.304, 98.4515); TOOL_DIRECTION: (-0.00603559, -0.212664, -0.977107)
TIME_SPECIAL: 2880417504984; POINT_POSITION: (516.125, 181.558, 94.0815); TOOL_DIRECTION: (-0.00395153, -0.204993, -0.978755)
TIME_SPECIAL: 2880434183725; POINT_POSITION: (521.323, 181.835, 97.5058); TOOL_DIRECTION: (0.00113995, -0.196269, -0.98055)
TIME_SPECIAL: 2880450847106; POINT_POSITION: (527.977, 181.424, 97.2637); TOOL_DIRECTION: (0.00548138, -0.213376, -0.976955)
TIME_SPECIAL: 2880467523003; POINT_POSITION: (533.284, 180.356, 96.9508); TOOL_DIRECTION: (0.0059002, -0.2345, -0.972098)
TIME_SPECIAL: 2880484198900; POINT_POSITION: (536.875, 180.356, 89.0064); TOOL_DIRECTION: (0.00471627, -0.218084, -0.975919)
TIME_SPECIAL: 2880500819331; POINT_POSITION: (541.293, 180.47, 82.7687); TOOL_DIRECTION: (0.00985784, -0.208878, -0.977892)
TIME_SPECIAL: 2880517536471; POINT_POSITION: (545.037, 180.571, 78.0304); TOOL_DIRECTION: (0.00985766, -0.209325, -0.977796)
TIME_SPECIAL: 2880534230857; POINT_POSITION: (546.846, 180.508, 75.8666); TOOL_DIRECTION: (0.0109126, -0.210506, -0.977532)
TIME_SPECIAL: 2880550925811; POINT_POSITION: (550.348, 180.593, 68.3637); TOOL_DIRECTION: (0.0121095, -0.204627, -0.978765)
TIME_SPECIAL: 2880567544535; POINT_POSITION: (553.211, 180.912, 62.9644); TOOL_DIRECTION: (0.0125286, -0.199647, -0.979788)
TIME_SPECIAL: 2880584240058; POINT_POSITION: (554.854, 181.521, 55.2085); TOOL_DIRECTION: (0.00912186, -0.192342, -0.981286)
TIME_SPECIAL: 2880600961750; POINT_POSITION: (555.734, 181.619, 51.1638); TOOL_DIRECTION: (0.00967158, -0.199417, -0.979867)
TIME_SPECIAL: 2880617623994; POINT_POSITION: (555.972, 181.55, 43.3776); TOOL_DIRECTION: (0.00670344, -0.201732, -0.979418)
TIME_SPECIAL: 2880634315819; POINT_POSITION: (555.795, 181.547, 38.0284); TOOL_DIRECTION: (0.0049125, -0.201672, -0.979441)
TIME_SPECIAL: 2880650947627; POINT_POSITION: (555.328, 181.831, 24.1487); TOOL_DIRECTION: (0.00321713, -0.200863, -0.979614)
TIME_SPECIAL: 2880667563507; POINT_POSITION: (555.211, 182.274, 13.9142); TOOL_DIRECTION: (0.00330963, -0.194926, -0.980812)
TIME_SPECIAL: 2880684292879; POINT_POSITION: (554.254, 182.739, 6.14583); TOOL_DIRECTION: (0.000652377, -0.19819, -0.980163)
TIME_SPECIAL: 2880700960527; POINT_POSITION: (553.665, 182.978, 0); TOOL_DIRECTION: (-0.00137052, -0.195584, -0.980686)
TIME_PRESSED: 2880701027655; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 2880717601722; POINT_POSITION: (553.138, 183.228, 0); TOOL_DIRECTION: (-0.00531775, -0.188217, -0.982113)
TIME_SPECIAL: 2880734291556; POINT_POSITION: (552.07, 183.828, 0); TOOL_DIRECTION: (-0.00679503, -0.183004, -0.983089)
TIME_SPECIAL: 2880751010972; POINT_POSITION: (550.588, 184.655, 0); TOOL_DIRECTION: (-0.00807018, -0.180785, -0.98349)
TIME_SPECIAL: 2880767689145; POINT_POSITION: (549.303, 184.693, 0); TOOL_DIRECTION: (-0.0101799, -0.193206, -0.981105)
