PRACTICE_WORD_COUNT: 17
TIME_EXPERIMENT_START: 148730418101155
TIME_WORD_START: 148730418659515; WORD_VALUE: yippee
TIME_SPECIAL: 148731179549523; POINT_POSITION: (417.782, 202.884, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731196175732; POINT_POSITION: (417.672, 202.884, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731212852288; POINT_POSITION: (417.495, 202.886, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731229586870; POINT_POSITION: (417.24, 202.892, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731246234128; POINT_POSITION: (416.93, 202.9, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731262916089; POINT_POSITION: (416.645, 202.909, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731279577284; POINT_POSITION: (416.533, 202.912, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731296228525; POINT_POSITION: (416.344, 202.919, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731312964813; POINT_POSITION: (416.165, 202.925, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731329615485; POINT_POSITION: (416.024, 202.93, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731346248521; POINT_POSITION: (415.939, 202.933, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731362970872; POINT_POSITION: (415.889, 202.935, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731379666485; POINT_POSITION: (415.853, 202.936, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731396309477; POINT_POSITION: (415.824, 202.938, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731412981197; POINT_POSITION: (415.788, 202.94, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731429677664; POINT_POSITION: (415.729, 202.944, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731446344833; POINT_POSITION: (415.632, 202.952, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731462967629; POINT_POSITION: (415.465, 202.972, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731479714727; POINT_POSITION: (415.346, 202.989, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731496307372; POINT_POSITION: (415.021, 203.044, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731513014932; POINT_POSITION: (414.571, 203.134, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731529705710; POINT_POSITION: (414.004, 203.273, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731546383404; POINT_POSITION: (413.231, 203.547, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731563052848; POINT_POSITION: (412.261, 204.015, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731579717173; POINT_POSITION: (411.312, 204.805, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731596395151; POINT_POSITION: (410.877, 206.203, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731613065734; POINT_POSITION: (410.799, 207.834, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731629756227; POINT_POSITION: (410.788, 209.357, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731646420552; POINT_POSITION: (411.12, 210.747, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731663101943; POINT_POSITION: (411.533, 211.915, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731679777930; POINT_POSITION: (412.008, 212.718, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731696460174; POINT_POSITION: (412.543, 213.012, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731713114544; POINT_POSITION: (412.797, 213.079, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
