PRACTICE_WORD_COUNT: 3
TIME_EXPERIMENT_START: 37783038453503
TIME_WORD_START: 37783039811955; WORD_VALUE: ginned
TIME_PRESSED: 37785591272399; KEY_PRESSED: VK_N; KEY_EXPECTED: VK_N
TIME_SPECIAL: 37785622308878; POINT_POSITION: (598, 134, 0)
TIME_SPECIAL: 37785653486401; POINT_POSITION: (595, 104, 0)
TIME_SPECIAL: 37785684730473; POINT_POSITION: (587, 91, 0)
TIME_SPECIAL: 37785715995403; POINT_POSITION: (584, 83, 0)
TIME_SPECIAL: 37785747251062; POINT_POSITION: (580, 81, 0)
TIME_SPECIAL: 37785778747091; POINT_POSITION: (570, 83, 0)
TIME_SPECIAL: 37785809776949; POINT_POSITION: (558, 89, 0)
TIME_SPECIAL: 37785841165706; POINT_POSITION: (558, 89, 0)
TIME_SPECIAL: 37785872216091; POINT_POSITION: (526, 114, 0)
TIME_SPECIAL: 37785903458507; POINT_POSITION: (526, 114, 0)
TIME_SPECIAL: 37785934692977; POINT_POSITION: (484, 146, 0)
TIME_SPECIAL: 37785965967177; POINT_POSITION: (461, 161, 0)
TIME_SPECIAL: 37785997209925; POINT_POSITION: (436, 175, 0)
TIME_SPECIAL: 37786028505977; POINT_POSITION: (410, 188, 0)
TIME_SPECIAL: 37786059706345; POINT_POSITION: (385, 199, 0)
TIME_SPECIAL: 37786090928564; POINT_POSITION: (360, 209, 0)
TIME_SPECIAL: 37786122253421; POINT_POSITION: (338, 218, 0)
TIME_SPECIAL: 37786153463391; POINT_POSITION: (318, 227, 0)
TIME_PRESSED: 37786153552784; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 37786185212371; POINT_POSITION: (302, 236, 0)
TIME_SPECIAL: 37786216902748; POINT_POSITION: (288, 244, 0)
TIME_SPECIAL: 37786247904464; POINT_POSITION: (282, 248, 0)
TIME_SPECIAL: 37786279320701; POINT_POSITION: (274, 253, 0)
TIME_SPECIAL: 37786310423729; POINT_POSITION: (272, 255, 0)
TIME_SPECIAL: 37786341011585; POINT_POSITION: (270, 255, 0)
TIME_SPECIAL: 37786372973785; POINT_POSITION: (269, 255, 0)
TIME_SPECIAL: 37786403429206; POINT_POSITION: (270, 251, 0)
TIME_SPECIAL: 37786434687845; POINT_POSITION: (273, 242, 0)
TIME_SPECIAL: 37786465931254; POINT_POSITION: (278, 232, 0)
TIME_SPECIAL: 37786497196847; POINT_POSITION: (284, 221, 0)
TIME_PRESSED: 37786497300146; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D
TIME_SPECIAL: 37786528539251; POINT_POSITION: (286, 217, 0)
TIME_SPECIAL: 37786559735977; POINT_POSITION: (297, 197, 0)
TIME_SPECIAL: 37786590951575; POINT_POSITION: (303, 185, 0)
TIME_SPECIAL: 37786622172470; POINT_POSITION: (308, 176, 0)
TIME_SPECIAL: 37786653712203; POINT_POSITION: (311, 172, 0)
TIME_SPECIAL: 37786684724844; POINT_POSITION: (311, 171, 0)
TIME_SPECIAL: 37786715989112; POINT_POSITION: (312, 171, 0)
TIME_PRESSED: 37786716127838; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 37786716243718; WORD_VALUE: ginned
TIME_WORD_START: 37786716356950; WORD_VALUE: dales
TIME_SPECIAL: 37786747283509; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37786778475268; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37786809770658; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37786841005791; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37786872289593; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37786903532340; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37786934801243; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37786966025118; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37786997294021; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787028541072; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787060072859; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787091130197; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787122298118; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787153547487; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787184711104; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787216069401; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787247296587; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787278466164; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787310047282; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787340990726; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787372225858; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787403466619; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787434718636; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787465921984; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787497196847; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787528460121; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787559720085; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787590938994; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787622210214; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787653463225; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787684746034; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787715931834; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787747242454; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787778566318; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787809775625; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787840981290; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787872186293; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787903463142; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787935475668; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37787966968055; POINT_POSITION: (288, 178, 0)
TIME_PRESSED: 37787967073341; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D
TIME_SPECIAL: 37787998128361; POINT_POSITION: (287, 178, 0)
TIME_SPECIAL: 37788028505977; POINT_POSITION: (284, 177, 0)
TIME_SPECIAL: 37788059719588; POINT_POSITION: (277, 175, 0)
TIME_SPECIAL: 37788091009019; POINT_POSITION: (267, 173, 0)
TIME_SPECIAL: 37788122237860; POINT_POSITION: (254, 171, 0)
TIME_SPECIAL: 37788153481932; POINT_POSITION: (236, 168, 0)
TIME_SPECIAL: 37788184937568; POINT_POSITION: (216, 166, 0)
TIME_PRESSED: 37788185015705; KEY_PRESSED: VK_A; KEY_EXPECTED: VK_A
TIME_SPECIAL: 37788216006163; POINT_POSITION: (216, 166, 0)
TIME_SPECIAL: 37788247269769; POINT_POSITION: (176, 166, 0)
TIME_SPECIAL: 37788278563503; POINT_POSITION: (159, 166, 0)
TIME_SPECIAL: 37788309741026; POINT_POSITION: (146, 167, 0)
TIME_SPECIAL: 37788341142033; POINT_POSITION: (137, 168, 0)
TIME_SPECIAL: 37788372289427; POINT_POSITION: (135, 168, 0)
TIME_SPECIAL: 37788403672886; POINT_POSITION: (135, 168, 0)
TIME_SPECIAL: 37788434748103; POINT_POSITION: (142, 168, 0)
TIME_SPECIAL: 37788465988864; POINT_POSITION: (158, 168, 0)
TIME_SPECIAL: 37788497279950; POINT_POSITION: (158, 168, 0)
TIME_SPECIAL: 37788528544880; POINT_POSITION: (256, 171, 0)
TIME_SPECIAL: 37788559752531; POINT_POSITION: (315, 176, 0)
TIME_SPECIAL: 37788591023752; POINT_POSITION: (377, 181, 0)
TIME_SPECIAL: 37788622246303; POINT_POSITION: (449, 187, 0)
TIME_SPECIAL: 37788653496334; POINT_POSITION: (521, 192, 0)
TIME_SPECIAL: 37788685074473; POINT_POSITION: (591, 198, 0)
TIME_SPECIAL: 37788715949050; POINT_POSITION: (653, 197, 0)
TIME_SPECIAL: 37788748043686; POINT_POSITION: (653, 196, 0)
TIME_PRESSED: 37788748160560; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L
TIME_SPECIAL: 37788778643792; POINT_POSITION: (700, 192, 0)
TIME_SPECIAL: 37788810372576; POINT_POSITION: (711, 189, 0)
TIME_SPECIAL: 37788841449448; POINT_POSITION: (725, 185, 0)
TIME_SPECIAL: 37788873131217; POINT_POSITION: (733, 182, 0)
TIME_SPECIAL: 37788903555185; POINT_POSITION: (735, 181, 0)
TIME_SPECIAL: 37788934743965; POINT_POSITION: (735, 180, 0)
TIME_SPECIAL: 37788966001942; POINT_POSITION: (733, 179, 0)
TIME_SPECIAL: 37788997267534; POINT_POSITION: (724, 180, 0)
TIME_SPECIAL: 37789028502004; POINT_POSITION: (711, 182, 0)
TIME_SPECIAL: 37789059924862; POINT_POSITION: (689, 187, 0)
TIME_SPECIAL: 37789091055040; POINT_POSITION: (632, 196, 0)
TIME_SPECIAL: 37789122230907; POINT_POSITION: (579, 202, 0)
TIME_SPECIAL: 37789153549473; POINT_POSITION: (523, 204, 0)
TIME_SPECIAL: 37789184753152; POINT_POSITION: (464, 205, 0)
TIME_SPECIAL: 37789215979014; POINT_POSITION: (408, 205, 0)
TIME_SPECIAL: 37789247246593; POINT_POSITION: (357, 206, 0)
TIME_SPECIAL: 37789278497617; POINT_POSITION: (336, 209, 0)
TIME_SPECIAL: 37789309742019; POINT_POSITION: (313, 217, 0)
TIME_PRESSED: 37789309854258; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 37789341106607; POINT_POSITION: (313, 228, 0)
TIME_SPECIAL: 37789372259629; POINT_POSITION: (276, 242, 0)
TIME_SPECIAL: 37789403501714; POINT_POSITION: (276, 253, 0)
TIME_SPECIAL: 37789434745786; POINT_POSITION: (258, 262, 0)
TIME_SPECIAL: 37789465962046; POINT_POSITION: (256, 265, 0)
TIME_SPECIAL: 37789497631234; POINT_POSITION: (255, 265, 0)
TIME_SPECIAL: 37789528478000; POINT_POSITION: (256, 264, 0)
TIME_SPECIAL: 37789560164073; POINT_POSITION: (256, 259, 0)
TIME_SPECIAL: 37789591529654; POINT_POSITION: (256, 253, 0)
TIME_SPECIAL: 37789623168713; POINT_POSITION: (254, 243, 0)
TIME_SPECIAL: 37789654286640; POINT_POSITION: (248, 229, 0)
TIME_SPECIAL: 37789684792717; POINT_POSITION: (239, 214, 0)
TIME_PRESSED: 37789684865556; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S
TIME_SPECIAL: 37789716167237; POINT_POSITION: (230, 198, 0)
TIME_SPECIAL: 37789747238812; POINT_POSITION: (221, 183, 0)
TIME_SPECIAL: 37789778522614; POINT_POSITION: (214, 171, 0)
TIME_SPECIAL: 37789809768010; POINT_POSITION: (211, 164, 0)
TIME_SPECIAL: 37789840997844; POINT_POSITION: (211, 164, 0)
TIME_PRESSED: 37789841067042; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 37789841123658; WORD_VALUE: dales
TIME_WORD_START: 37789841232254; WORD_VALUE: tin
TIME_SPECIAL: 37789872277342; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37789903581341; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37789935183980; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37789966047632; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37789997303953; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790028602323; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790059812293; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790091077223; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790122342815; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790153701443; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790184863404; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790216057813; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790247351216; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790278520462; POINT_POSITION: (0, 0, 0)
