PRACTICE_WORD_COUNT: 6
TIME_EXPERIMENT_START: 116648510996247
TIME_WORD_START: 116648511669521; WORD_VALUE: sue
TIME_SPECIAL: 116649739520726; POINT_POSITION: (294.911, 193.5, 357.837)
TIME_SPECIAL: 116649756216624; POINT_POSITION: (290.32, 193.576, 358.348)
TIME_SPECIAL: 116649772889766; POINT_POSITION: (285.995, 193.654, 358.83)
TIME_SPECIAL: 116649789556935; POINT_POSITION: (282.228, 193.725, 359.266)
TIME_SPECIAL: 116649806216994; POINT_POSITION: (279.144, 193.786, 359.638)
TIME_SPECIAL: 116649822901229; POINT_POSITION: (276.703, 193.836, 359.939)
TIME_SPECIAL: 116649839588025; POINT_POSITION: (274.876, 193.879, 360.171)
TIME_SPECIAL: 116649856259176; POINT_POSITION: (273.566, 193.915, 360.341)
TIME_SPECIAL: 116649872948816; POINT_POSITION: (272.588, 193.947, 360.47)
TIME_SPECIAL: 116649889610012; POINT_POSITION: (271.711, 193.978, 360.585)
TIME_SPECIAL: 116649906305910; POINT_POSITION: (270.733, 194.016, 360.715)
TIME_SPECIAL: 116649922940653; POINT_POSITION: (270.204, 194.039, 360.785)
TIME_SPECIAL: 116649939606969; POINT_POSITION: (269.102, 194.094, 360.933)
TIME_SPECIAL: 116649956319649; POINT_POSITION: (267.977, 194.157, 361.085)
TIME_SPECIAL: 116649973001324; POINT_POSITION: (266.869, 194.223, 361.237)
TIME_SPECIAL: 116649989663374; POINT_POSITION: (265.806, 194.287, 361.381)
TIME_SPECIAL: 116650006335663; POINT_POSITION: (264.816, 194.345, 361.514)
TIME_SPECIAL: 116650023015347; POINT_POSITION: (263.839, 194.394, 361.64)
TIME_SPECIAL: 116650039689343; POINT_POSITION: (262.824, 194.434, 361.764)
TIME_SPECIAL: 116650056354806; POINT_POSITION: (261.753, 194.459, 361.892)
TIME_SPECIAL: 116650073005193; POINT_POSITION: (260.593, 194.469, 362.029)
TIME_SPECIAL: 116650089701091; POINT_POSITION: (259.238, 194.46, 362.182)
TIME_SPECIAL: 116650106370820; POINT_POSITION: (257.532, 194.424, 362.364)
TIME_SPECIAL: 116650123063873; POINT_POSITION: (255.313, 194.361, 362.593)
TIME_SPECIAL: 116650139711985; POINT_POSITION: (253.996, 194.32, 362.729)
TIME_SPECIAL: 116650156375456; POINT_POSITION: (251.009, 194.211, 363.041)
TIME_SPECIAL: 116650173091265; POINT_POSITION: (247.604, 194.069, 363.403)
TIME_SPECIAL: 116650189736817; POINT_POSITION: (244.01, 193.901, 363.788)
TIME_SPECIAL: 116650206399435; POINT_POSITION: (240.481, 193.726, 364.169)
TIME_SPECIAL: 116650223095048; POINT_POSITION: (237.189, 193.558, 364.528)
TIME_SPECIAL: 116650239769328; POINT_POSITION: (234.244, 193.402, 364.853)
TIME_SPECIAL: 116650256447875; POINT_POSITION: (231.705, 193.264, 365.134)
TIME_SPECIAL: 116650273119027; POINT_POSITION: (230.582, 193.203, 365.259)
TIME_SPECIAL: 116650289782782; POINT_POSITION: (227.967, 193.059, 365.547)
TIME_SPECIAL: 116650306451374; POINT_POSITION: (226.422, 192.979, 365.716)
TIME_SPECIAL: 116650323137885; POINT_POSITION: (225.079, 192.924, 365.858)
TIME_SPECIAL: 116650339806761; POINT_POSITION: (223.928, 192.894, 365.969)
TIME_SPECIAL: 116650356461130; POINT_POSITION: (223.394, 192.889, 366.019)
TIME_SPECIAL: 116650373131997; POINT_POSITION: (222.376, 192.879, 366.116)
TIME_SPECIAL: 116650389821922; POINT_POSITION: (221.479, 192.861, 366.189)
TIME_SPECIAL: 116650406495349; POINT_POSITION: (220.718, 192.842, 366.246)
TIME_SPECIAL: 116650423183282; POINT_POSITION: (220.078, 192.849, 366.331)
TIME_SPECIAL: 116650439829687; POINT_POSITION: (219.627, 192.91, 366.493)
TIME_SPECIAL: 116650456506527; POINT_POSITION: (219.58, 193.081, 366.783)
TIME_SPECIAL: 116650473202709; POINT_POSITION: (220.392, 193.434, 0)
TIME_PRESSED: 116650473241109; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S
TIME_SPECIAL: 116650489905149; POINT_POSITION: (222.34, 193.973, 0)
TIME_SPECIAL: 116650506562932; POINT_POSITION: (225.968, 194.858, 0)
TIME_SPECIAL: 116650523232377; POINT_POSITION: (230.164, 195.891, 0)
TIME_SPECIAL: 116650539913199; POINT_POSITION: (233.867, 196.764, 0)
TIME_SPECIAL: 116650556570413; POINT_POSITION: (236.674, 197.425, 0)
TIME_SPECIAL: 116650573281671; POINT_POSITION: (237.784, 197.688, 0)
TIME_SPECIAL: 116650589914707; POINT_POSITION: (239.617, 198.127, 0)
TIME_SPECIAL: 116650606598658; POINT_POSITION: (241.087, 198.49, 0)
TIME_SPECIAL: 116650623250752; POINT_POSITION: (242.321, 198.802, 0)
TIME_SPECIAL: 116650639929867; POINT_POSITION: (243.388, 199.08, 0)
TIME_SPECIAL: 116650656636574; POINT_POSITION: (244.322, 199.329, 0)
TIME_SPECIAL: 116650673284686; POINT_POSITION: (245.202, 199.569, 0)
TIME_SPECIAL: 116650689972904; POINT_POSITION: (246.114, 199.823, 0)
TIME_SPECIAL: 116650706657993; POINT_POSITION: (247.111, 200.101, 0)
TIME_SPECIAL: 116650723334264; POINT_POSITION: (248.33, 200.432, 0)
TIME_SPECIAL: 116650739989487; POINT_POSITION: (249.97, 200.865, 0)
TIME_SPECIAL: 116650756672300; POINT_POSITION: (252.25, 201.446, 0)
TIME_SPECIAL: 116650773370758; POINT_POSITION: (255.555, 202.237, 0)
TIME_SPECIAL: 116650790027403; POINT_POSITION: (257.687, 202.73, 0)
TIME_SPECIAL: 116650806686607; POINT_POSITION: (263.617, 204.019, 0)
TIME_SPECIAL: 116650823352070; POINT_POSITION: (273.145, 205.911, 0)
TIME_SPECIAL: 116650840019808; POINT_POSITION: (287.388, 208.632, 0)
TIME_SPECIAL: 116650856669342; POINT_POSITION: (305.059, 211.912, 0)
TIME_SPECIAL: 116650873376333; POINT_POSITION: (327.665, 215.802, 0)
TIME_SPECIAL: 116650890050329; POINT_POSITION: (354.338, 220.221, 0)
TIME_SPECIAL: 116650906761586; POINT_POSITION: (383.69, 224.826, 0)
TIME_SPECIAL: 116650923430462; POINT_POSITION: (413.621, 229.167, 0)
TIME_SPECIAL: 116650940101614; POINT_POSITION: (442.475, 233.076, 0)
TIME_SPECIAL: 116650956752285; POINT_POSITION: (467.874, 236.428, 0)
TIME_SPECIAL: 116650973414334; POINT_POSITION: (489.169, 239.178, 0)
TIME_PRESSED: 116650973451027; KEY_PRESSED: VK_U; KEY_EXPECTED: VK_U
TIME_SPECIAL: 116650990134979; POINT_POSITION: (507.021, 241.473, 0)
TIME_SPECIAL: 116651006797881; POINT_POSITION: (514.994, 242.467, 0)
TIME_SPECIAL: 116651023447415; POINT_POSITION: (528.799, 244.166, 0)
TIME_SPECIAL: 116651040109464; POINT_POSITION: (540.003, 245.523, 0)
TIME_SPECIAL: 116651056801949; POINT_POSITION: (549.006, 246.615, 0)
TIME_SPECIAL: 116651073480211; POINT_POSITION: (556.398, 247.491, 0)
TIME_SPECIAL: 116651090153638; POINT_POSITION: (562.432, 248.198, 0)
TIME_SPECIAL: 116651106817109; POINT_POSITION: (567.224, 248.755, 0)
TIME_SPECIAL: 116651123442181; POINT_POSITION: (570.929, 249.176, 0)
TIME_SPECIAL: 116651140196390; POINT_POSITION: (573.578, 249.474, 0)
TIME_SPECIAL: 116651156862706; POINT_POSITION: (574.972, 249.626, 0)
TIME_SPECIAL: 116651173494604; POINT_POSITION: (575.627, 249.694, 0)
TIME_SPECIAL: 116651190182253; POINT_POSITION: (575.978, 249.728, 0)
TIME_SPECIAL: 116651206887253; POINT_POSITION: (576.213, 249.746, 0)
TIME_SPECIAL: 116651223575186; POINT_POSITION: (576.31, 249.753, 0)
TIME_SPECIAL: 116651240198836; POINT_POSITION: (576.493, 249.763, 0)
TIME_SPECIAL: 116651256865721; POINT_POSITION: (576.626, 249.764, 0)
TIME_SPECIAL: 116651273557352; POINT_POSITION: (576.667, 249.749, 0)
TIME_SPECIAL: 116651290255810; POINT_POSITION: (576.553, 249.709, 0)
TIME_SPECIAL: 116651306919281; POINT_POSITION: (576.155, 249.626, 0)
TIME_SPECIAL: 116651323586166; POINT_POSITION: (575.312, 249.486, 0)
TIME_SPECIAL: 116651340270686; POINT_POSITION: (573.785, 249.263, 0)
TIME_SPECIAL: 116651356922211; POINT_POSITION: (571.259, 248.919, 0)
TIME_SPECIAL: 116651373584545; POINT_POSITION: (569.466, 248.679, 0)
TIME_SPECIAL: 116651390259963; POINT_POSITION: (558.519, 247.26, 0)
