PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 116897889399525
TIME_WORD_START: 116897889906401; WORD_VALUE: balls
TIME_SPECIAL: 116898601565739; POINT_POSITION: (522.531, 132.698, 217.279); TOOL_DIRECTION: (-0.120675, 0.0107098, -0.992634)
TIME_SPECIAL: 116898618229780; POINT_POSITION: (497.437, 131.728, 217.279); TOOL_DIRECTION: (-0.127004, 0.00349284, -0.991896)
TIME_SPECIAL: 116898634870780; POINT_POSITION: (473.736, 131.899, 217.279); TOOL_DIRECTION: (-0.142755, 0.00977797, -0.98971)
TIME_SPECIAL: 116898651590856; POINT_POSITION: (452.44, 129.707, 217.279); TOOL_DIRECTION: (-0.154606, 0.00753783, -0.987947)
TIME_SPECIAL: 116898668252905; POINT_POSITION: (437.889, 128.091, 217.279); TOOL_DIRECTION: (-0.157755, 0.00930905, -0.987434)
TIME_SPECIAL: 116898684908981; POINT_POSITION: (424.565, 124.696, 217.279); TOOL_DIRECTION: (-0.156991, -0.00321671, -0.987595)
TIME_SPECIAL: 116898701603741; POINT_POSITION: (412.479, 123.009, 217.279); TOOL_DIRECTION: (-0.165044, -0.00439366, -0.986276)
TIME_SPECIAL: 116898718273470; POINT_POSITION: (406.597, 122.93, 217.279); TOOL_DIRECTION: (-0.170286, 0.00191737, -0.985393)
TIME_SPECIAL: 116898734931253; POINT_POSITION: (403.019, 122.37, 217.279); TOOL_DIRECTION: (-0.171977, 0.00771241, -0.985071)
TIME_SPECIAL: 116898751614635; POINT_POSITION: (400.997, 121.584, 217.279); TOOL_DIRECTION: (-0.173069, 0.00741087, -0.984882)
TIME_SPECIAL: 116898768276684; POINT_POSITION: (403.095, 118.855, 217.279); TOOL_DIRECTION: (-0.164111, -0.0108522, -0.986382)
TIME_SPECIAL: 116898784953809; POINT_POSITION: (405.386, 118.349, 217.279); TOOL_DIRECTION: (-0.157994, -0.0168202, -0.987297)
TIME_SPECIAL: 116898801641742; POINT_POSITION: (409.697, 120.365, 217.279); TOOL_DIRECTION: (-0.154887, -0.0147543, -0.987822)
TIME_SPECIAL: 116898818333374; POINT_POSITION: (413.578, 121.108, 217.279); TOOL_DIRECTION: (-0.152165, -0.0204424, -0.988144)
TIME_SPECIAL: 116898834974943; POINT_POSITION: (421.932, 123.07, 217.279); TOOL_DIRECTION: (-0.144913, -0.0117649, -0.989375)
TIME_SPECIAL: 116898851660885; POINT_POSITION: (428.554, 125.635, 217.279); TOOL_DIRECTION: (-0.146755, -0.00988797, -0.989123)
