PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221780778890400
TIME_WORD_START: 221780785372747; WORD_VALUE: the
TIME_SPECIAL: 221781656421453; POINT_POSITION: (405.718, 256.031, 26.4331); TOOL_DIRECTION: (-0.1335, 0.200057, -0.970647)
TIME_SPECIAL: 221781678976372; POINT_POSITION: (405.075, 256.966, 18.5166); TOOL_DIRECTION: (-0.133429, 0.201013, -0.970459)
TIME_SPECIAL: 221781698551033; POINT_POSITION: (404.714, 257.36, 14.5593); TOOL_DIRECTION: (-0.133409, 0.20125, -0.970413)
TIME_SPECIAL: 221781717947024; POINT_POSITION: (404.086, 257.675, 11.3949); TOOL_DIRECTION: (-0.134021, 0.201416, -0.970294)
TIME_SPECIAL: 221781738274447; POINT_POSITION: (403.782, 257.936, 8.79541); TOOL_DIRECTION: (-0.134186, 0.201542, -0.970245)
TIME_SPECIAL: 221781758145676; POINT_POSITION: (403.726, 258.075, 6.55789); TOOL_DIRECTION: (-0.133956, 0.201289, -0.970329)
TIME_SPECIAL: 221781776231017; POINT_POSITION: (403.87, 258.205, 4.72171); TOOL_DIRECTION: (-0.133404, 0.201119, -0.97044)
TIME_SPECIAL: 221781795606346; POINT_POSITION: (403.764, 258.134, 3.85328); TOOL_DIRECTION: (-0.133397, 0.200488, -0.970572)
TIME_SPECIAL: 221781815408294; POINT_POSITION: (403.748, 257.858, 2.346); TOOL_DIRECTION: (-0.132994, 0.198652, -0.971005)
TIME_SPECIAL: 221781836290768; POINT_POSITION: (404.454, 257.704, 1.20173); TOOL_DIRECTION: (-0.131231, 0.197321, -0.971516)
TIME_SPECIAL: 221781854058070; POINT_POSITION: (404.675, 257.677, 0.296375); TOOL_DIRECTION: (-0.130004, 0.196526, -0.971842)
TIME_SPECIAL: 221781873015287; POINT_POSITION: (404.686, 257.946, 0); TOOL_DIRECTION: (-0.128874, 0.197383, -0.971819)
TIME_SPECIAL: 221781891963186; POINT_POSITION: (404.837, 258.505, 0); TOOL_DIRECTION: (-0.127603, 0.200683, -0.97131)
TIME_SPECIAL: 221781911954338; POINT_POSITION: (405.366, 257.869, 0); TOOL_DIRECTION: (-0.124316, 0.200442, -0.971786)
TIME_SPECIAL: 221781931347493; POINT_POSITION: (408.501, 255.617, 0.439436); TOOL_DIRECTION: (-0.118555, 0.194658, -0.97368)
TIME_SPECIAL: 221781952800414; POINT_POSITION: (411.855, 252.488, 0.524716); TOOL_DIRECTION: (-0.113833, 0.191326, -0.974903)
TIME_SPECIAL: 221781972143736; POINT_POSITION: (415.882, 249.054, 2.15105); TOOL_DIRECTION: (-0.10898, 0.184371, -0.976796)
TIME_SPECIAL: 221781991037750; POINT_POSITION: (419.528, 246.495, 1.78464); TOOL_DIRECTION: (-0.105879, 0.18232, -0.977522)
TIME_SPECIAL: 221782013522174; POINT_POSITION: (423.338, 243.92, 0); TOOL_DIRECTION: (-0.102681, 0.17759, -0.978733)
TIME_SPECIAL: 221782031738378; POINT_POSITION: (428.393, 240.575, 0); TOOL_DIRECTION: (-0.0984682, 0.169225, -0.980646)
TIME_SPECIAL: 221782052304838; POINT_POSITION: (433.869, 237.544, 0); TOOL_DIRECTION: (-0.0922473, 0.160972, -0.982638)
TIME_SPECIAL: 221782069796235; POINT_POSITION: (439.322, 234.33, 0); TOOL_DIRECTION: (-0.0871518, 0.152259, -0.984491)
TIME_SPECIAL: 221782089783335; POINT_POSITION: (442.312, 232.751, 0); TOOL_DIRECTION: (-0.0846684, 0.147579, -0.98542)
TIME_SPECIAL: 221782111194121; POINT_POSITION: (445.962, 232.878, 0); TOOL_DIRECTION: (-0.0796763, 0.146764, -0.985958)
TIME_SPECIAL: 221782131666587; POINT_POSITION: (448.921, 231.296, 0); TOOL_DIRECTION: (-0.0769578, 0.141006, -0.987013)
TIME_SPECIAL: 221782151354688; POINT_POSITION: (452.702, 230.617, 0); TOOL_DIRECTION: (-0.0735615, 0.140235, -0.987382)
TIME_SPECIAL: 221782169750778; POINT_POSITION: (457.548, 226.986, 0); TOOL_DIRECTION: (-0.0700654, 0.131188, -0.988878)
TIME_PRESSED: 221782169891363; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 221782209568591; POINT_POSITION: (469.766, 221.789, 0); TOOL_DIRECTION: (-0.0628509, 0.126429, -0.989983)
TIME_SPECIAL: 221782230557214; POINT_POSITION: (478.682, 218.375, 0); TOOL_DIRECTION: (-0.0550868, 0.125547, -0.990557)
TIME_SPECIAL: 221782248517365; POINT_POSITION: (481.038, 217.053, 0); TOOL_DIRECTION: (-0.0535964, 0.124375, -0.990787)
