PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 181184638379056
TIME_WORD_START: 181184654551296; WORD_VALUE: the
TIME_SPECIAL: 181185247542582; POINT_POSITION: (1297.94, 36.6405, 434.558)
TIME_SPECIAL: 181185279366042; POINT_POSITION: (1277.57, 37.9356, 434.558)
TIME_SPECIAL: 181185309132572; POINT_POSITION: (1233.29, 44.6085, 434.558)
TIME_SPECIAL: 181185344264865; POINT_POSITION: (1139.63, 61.6165, 434.558)
TIME_SPECIAL: 181185377899735; POINT_POSITION: (1073.49, 71.2657, 434.558)
TIME_SPECIAL: 181185410283108; POINT_POSITION: (1041.66, 80.814, 434.558)
TIME_SPECIAL: 181185436650863; POINT_POSITION: (1019.25, 88.6614, 434.558)
TIME_SPECIAL: 181185472477577; POINT_POSITION: (951.091, 102.74, 434.558)
TIME_SPECIAL: 181185510658193; POINT_POSITION: (899.748, 117.809, 434.558)
TIME_SPECIAL: 181185547928444; POINT_POSITION: (853.35, 127.173, 434.558)
TIME_SPECIAL: 181185578984961; POINT_POSITION: (809.953, 133.852, 434.558)
TIME_SPECIAL: 181185613436202; POINT_POSITION: (761.247, 144.528, 434.558)
TIME_SPECIAL: 181185648649929; POINT_POSITION: (731.921, 144.495, 434.558)
TIME_SPECIAL: 181185684776857; POINT_POSITION: (705.274, 146.886, 434.558)
TIME_SPECIAL: 181185720605191; POINT_POSITION: (672.746, 145.486, 434.558)
TIME_SPECIAL: 181185751650364; POINT_POSITION: (654.661, 142.65, 434.558)
TIME_SPECIAL: 181185786121863; POINT_POSITION: (638.535, 145.178, 434.558)
TIME_SPECIAL: 181185820366479; POINT_POSITION: (625.532, 147.901, 434.558)
TIME_SPECIAL: 181185855540502; POINT_POSITION: (608.603, 151.092, 434.558)
TIME_SPECIAL: 181185889443174; POINT_POSITION: (591.065, 157.897, 434.558)
TIME_SPECIAL: 181185921388178; POINT_POSITION: (573.619, 164.269, 434.558)
TIME_SPECIAL: 181185956266849; POINT_POSITION: (562.687, 168.855, 434.558)
TIME_SPECIAL: 181185991598068; POINT_POSITION: (546.722, 178.747, 434.558)
TIME_SPECIAL: 181186026869326; POINT_POSITION: (530.715, 188.674, 434.558)
TIME_SPECIAL: 181186057328252; POINT_POSITION: (516.889, 196.29, 434.558)
TIME_SPECIAL: 181186089893940; POINT_POSITION: (506.644, 202.202, 434.558)
TIME_SPECIAL: 181186121590184; POINT_POSITION: (493.362, 211.804, 434.558)
TIME_SPECIAL: 181186158776570; POINT_POSITION: (478.546, 221.258, 434.558)
TIME_SPECIAL: 181186192360392; POINT_POSITION: (468.689, 226.535, 434.558)
TIME_SPECIAL: 181186223579373; POINT_POSITION: (461.575, 230.43, 434.558)
TIME_SPECIAL: 181186260471217; POINT_POSITION: (451.869, 236.725, 434.558)
TIME_SPECIAL: 181186294011284; POINT_POSITION: (445.242, 241.804, 434.558)
TIME_SPECIAL: 181186329726177; POINT_POSITION: (438.55, 245.2, 434.558)
TIME_SPECIAL: 181186364467098; POINT_POSITION: (431.471, 247.326, 434.558)
TIME_SPECIAL: 181186398938596; POINT_POSITION: (426.389, 248.551, 434.558)
TIME_SPECIAL: 181186434042529; POINT_POSITION: (420.791, 249.546, 434.558)
TIME_SPECIAL: 181186467518176; POINT_POSITION: (416.747, 249.827, 434.558)
TIME_SPECIAL: 181186500855669; POINT_POSITION: (413.058, 250.714, 434.558)
TIME_SPECIAL: 181186535554455; POINT_POSITION: (410.39, 252.295, 434.558)
TIME_SPECIAL: 181186569135846; POINT_POSITION: (409.421, 252.58, 434.558)
TIME_SPECIAL: 181186598545442; POINT_POSITION: (409.227, 252.601, 434.558)
TIME_SPECIAL: 181186633812243; POINT_POSITION: (408.526, 252.845, 434.558)
TIME_SPECIAL: 181186669478114; POINT_POSITION: (408.165, 252.695, 434.558)
TIME_SPECIAL: 181186706211141; POINT_POSITION: (408.092, 252.302, 434.558)
TIME_SPECIAL: 181186742165071; POINT_POSITION: (408.091, 251.801, 0)
TIME_PRESSED: 181186742632610; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 181186841030174; POINT_POSITION: (408.166, 251.677, 0)
TIME_SPECIAL: 181186879850517; POINT_POSITION: (408.158, 251.823, 0)
TIME_SPECIAL: 181186917408827; POINT_POSITION: (408.157, 251.856, 0)
TIME_SPECIAL: 181186958550660; POINT_POSITION: (408.181, 251.656, 0)
TIME_SPECIAL: 181187001520515; POINT_POSITION: (408.15, 251.574, 0)
TIME_SPECIAL: 181187047425657; POINT_POSITION: (408.142, 251.565, 0)
TIME_SPECIAL: 181187086170642; POINT_POSITION: (408.142, 251.565, 0)
TIME_SPECIAL: 181187128304274; POINT_POSITION: (408.456, 251.326, 0)
TIME_SPECIAL: 181187167788247; POINT_POSITION: (409.263, 250.617, 0)
TIME_SPECIAL: 181187198946861; POINT_POSITION: (412.138, 247.978, 0)
TIME_SPECIAL: 181187231813574; POINT_POSITION: (415.991, 244.553, 0)
TIME_SPECIAL: 181187267155732; POINT_POSITION: (424.361, 236.993, 0)
TIME_SPECIAL: 181187301434381; POINT_POSITION: (434.789, 228.353, 0)
TIME_SPECIAL: 181187340274981; POINT_POSITION: (446.329, 219.234, 0)
TIME_SPECIAL: 181187372608925; POINT_POSITION: (458.099, 210.973, 0)
