PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221966136902702
TIME_WORD_START: 221966143975752; WORD_VALUE: the
TIME_SPECIAL: 221967682817162; POINT_POSITION: (439.145, 230.17, 0); TOOL_DIRECTION: (0.0800312, -0.254917, -0.963645)
TIME_SPECIAL: 221967718934367; POINT_POSITION: (458.24, 222.738, 0); TOOL_DIRECTION: (0.0943571, -0.266279, -0.959267)
TIME_PRESSED: 221967719347616; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 221967781496303; POINT_POSITION: (486.402, 208.804, 0); TOOL_DIRECTION: (0.116575, -0.2896, -0.950022)
TIME_SPECIAL: 221967815704051; POINT_POSITION: (504.193, 200.793, 0); TOOL_DIRECTION: (0.130654, -0.302045, -0.944298)
TIME_SPECIAL: 221967856030729; POINT_POSITION: (516.724, 193.48, 0); TOOL_DIRECTION: (0.13941, -0.313315, -0.939361)
TIME_SPECIAL: 221967889750680; POINT_POSITION: (523.374, 187.838, 0); TOOL_DIRECTION: (0.144444, -0.323638, -0.935091)
TIME_SPECIAL: 221967925925010; POINT_POSITION: (528.118, 184.296, 0); TOOL_DIRECTION: (0.147817, -0.328435, -0.932888)
TIME_SPECIAL: 221967961606276; POINT_POSITION: (529.372, 183.385, 0); TOOL_DIRECTION: (0.149289, -0.329432, -0.932302)
TIME_SPECIAL: 221968003487907; POINT_POSITION: (534.837, 179.536, 0); TOOL_DIRECTION: (0.154586, -0.334024, -0.929801)
TIME_SPECIAL: 221968043035488; POINT_POSITION: (537.029, 179.157, 0); TOOL_DIRECTION: (0.157904, -0.334493, -0.929075)
TIME_SPECIAL: 221968080042799; POINT_POSITION: (536.146, 179.208, 0); TOOL_DIRECTION: (0.157965, -0.340176, -0.926999)
TIME_SPECIAL: 221968118836402; POINT_POSITION: (530.784, 182.145, 0); TOOL_DIRECTION: (0.15655, -0.337074, -0.928371)
TIME_SPECIAL: 221968160588386; POINT_POSITION: (518.337, 185.781, 0); TOOL_DIRECTION: (0.151669, -0.330447, -0.931558)
TIME_SPECIAL: 221968193402024; POINT_POSITION: (507.091, 188.197, 0); TOOL_DIRECTION: (0.146797, -0.326121, -0.933861)
