TIME_EXPERIMENT_START: 312860313893451
TIME_WORD_START: 312860319066769 WORD_VALUE: the
TIME_PRESSED: 312863236373094 KEY_PRESSED: VK_ENTER KEY_EXPECTED: VK_ENTER KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_WORD_END: 312863236475191 WORD_VALUE: the
TIME_WORD_START: 312863236598356 WORD_VALUE: brown
TIME_SPECIAL: 312863257815481 POINT_POSITION: (665, 36, 0)
TIME_SPECIAL: 312863274165580 POINT_POSITION: (665, 36, 0)
TIME_SPECIAL: 312863291410647 POINT_POSITION: (665, 36, 0)
TIME_SPECIAL: 312863306414443 POINT_POSITION: (665, 36, 0)
TIME_SPECIAL: 312864311785473 POINT_POSITION: (443, 111, 0)
TIME_PRESSED: 312864312357540 KEY_PRESSED: VK_B KEY_EXPECTED: VK_B KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312864359294185 POINT_POSITION: (434, 122, 0)
TIME_SPECIAL: 312864387848112 POINT_POSITION: (414, 147, 0)
TIME_SPECIAL: 312864415276946 POINT_POSITION: (380, 187, 0)
TIME_SPECIAL: 312864440057336 POINT_POSITION: (369, 199, 0)
TIME_SPECIAL: 312864461933635 POINT_POSITION: (361, 209, 0)
TIME_SPECIAL: 312864488218740 POINT_POSITION: (361, 209, 0)
TIME_SPECIAL: 312864513925295 POINT_POSITION: (356, 219, 0)
TIME_SPECIAL: 312864535094208 POINT_POSITION: (350, 219, 0)
TIME_SPECIAL: 312864559702816 POINT_POSITION: (347, 222, 0)
TIME_SPECIAL: 312864587152313 POINT_POSITION: (340, 229, 0)
TIME_PRESSED: 312864587467517 KEY_PRESSED: VK_R KEY_EXPECTED: VK_R KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312864629928912 POINT_POSITION: (331, 232, 0)
TIME_SPECIAL: 312864652342031 POINT_POSITION: (324, 237, 0)
TIME_SPECIAL: 312864679302515 POINT_POSITION: (313, 244, 0)
TIME_SPECIAL: 312864705706733 POINT_POSITION: (313, 249, 0)
TIME_SPECIAL: 312864731985356 POINT_POSITION: (303, 251, 0)
TIME_SPECIAL: 312864759140311 POINT_POSITION: (301, 251, 0)
TIME_SPECIAL: 312864785177061 POINT_POSITION: (296, 256, 0)
TIME_SPECIAL: 312864812210472 POINT_POSITION: (289, 260, 0)
TIME_SPECIAL: 312864838561210 POINT_POSITION: (283, 261, 0)
TIME_SPECIAL: 312864863692458 POINT_POSITION: (283, 261, 0)
TIME_SPECIAL: 312864888412886 POINT_POSITION: (282, 261, 0)
TIME_SPECIAL: 312864911686941 POINT_POSITION: (282, 261, 0)
TIME_SPECIAL: 312864938794899 POINT_POSITION: (282, 261, 0)
TIME_SPECIAL: 312864964442708 POINT_POSITION: (282, 261, 0)
TIME_SPECIAL: 312864986645555 POINT_POSITION: (282, 261, 0)
TIME_SPECIAL: 312865015265520 POINT_POSITION: (282, 261, 0)
TIME_SPECIAL: 312865041783990 POINT_POSITION: (310, 261, 0)
TIME_SPECIAL: 312865070516586 POINT_POSITION: (310, 261, 0)
TIME_SPECIAL: 312865098660504 POINT_POSITION: (361, 261, 0)
TIME_SPECIAL: 312865122127408 POINT_POSITION: (494, 261, 0)
TIME_SPECIAL: 312865146281847 POINT_POSITION: (516, 261, 0)
TIME_SPECIAL: 312865171195936 POINT_POSITION: (538, 261, 0)
TIME_SPECIAL: 312865193011463 POINT_POSITION: (551, 261, 0)
TIME_SPECIAL: 312865211654691 POINT_POSITION: (551, 261, 0)
