TIME_EXPERIMENT_START: 29897539056039
TIME_WORD_START: 29897544939939; WORD_VALUE: the
TIME_SPECIAL: 29898480810578; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898491104060; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898501357028; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898512677549; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898522749822; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898535467683; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898547680330; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898559683112; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898570863454; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898582395054; POINT_POSITION: (349, 282, 0)
TIME_PRESSED: 29898582591144; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 29898606347140; POINT_POSITION: (351, 281, 0)
TIME_SPECIAL: 29898621394576; POINT_POSITION: (354, 276, 0)
TIME_SPECIAL: 29898631802714; POINT_POSITION: (356, 274, 0)
TIME_SPECIAL: 29898642184112; POINT_POSITION: (358, 272, 0)
TIME_SPECIAL: 29898653166743; POINT_POSITION: (362, 267, 0)
TIME_SPECIAL: 29898664042011; POINT_POSITION: (365, 263, 0)
TIME_SPECIAL: 29898674328606; POINT_POSITION: (369, 257, 0)
TIME_SPECIAL: 29898684291896; POINT_POSITION: (375, 256, 0)
TIME_SPECIAL: 29898694338645; POINT_POSITION: (377, 253, 0)
TIME_SPECIAL: 29898705731282; POINT_POSITION: (381, 250, 0)
TIME_SPECIAL: 29898716791295; POINT_POSITION: (381, 246, 0)
TIME_SPECIAL: 29898728454567; POINT_POSITION: (385, 243, 0)
TIME_SPECIAL: 29898739496755; POINT_POSITION: (391, 239, 0)
TIME_PRESSED: 29898739683931; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 29898757761436; POINT_POSITION: (394, 233, 0)
TIME_SPECIAL: 29898768449932; POINT_POSITION: (395, 232, 0)
TIME_SPECIAL: 29898779178539; POINT_POSITION: (399, 227, 0)
TIME_SPECIAL: 29898789768180; POINT_POSITION: (399, 226, 0)
TIME_SPECIAL: 29898800893017; POINT_POSITION: (399, 221, 0)
TIME_SPECIAL: 29898811853365; POINT_POSITION: (405, 219, 0)
TIME_SPECIAL: 29898825014048; POINT_POSITION: (405, 217, 0)
TIME_SPECIAL: 29898834575030; POINT_POSITION: (407, 215, 0)
TIME_SPECIAL: 29898845214910; POINT_POSITION: (409, 214, 0)
TIME_SPECIAL: 29898856088152; POINT_POSITION: (410, 213, 0)
TIME_SPECIAL: 29898866725601; POINT_POSITION: (411, 212, 0)
TIME_SPECIAL: 29898877861782; POINT_POSITION: (414, 209, 0)
TIME_SPECIAL: 29898888596465; POINT_POSITION: (414, 208, 0)
TIME_SPECIAL: 29898898620121; POINT_POSITION: (417, 204, 0)
TIME_SPECIAL: 29898909289981; POINT_POSITION: (417, 204, 0)
TIME_SPECIAL: 29898920142156; POINT_POSITION: (417, 203, 0)
TIME_SPECIAL: 29898931527095; POINT_POSITION: (420, 198, 0)
TIME_SPECIAL: 29898942282035; POINT_POSITION: (421, 197, 0)
TIME_SPECIAL: 29898952345396; POINT_POSITION: (421, 197, 0)
TIME_SPECIAL: 29898963043211; POINT_POSITION: (421, 195, 0)
TIME_SPECIAL: 29898972980572; POINT_POSITION: (423, 193, 0)
TIME_SPECIAL: 29898983139546; POINT_POSITION: (424, 193, 0)
TIME_SPECIAL: 29898993557812; POINT_POSITION: (424, 192, 0)
TIME_SPECIAL: 29899003730156; POINT_POSITION: (424, 191, 0)
