PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 181479450601278
TIME_WORD_START: 181479469178873; WORD_VALUE: the
TIME_SPECIAL: 181481349908963; POINT_POSITION: (409.543, 245.76, 237.17); TOOL_DIRECTION: (-0.234656, 0.310864, -0.921032)
TIME_SPECIAL: 181481379917771; POINT_POSITION: (410.286, 245.19, 229.058); TOOL_DIRECTION: (-0.230568, 0.309932, -0.922378)
TIME_SPECIAL: 181481409079417; POINT_POSITION: (411.154, 244.731, 221.111); TOOL_DIRECTION: (-0.225928, 0.307922, -0.924197)
TIME_SPECIAL: 181481440466534; POINT_POSITION: (412.064, 244.314, 213.152); TOOL_DIRECTION: (-0.222278, 0.305763, -0.925798)
TIME_SPECIAL: 181481474310865; POINT_POSITION: (413.198, 243.908, 202.643); TOOL_DIRECTION: (-0.218026, 0.304111, -0.927352)
TIME_SPECIAL: 181481503850108; POINT_POSITION: (413.987, 243.663, 194.824); TOOL_DIRECTION: (-0.214621, 0.30133, -0.929052)
TIME_SPECIAL: 181481549252463; POINT_POSITION: (415.212, 243.307, 183.474); TOOL_DIRECTION: (-0.209172, 0.298231, -0.931292)
TIME_SPECIAL: 181481579371876; POINT_POSITION: (417.254, 242.988, 170.293); TOOL_DIRECTION: (-0.199523, 0.292796, -0.935126)
TIME_SPECIAL: 181481610194219; POINT_POSITION: (419.869, 242.62, 156.564); TOOL_DIRECTION: (-0.193779, 0.290294, -0.937112)
TIME_SPECIAL: 181481642725065; POINT_POSITION: (421.838, 242.597, 144.348); TOOL_DIRECTION: (-0.191711, 0.290544, -0.93746)
TIME_SPECIAL: 181481672895526; POINT_POSITION: (423.402, 242.947, 131.569); TOOL_DIRECTION: (-0.191222, 0.292563, -0.936932)
TIME_SPECIAL: 181481707432658; POINT_POSITION: (424.39, 243.782, 118.243); TOOL_DIRECTION: (-0.191212, 0.295601, -0.93598)
TIME_SPECIAL: 181481738946991; POINT_POSITION: (424.622, 244.694, 111.466); TOOL_DIRECTION: (-0.191322, 0.29888, -0.934915)
TIME_SPECIAL: 181481770919140; POINT_POSITION: (423.993, 246.157, 105.19); TOOL_DIRECTION: (-0.194002, 0.30327, -0.932947)
TIME_SPECIAL: 181481804793047; POINT_POSITION: (423.103, 247.027, 101.268); TOOL_DIRECTION: (-0.193375, 0.301878, -0.933529)
TIME_SPECIAL: 181481835517343; POINT_POSITION: (422.777, 247.753, 97.1185); TOOL_DIRECTION: (-0.190629, 0.303439, -0.933587)
TIME_SPECIAL: 181481869382337; POINT_POSITION: (422.725, 248.8, 90.434); TOOL_DIRECTION: (-0.187037, 0.30388, -0.93417)
TIME_SPECIAL: 181481902599502; POINT_POSITION: (420.035, 251.082, 65.2265); TOOL_DIRECTION: (-0.182791, 0.302219, -0.935548)
TIME_SPECIAL: 181481936095002; POINT_POSITION: (416.345, 253.265, 43.7884); TOOL_DIRECTION: (-0.18082, 0.302766, -0.935755)
TIME_SPECIAL: 181481971809490; POINT_POSITION: (409.854, 254.941, 32.025); TOOL_DIRECTION: (-0.184888, 0.304516, -0.934391)
TIME_PRESSED: 181481972386014; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 181482251205919; POINT_POSITION: (400.183, 259.27, 0); TOOL_DIRECTION: (-0.16916, 0.317876, -0.93292)
TIME_SPECIAL: 181482295628224; POINT_POSITION: (401.173, 258.878, 2.31262); TOOL_DIRECTION: (-0.164615, 0.317672, -0.933802)
TIME_SPECIAL: 181482324648879; POINT_POSITION: (400.986, 258.673, 4.01692); TOOL_DIRECTION: (-0.16085, 0.317806, -0.934412)
TIME_SPECIAL: 181482350624857; POINT_POSITION: (400.742, 258.642, 4.41954); TOOL_DIRECTION: (-0.159759, 0.318039, -0.93452)
TIME_SPECIAL: 181482384692424; POINT_POSITION: (400.372, 258.363, 5.20634); TOOL_DIRECTION: (-0.155848, 0.317048, -0.935517)
TIME_SPECIAL: 181482416808805; POINT_POSITION: (400.422, 258.348, 5.18906); TOOL_DIRECTION: (-0.154609, 0.317079, -0.935712)
TIME_SPECIAL: 181482455077338; POINT_POSITION: (401.099, 258.067, 5.32953); TOOL_DIRECTION: (-0.150849, 0.314702, -0.937127)
TIME_SPECIAL: 181482497785063; POINT_POSITION: (409.04, 254.226, 3.68476); TOOL_DIRECTION: (-0.142572, 0.306716, -0.941062)
TIME_SPECIAL: 181482545144681; POINT_POSITION: (412.421, 253.166, 0); TOOL_DIRECTION: (-0.13955, 0.304963, -0.942084)
TIME_SPECIAL: 181482579550546; POINT_POSITION: (429.963, 247.102, 0); TOOL_DIRECTION: (-0.12822, 0.293485, -0.947326)
TIME_SPECIAL: 181482615690438; POINT_POSITION: (435.872, 244.707, 0); TOOL_DIRECTION: (-0.121685, 0.284655, -0.950876)
TIME_SPECIAL: 181482647498502; POINT_POSITION: (439.066, 244.478, 0); TOOL_DIRECTION: (-0.116867, 0.278996, -0.953154)
TIME_SPECIAL: 181482681293811; POINT_POSITION: (446.602, 241.716, 0); TOOL_DIRECTION: (-0.112097, 0.270147, -0.956271)
TIME_SPECIAL: 181482713926754; POINT_POSITION: (454.473, 238.422, 0); TOOL_DIRECTION: (-0.108349, 0.265051, -0.958128)
TIME_SPECIAL: 181482747710718; POINT_POSITION: (466.287, 232.894, 0); TOOL_DIRECTION: (-0.101215, 0.260253, -0.960221)
TIME_PRESSED: 181482747924231; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 181482849046001; POINT_POSITION: (493.568, 215.687, 0); TOOL_DIRECTION: (-0.0849041, 0.240628, -0.966897)
TIME_SPECIAL: 181482882471815; POINT_POSITION: (505.313, 208.159, 0); TOOL_DIRECTION: (-0.0782312, 0.228255, -0.970453)
TIME_SPECIAL: 181482919544761; POINT_POSITION: (517.261, 200.759, 0); TOOL_DIRECTION: (-0.0701317, 0.219538, -0.97308)
TIME_SPECIAL: 181482953431227; POINT_POSITION: (526.115, 194.075, 0); TOOL_DIRECTION: (-0.0648287, 0.21022, -0.975502)
TIME_SPECIAL: 181482987001679; POINT_POSITION: (531.449, 190.226, 0); TOOL_DIRECTION: (-0.0613297, 0.206287, -0.976568)
TIME_SPECIAL: 181483019325495; POINT_POSITION: (536.042, 187.01, 0); TOOL_DIRECTION: (-0.0582716, 0.206269, -0.976759)
TIME_SPECIAL: 181483049535256; POINT_POSITION: (538.872, 183.599, 0); TOOL_DIRECTION: (-0.0552434, 0.203747, -0.977464)
TIME_SPECIAL: 181483081006238; POINT_POSITION: (541.417, 179.217, 0); TOOL_DIRECTION: (-0.0516881, 0.193623, -0.979713)
TIME_SPECIAL: 181483115741487; POINT_POSITION: (543.406, 178.375, 0); TOOL_DIRECTION: (-0.0478347, 0.194635, -0.979709)
TIME_SPECIAL: 181483150057409; POINT_POSITION: (540.442, 178.185, 0); TOOL_DIRECTION: (-0.0484031, 0.186044, -0.981348)
TIME_SPECIAL: 181483183400169; POINT_POSITION: (542.972, 179.354, 0); TOOL_DIRECTION: (-0.0460132, 0.19387, -0.979948)
TIME_SPECIAL: 181483216806941; POINT_POSITION: (545.111, 177.897, 0); TOOL_DIRECTION: (-0.0427104, 0.192446, -0.980378)
TIME_SPECIAL: 181483250254229; POINT_POSITION: (544.274, 177.074, 0); TOOL_DIRECTION: (-0.0415856, 0.192591, -0.980397)
TIME_SPECIAL: 181483286277439; POINT_POSITION: (536.394, 177.867, 0); TOOL_DIRECTION: (-0.0430402, 0.195084, -0.979842)
TIME_SPECIAL: 181483317524780; POINT_POSITION: (527.562, 180.265, 0); TOOL_DIRECTION: (-0.045797, 0.196712, -0.979391)
TIME_SPECIAL: 181483351402739; POINT_POSITION: (510.937, 186.632, 0); TOOL_DIRECTION: (-0.0495598, 0.205346, -0.977434)
TIME_SPECIAL: 181483383415807; POINT_POSITION: (499.341, 190.413, 0); TOOL_DIRECTION: (-0.0527609, 0.210971, -0.976067)
TIME_SPECIAL: 181483418134850; POINT_POSITION: (482.162, 196.678, 0); TOOL_DIRECTION: (-0.0594572, 0.223525, -0.972883)
TIME_SPECIAL: 181483447784698; POINT_POSITION: (460.804, 205.429, 0); TOOL_DIRECTION: (-0.0683683, 0.241135, -0.96808)
TIME_SPECIAL: 181483483845992; POINT_POSITION: (434.57, 215.366, 0); TOOL_DIRECTION: (-0.0754944, 0.254294, -0.964176)
TIME_SPECIAL: 181483522169220; POINT_POSITION: (420.821, 214.249, 0); TOOL_DIRECTION: (-0.0769936, 0.243926, -0.966733)
TIME_SPECIAL: 181483545462722; POINT_POSITION: (414.676, 216.419, 0); TOOL_DIRECTION: (-0.077896, 0.244674, -0.966471)
TIME_SPECIAL: 181483577435680; POINT_POSITION: (388.506, 222.324, 0); TOOL_DIRECTION: (-0.0848579, 0.257498, -0.962546)
TIME_SPECIAL: 181483618600607; POINT_POSITION: (364.745, 227.89, 0); TOOL_DIRECTION: (-0.0911585, 0.269462, -0.958687)
TIME_SPECIAL: 181483651868820; POINT_POSITION: (345.486, 230.658, 3.08739); TOOL_DIRECTION: (-0.0954064, 0.272128, -0.95752)
TIME_SPECIAL: 181483683075241; POINT_POSITION: (331.852, 233.392, 7.28852); TOOL_DIRECTION: (-0.0981268, 0.276734, -0.955923)
TIME_SPECIAL: 181483714267077; POINT_POSITION: (320.278, 235.375, 11.4219); TOOL_DIRECTION: (-0.0992913, 0.280064, -0.954833)
TIME_PRESSED: 181483714643863; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 181483795680488; POINT_POSITION: (287.873, 239.888, 19.4085); TOOL_DIRECTION: (-0.104789, 0.282341, -0.953574)
