TIME_EXPERIMENT_START: 312764613296022
TIME_WORD_START: 312764637058278 WORD_VALUE: the
TIME_SPECIAL: 312767509653834 POINT_POSITION: (420.897, 217.063, 0) TOOL_DIRECTION: (-0.0411524, -0.0335382, -0.99859)
TIME_SPECIAL: 312767541410445 POINT_POSITION: (428.216, 211.738, 0) TOOL_DIRECTION: (-0.0344377, -0.0359403, -0.99876)
TIME_SPECIAL: 312767574525107 POINT_POSITION: (438.89, 202.579, 0) TOOL_DIRECTION: (-0.0275058, -0.0379636, -0.9989)
TIME_SPECIAL: 312767611336732 POINT_POSITION: (446.87, 194.989, 0) TOOL_DIRECTION: (-0.0253072, -0.0410389, -0.998837)
TIME_SPECIAL: 312767639951836 POINT_POSITION: (452.846, 190.295, 0) TOOL_DIRECTION: (-0.0231034, -0.0422397, -0.99884)
TIME_SPECIAL: 312767672098197 POINT_POSITION: (456.505, 187.769, 0) TOOL_DIRECTION: (-0.0213265, -0.0447061, -0.998773)
TIME_SPECIAL: 312767703940294 POINT_POSITION: (460.203, 184.07, 0) TOOL_DIRECTION: (-0.0231525, -0.0474407, -0.998606)
TIME_SPECIAL: 312767736328123 POINT_POSITION: (460.138, 182.934, 0) TOOL_DIRECTION: (-0.0259026, -0.0489253, -0.998466)
TIME_SPECIAL: 312767771037037 POINT_POSITION: (460.24, 181.657, 0) TOOL_DIRECTION: (-0.027158, -0.0515179, -0.998303)
TIME_SPECIAL: 312767806726406 POINT_POSITION: (458.762, 181.304, 0) TOOL_DIRECTION: (-0.0211001, -0.050583, -0.998497)
TIME_SPECIAL: 312767838087189 POINT_POSITION: (450.415, 182.326, 0) TOOL_DIRECTION: (-0.0266884, -0.0503704, -0.998374)
TIME_SPECIAL: 312767872955731 POINT_POSITION: (434.508, 189.644, 0) TOOL_DIRECTION: (-0.0381698, -0.0383703, -0.998534)
TIME_SPECIAL: 312767904194159 POINT_POSITION: (414.255, 196.951, 0) TOOL_DIRECTION: (-0.0495117, -0.0290165, -0.998352)
TIME_SPECIAL: 312767939417204 POINT_POSITION: (398.861, 201.848, 0) TOOL_DIRECTION: (-0.0568914, -0.0246873, -0.998075)
TIME_SPECIAL: 312767973753383 POINT_POSITION: (375.035, 211.797, 0) TOOL_DIRECTION: (-0.067576, -0.0132935, -0.997626)
TIME_SPECIAL: 312768003659284 POINT_POSITION: (355.086, 217.102, 0) TOOL_DIRECTION: (-0.0778717, -0.0100825, -0.996912)
TIME_SPECIAL: 312768039257495 POINT_POSITION: (329.821, 223.243, 0) TOOL_DIRECTION: (-0.0877628, -0.00848391, -0.996105)
TIME_SPECIAL: 312768069141113 POINT_POSITION: (308.293, 231.12, 0) TOOL_DIRECTION: (-0.0947999, -0.000613719, -0.995496)
TIME_SPECIAL: 312768107079046 POINT_POSITION: (287.354, 238.026, 0) TOOL_DIRECTION: (-0.100164, 0.00589743, -0.994953)
TIME_SPECIAL: 312768137575245 POINT_POSITION: (271.092, 241.855, 0) TOOL_DIRECTION: (-0.106049, 0.00715857, -0.994335)
