TIME_EXPERIMENT_START: 14895102190570
TIME_WORD_START: 14895105553667; WORD_VALUE: the
TIME_SPECIAL: 14896432679526; POINT_POSITION: (344.141, 279.799, 101.972); TOOL_DIRECTION: (-0.1717, 0.0599837, -0.983321)
TIME_SPECIAL: 14896446739222; POINT_POSITION: (343.405, 278.926, 98.5761); TOOL_DIRECTION: (-0.169935, 0.0578744, -0.983754)
TIME_SPECIAL: 14896459735416; POINT_POSITION: (341.916, 277.055, 91.1145); TOOL_DIRECTION: (-0.166484, 0.0539178, -0.984569)
TIME_SPECIAL: 14896472543624; POINT_POSITION: (340.895, 275.697, 87.0891); TOOL_DIRECTION: (-0.165245, 0.0510982, -0.984928)
TIME_SPECIAL: 14896485129003; POINT_POSITION: (339.133, 272.863, 77.9655); TOOL_DIRECTION: (-0.162632, 0.0450508, -0.985658)
TIME_SPECIAL: 14896500214523; POINT_POSITION: (337.559, 270.64, 69.2948); TOOL_DIRECTION: (-0.160142, 0.040199, -0.986275)
TIME_SPECIAL: 14896513906754; POINT_POSITION: (336.938, 270.241, 65.3832); TOOL_DIRECTION: (-0.159008, 0.0393702, -0.986492)
TIME_SPECIAL: 14896526714962; POINT_POSITION: (336.772, 269.64, 57.9879); TOOL_DIRECTION: (-0.155028, 0.0384036, -0.987163)
TIME_SPECIAL: 14896540240679; POINT_POSITION: (336.857, 268.996, 54.3354); TOOL_DIRECTION: (-0.152799, 0.0373026, -0.987553)
TIME_SPECIAL: 14896553631483; POINT_POSITION: (338.006, 267.34, 46.2167); TOOL_DIRECTION: (-0.146609, 0.0342787, -0.9886)
TIME_SPECIAL: 14896568161551; POINT_POSITION: (337.788, 267.2, 31.3938); TOOL_DIRECTION: (-0.143403, 0.0334253, -0.9891)
TIME_PRESSED: 14896568309834; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 14896588761480; POINT_POSITION: (335.95, 266.82, 0); TOOL_DIRECTION: (-0.138039, 0.0314619, -0.989927)
TIME_SPECIAL: 14896602658713; POINT_POSITION: (334.761, 267.022, 0); TOOL_DIRECTION: (-0.138111, 0.0317302, -0.989908)
TIME_SPECIAL: 14896616755683; POINT_POSITION: (332.56, 267.958, 0); TOOL_DIRECTION: (-0.138892, 0.0339025, -0.989727)
TIME_SPECIAL: 14896629946346; POINT_POSITION: (331.564, 268.478, 0); TOOL_DIRECTION: (-0.139528, 0.035306, -0.989588)
TIME_SPECIAL: 14896642431250; POINT_POSITION: (331.47, 269.457, 0); TOOL_DIRECTION: (-0.138097, 0.0385656, -0.989668)
TIME_SPECIAL: 14896653729082; POINT_POSITION: (331.47, 269.457, 0); TOOL_DIRECTION: (-0.138097, 0.0385656, -0.989668)
