KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [dubbed, bale, find, mans, sires, hailed, core, sue, coy, sicker, falls, shier, tin, dipped, tales]
TIME_DURATION_TOUCH_ONLY: [5.6876264, 1.9998643, 1.1561098, 1.5373757, 1.2437016, 1.2717146, 1.8687054, 2.0440066, 1.640807, 1.7951143, 1.1282774, 0.9165338, 1.8041792, 2.4014668, 1.4691262]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [4.990925, 1.9998643, 1.1561098, 1.5373757, 1.2437016, 1.2717146, 1.8687054, 2.0440066, 1.640807, 1.7951143, 1.1282774, 0.9165338, 1.8041792, 2.4014668, 1.4691262]
AVERAGE_PIXEL_VELOCITY: [12.146416, 14.063144, 14.286035, 15.675083, 13.310134, 17.24642, 19.967897, 17.54398, 17.24879, 15.592996, 16.018036, 11.740646, 13.974304, 19.67554, 13.486917]
REACTION_TIME_FIRST_PRESSED: [1.295966, 5.3020906, 1.3337754, 1.0503588, 1.0337069, 0.91684705, 0.9169236, 0.9836116, 5.3688245, 0.9002294, 0.93349856, 0.9335879, 0.88359606, 0.88360655, 0.8502424]
REACTION_TIME_FIRST_TOUCH: [1.295966, 1.4670807, 1.3337754, 1.0503588, 1.0337069, 0.91684705, 0.9169236, 0.9836116, 0.95020753, 0.9002294, 0.93349856, 0.9335879, 0.88359606, 0.88360655, 0.8502424]
AVERAGE_REACTION_TIME_TO_ERRORS: [1.3838481, 1.684011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6678302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [8.439373, 24.001629, 20.759275, 39.027546, 28.94585, 37.74432, 32.10779, 17.612469, 21.940422, 33.424053, 21.271364, 26.185614, 26.604895, 24.98473, 24.504362]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [9.617456, 24.001629, 20.759275, 39.027546, 28.94585, 37.74432, 32.10779, 17.612469, 21.940422, 33.424053, 21.271364, 26.185614, 26.604895, 24.98473, 24.504362]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [10.549216, 10.282998, 31.13891, 46.833054, 38.594467, 47.180397, 38.52935, 23.48329, 7.9215455, 40.108868, 31.907047, 39.278423, 33.25612, 29.981674, 32.67248]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [12.021819, 10.282998, 31.13891, 46.833054, 38.594467, 47.180397, 38.52935, 23.48329, 7.9215455, 40.108868, 31.907047, 39.278423, 33.25612, 29.981674, 32.67248]
