PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 147748413571130
TIME_WORD_START: 147748414493292; WORD_VALUE: cocker
TIME_SPECIAL: 147749104637145; POINT_POSITION: (412.179, 65.6725, 160.454); TOOL_DIRECTION: (-0.201399, -0.511959, -0.835067)
TIME_SPECIAL: 147749121352101; POINT_POSITION: (412.85, 66.0449, 160.354); TOOL_DIRECTION: (-0.196501, -0.516839, -0.833226)
TIME_SPECIAL: 147749137954417; POINT_POSITION: (413.815, 66.4354, 160.226); TOOL_DIRECTION: (-0.193269, -0.520147, -0.831922)
TIME_SPECIAL: 147749154656288; POINT_POSITION: (414.969, 66.8052, 160.034); TOOL_DIRECTION: (-0.190676, -0.519117, -0.833162)
TIME_SPECIAL: 147749171337395; POINT_POSITION: (416.106, 67.1531, 159.738); TOOL_DIRECTION: (-0.189941, -0.514851, -0.835973)
TIME_SPECIAL: 147749187991480; POINT_POSITION: (417.187, 67.4865, 159.384); TOOL_DIRECTION: (-0.189491, -0.512607, -0.837453)
TIME_SPECIAL: 147749204679698; POINT_POSITION: (418.182, 67.8133, 159.004); TOOL_DIRECTION: (-0.189881, -0.508885, -0.839631)
TIME_SPECIAL: 147749221384698; POINT_POSITION: (419, 68.1521, 158.569); TOOL_DIRECTION: (-0.192097, -0.500277, -0.844288)
TIME_SPECIAL: 147749238008632; POINT_POSITION: (419.384, 68.3258, 158.331); TOOL_DIRECTION: (-0.193023, -0.495427, -0.846932)
TIME_SPECIAL: 147749254721027; POINT_POSITION: (420.46, 68.8179, 157.716); TOOL_DIRECTION: (-0.190561, -0.484708, -0.853665)
TIME_SPECIAL: 147749271359752; POINT_POSITION: (422.101, 69.627, 156.645); TOOL_DIRECTION: (-0.189674, -0.474897, -0.859358)
TIME_SPECIAL: 147749288050815; POINT_POSITION: (424.712, 71.2072, 154.635); TOOL_DIRECTION: (-0.190507, -0.461002, -0.866709)
TIME_SPECIAL: 147749304739886; POINT_POSITION: (427.568, 74.8734, 152.036); TOOL_DIRECTION: (-0.187981, -0.452312, -0.871824)
TIME_SPECIAL: 147749321384584; POINT_POSITION: (430.344, 75.2776, 149); TOOL_DIRECTION: (-0.185094, -0.444075, -0.876663)
TIME_SPECIAL: 147749338079629; POINT_POSITION: (433.942, 78.0443, 145.183); TOOL_DIRECTION: (-0.180611, -0.434572, -0.882342)
TIME_SPECIAL: 147749354762158; POINT_POSITION: (438.581, 82.3815, 139.399); TOOL_DIRECTION: (-0.175449, -0.420472, -0.890181)
TIME_SPECIAL: 147749371421931; POINT_POSITION: (445.039, 90.2285, 130.022); TOOL_DIRECTION: (-0.168577, -0.3981, -0.90172)
TIME_SPECIAL: 147749388065492; POINT_POSITION: (451.506, 100.782, 119.316); TOOL_DIRECTION: (-0.162894, -0.374661, -0.91274)
TIME_SPECIAL: 147749404786989; POINT_POSITION: (455.94, 109.029, 111.192); TOOL_DIRECTION: (-0.156069, -0.349587, -0.923813)
TIME_SPECIAL: 147749421443919; POINT_POSITION: (458.119, 112.469, 106.547); TOOL_DIRECTION: (-0.15206, -0.338918, -0.928446)
TIME_SPECIAL: 147749438177932; POINT_POSITION: (458.168, 114.508, 103.523); TOOL_DIRECTION: (-0.151025, -0.332041, -0.931096)
