KEYBOARD_TYPE: controller
PRACTICE_WORDS_PER_INPUT: 2
WORD_ORDER: [fibs, pans, rub, shied, dubbed, tippee, gapes, calls, docker, fie]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 1.312362, 0.0, 0.0, 0.0, 1.3436421, 2.218704, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [40.86207, 39.99885, 30.117756, 33.38578, 42.672672, 33.68571, 23.995977, 20.209246, 35.72437, 29.546888]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [40.86207, 39.99885, 30.117756, 33.38578, 42.672672, 33.68571, 23.995977, 20.209246, 35.72437, 29.546888]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [49.03448, 16.457134, 37.647194, 50.07867, 53.34084, 13.713918, 7.419957, 30.313868, 44.655464, 39.39585]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [49.03448, 16.457134, 37.647194, 50.07867, 53.34084, 13.713918, 7.419957, 30.313868, 44.655464, 39.39585]
ERROR_RATE_KSPC: [1.0, 2.0, 1.0, 1.0, 1.0, 2.3333333, 3.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 2.0, 1.0, 1.0, 1.0, 2.3333333, 3.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 25.0, 0.0, 0.0, 0.0, 28.57143, 33.333336, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE: [0.0, 33.333336, 0.0, 0.0, 0.0, 40.0, 50.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 33.333336, 0.0, 0.0, 0.0, 40.0, 50.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 25.0, 0.0, 0.0, 0.0, 28.57143, 33.333336, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [253.50542, 339.0, 229.03493, 143.12582, 138.92444, 330.93805, 414.7915, 101.04455, 291.01547, 183.32484]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [253.50542, 339.0, 229.03493, 143.12582, 138.92444, 330.93805, 414.7915, 101.04455, 291.01547, 183.32484]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [253.50542, 205.93689, 229.03493, 143.12582, 138.92444, 343.39227, 414.7915, 101.04455, 291.01547, 183.32484]
KEYBOARD_TYPE: leapSurface
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [pens, calla, docked, tim, rind, sinned, yipped, agues, fit, vales]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 7, 1, 1, 1, 1, 6]
DISTANCE_TRAVELED_TOUCH_ONLY: [36.34831, 44.41031, 47.518505, 14.654245, 73.266174, 29.379482, 26.039526, 24.0817, 14.459939, 118.3984]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [36.34831, 44.41031, 47.518505, 14.654245, 73.266174, 29.379482, 26.039526, 24.0817, 14.459939, 118.3984]
TIME_DURATION_TOUCH_ONLY: [1.6340606, 1.7340807, 2.134388, 0.9671612, 1.7840799, 1.8175159, 2.1343024, 1.7840952, 0.9337739, 2.084215]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.6340606, 1.7340807, 2.134388, 0.9671612, 1.7840799, 1.8175159, 2.1343024, 1.7840952, 0.9337739, 2.084215]
AVERAGE_PIXEL_VELOCITY: [22.247616, 25.628685, 22.268154, 15.155437, 11.016769, 16.170229, 12.20395, 13.502513, 15.488511, 15.340126]
REACTION_TIME_FIRST_PRESSED: [1.258086, 0.933545, 0.8335835, 0.8334623, 8.420257, 0.75020146, 0.9002592, 0.8334396, 0.8669578, 8.703748]
REACTION_TIME_FIRST_TOUCH: [1.258086, 0.933545, 0.8335835, 0.8334623, 0.65016544, 0.75020146, 0.9002592, 0.8334396, 0.8669578, 0.7836269]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 2.0758362, 0.0, 0.0, 0.0, 0.0, 2.2758884]
