PRACTICE_WORD_COUNT: 6
TIME_EXPERIMENT_START: 40784760122298
TIME_WORD_START: 40784761120974; WORD_VALUE: tilled
TIME_SPECIAL: 40785487932543; POINT_POSITION: (738.31, 134.349, 102.136); TOOL_DIRECTION: (0.0262109, -0.408813, -0.912242)
TIME_SPECIAL: 40785504656032; POINT_POSITION: (723.661, 135.559, 101.637); TOOL_DIRECTION: (0.0222774, -0.409242, -0.912154)
TIME_SPECIAL: 40785521340268; POINT_POSITION: (708.277, 136.986, 101.102); TOOL_DIRECTION: (0.018192, -0.408623, -0.912522)
TIME_SPECIAL: 40785538006299; POINT_POSITION: (692.901, 138.343, 99.965); TOOL_DIRECTION: (0.0132722, -0.408344, -0.912732)
TIME_SPECIAL: 40785554724668; POINT_POSITION: (677.906, 139.682, 99.2333); TOOL_DIRECTION: (0.0076139, -0.407327, -0.913251)
TIME_SPECIAL: 40785571298256; POINT_POSITION: (663.513, 140.948, 98.5689); TOOL_DIRECTION: (0.00353072, -0.404668, -0.914457)
TIME_SPECIAL: 40785588024589; POINT_POSITION: (649.794, 142.275, 97.7123); TOOL_DIRECTION: (-0.00166431, -0.407514, -0.913197)
TIME_SPECIAL: 40785604682372; POINT_POSITION: (636.506, 143.89, 95.5232); TOOL_DIRECTION: (-0.0076677, -0.411531, -0.911363)
TIME_SPECIAL: 40785621359496; POINT_POSITION: (623.924, 145.957, 94.6133); TOOL_DIRECTION: (-0.0112338, -0.409703, -0.91215)
TIME_SPECIAL: 40785638028656; POINT_POSITION: (612.35, 148.293, 93.7127); TOOL_DIRECTION: (-0.0143539, -0.401752, -0.915636)
TIME_SPECIAL: 40785654675346; POINT_POSITION: (607.124, 149.962, 93.3337); TOOL_DIRECTION: (-0.0154935, -0.395676, -0.91826)
TIME_SPECIAL: 40785671431261; POINT_POSITION: (596.651, 152.667, 91.8188); TOOL_DIRECTION: (-0.0194472, -0.390175, -0.920535)
TIME_SPECIAL: 40785688058039; POINT_POSITION: (587.235, 155.689, 91.2538); TOOL_DIRECTION: (-0.023069, -0.384633, -0.922781)
TIME_SPECIAL: 40785704749102; POINT_POSITION: (582.973, 157.235, 90.9681); TOOL_DIRECTION: (-0.0250781, -0.382246, -0.92372)
TIME_SPECIAL: 40785721425657; POINT_POSITION: (575.734, 160.18, 90.2919); TOOL_DIRECTION: (-0.0279848, -0.378469, -0.925191)
TIME_SPECIAL: 40785738086000; POINT_POSITION: (566.37, 164.445, 89.7772); TOOL_DIRECTION: (-0.0316987, -0.376318, -0.925948)
TIME_SPECIAL: 40785754760280; POINT_POSITION: (560.065, 167.67, 89.2244); TOOL_DIRECTION: (-0.0349216, -0.373633, -0.926919)
TIME_SPECIAL: 40785771389050; POINT_POSITION: (554.273, 170.81, 88.6648); TOOL_DIRECTION: (-0.0383992, -0.373386, -0.926881)
TIME_SPECIAL: 40785788065037; POINT_POSITION: (548.799, 173.301, 87.9462); TOOL_DIRECTION: (-0.0397775, -0.371768, -0.927473)
TIME_SPECIAL: 40785804770037; POINT_POSITION: (543.32, 175.96, 87.5909); TOOL_DIRECTION: (-0.0420387, -0.369258, -0.928376)
TIME_SPECIAL: 40785821508601; POINT_POSITION: (537.528, 178.474, 87.328); TOOL_DIRECTION: (-0.0443107, -0.36637, -0.929413)
TIME_SPECIAL: 40785838159841; POINT_POSITION: (531.254, 180.49, 87.3067); TOOL_DIRECTION: (-0.0469035, -0.365075, -0.929796)
TIME_SPECIAL: 40785854857446; POINT_POSITION: (525.055, 182.656, 87.4279); TOOL_DIRECTION: (-0.0490911, -0.36288, -0.930542)
TIME_SPECIAL: 40785871514944; POINT_POSITION: (521.639, 183.556, 87.3004); TOOL_DIRECTION: (-0.0504974, -0.362529, -0.930603)
TIME_SPECIAL: 40785888139162; POINT_POSITION: (514.785, 185.319, 87.3517); TOOL_DIRECTION: (-0.0533479, -0.360704, -0.931153)
TIME_SPECIAL: 40785904898775; POINT_POSITION: (507.845, 187.058, 87.5106); TOOL_DIRECTION: (-0.0564602, -0.359823, -0.931311)
TIME_SPECIAL: 40785921521002; POINT_POSITION: (501.258, 188.612, 87.4537); TOOL_DIRECTION: (-0.0580935, -0.35903, -0.931516)
TIME_SPECIAL: 40785938206091; POINT_POSITION: (494.698, 190.164, 87.3459); TOOL_DIRECTION: (-0.0602346, -0.356476, -0.932361)
TIME_SPECIAL: 40785954874114; POINT_POSITION: (488.333, 191.203, 87.6097); TOOL_DIRECTION: (-0.063403, -0.354709, -0.932824)
TIME_SPECIAL: 40785971529052; POINT_POSITION: (482.569, 192.112, 87.7447); TOOL_DIRECTION: (-0.0645845, -0.354217, -0.93293)
TIME_SPECIAL: 40785988249412; POINT_POSITION: (477.051, 193.151, 87.8612); TOOL_DIRECTION: (-0.0673039, -0.353576, -0.932981)
TIME_SPECIAL: 40786004837222; POINT_POSITION: (472.256, 194.348, 88.0438); TOOL_DIRECTION: (-0.0688402, -0.353095, -0.933052)
TIME_SPECIAL: 40786021581475; POINT_POSITION: (468.205, 195.408, 87.7613); TOOL_DIRECTION: (-0.0708314, -0.35097, -0.933704)
TIME_SPECIAL: 40786038232146; POINT_POSITION: (464.979, 196.306, 87.9567); TOOL_DIRECTION: (-0.0711189, -0.350633, -0.933809)
TIME_SPECIAL: 40786054910409; POINT_POSITION: (461.828, 197.354, 87.8604); TOOL_DIRECTION: (-0.0731074, -0.347941, -0.934662)
TIME_SPECIAL: 40786071566769; POINT_POSITION: (458.91, 198.709, 87.7097); TOOL_DIRECTION: (-0.0746219, -0.343305, -0.936255)
TIME_SPECIAL: 40786088241334; POINT_POSITION: (457.388, 199.528, 87.5918); TOOL_DIRECTION: (-0.0756966, -0.340773, -0.937093)
TIME_SPECIAL: 40786104902530; POINT_POSITION: (454.694, 201.249, 87.0572); TOOL_DIRECTION: (-0.0762301, -0.338805, -0.937763)
TIME_SPECIAL: 40786121543246; POINT_POSITION: (452.103, 203.035, 86.4602); TOOL_DIRECTION: (-0.0767779, -0.336382, -0.93859)
TIME_SPECIAL: 40786138221508; POINT_POSITION: (449.563, 204.693, 86.2179); TOOL_DIRECTION: (-0.077044, -0.334833, -0.939122)
TIME_SPECIAL: 40786154924802; POINT_POSITION: (447.114, 206.102, 86.0646); TOOL_DIRECTION: (-0.078194, -0.332592, -0.939824)
TIME_SPECIAL: 40786171613019; POINT_POSITION: (444.808, 207.344, 86.3863); TOOL_DIRECTION: (-0.0793489, -0.329557, -0.940795)
TIME_SPECIAL: 40786188310339; POINT_POSITION: (442.553, 208.703, 86.6453); TOOL_DIRECTION: (-0.0809058, -0.326332, -0.941787)
TIME_SPECIAL: 40786204953616; POINT_POSITION: (440.347, 210.171, 86.9564); TOOL_DIRECTION: (-0.0822953, -0.32413, -0.942426)
TIME_SPECIAL: 40786221626189; POINT_POSITION: (438.24, 211.678, 86.9209); TOOL_DIRECTION: (-0.0828279, -0.323403, -0.942629)
TIME_SPECIAL: 40786238323225; POINT_POSITION: (436.567, 213.063, 86.7293); TOOL_DIRECTION: (-0.0821089, -0.323761, -0.942569)
TIME_SPECIAL: 40786254939763; POINT_POSITION: (435.325, 214.258, 86.5084); TOOL_DIRECTION: (-0.0819741, -0.322147, -0.943134)
TIME_SPECIAL: 40786271618595; POINT_POSITION: (434.436, 215.291, 86.0691); TOOL_DIRECTION: (-0.0814816, -0.320765, -0.943647)
TIME_SPECIAL: 40786288352608; POINT_POSITION: (433.696, 216.31, 85.5503); TOOL_DIRECTION: (-0.0820734, -0.316276, -0.94511)
TIME_SPECIAL: 40786305039119; POINT_POSITION: (433.359, 216.831, 85.2754); TOOL_DIRECTION: (-0.0823509, -0.313982, -0.945851)
TIME_SPECIAL: 40786321689506; POINT_POSITION: (432.715, 217.926, 84.8245); TOOL_DIRECTION: (-0.0827921, -0.310828, -0.946854)
TIME_SPECIAL: 40786338317991; POINT_POSITION: (431.873, 219.041, 84.3958); TOOL_DIRECTION: (-0.0846371, -0.30794, -0.947634)
TIME_SPECIAL: 40786354989427; POINT_POSITION: (430.91, 220.29, 83.4765); TOOL_DIRECTION: (-0.0861872, -0.301191, -0.949661)
TIME_SPECIAL: 40786371693289; POINT_POSITION: (429.881, 221.44, 82.3068); TOOL_DIRECTION: (-0.0874008, -0.299722, -0.950015)
TIME_SPECIAL: 40786388383214; POINT_POSITION: (428.966, 222.474, 81.3211); TOOL_DIRECTION: (-0.0862166, -0.300887, -0.949755)
TIME_SPECIAL: 40786405016250; POINT_POSITION: (428.079, 223.424, 80.5051); TOOL_DIRECTION: (-0.085998, -0.302867, -0.949145)
TIME_SPECIAL: 40786421707881; POINT_POSITION: (427.158, 224.372, 79.6065); TOOL_DIRECTION: (-0.0864836, -0.300281, -0.949922)
TIME_SPECIAL: 40786438398943; POINT_POSITION: (426.245, 225.233, 78.5502); TOOL_DIRECTION: (-0.0857432, -0.300741, -0.949844)
TIME_SPECIAL: 40786455113045; POINT_POSITION: (425.366, 226.046, 77.476); TOOL_DIRECTION: (-0.0850836, -0.300941, -0.949839)
TIME_SPECIAL: 40786471736410; POINT_POSITION: (424.418, 226.9, 76.4166); TOOL_DIRECTION: (-0.0856463, -0.297642, -0.950828)
TIME_SPECIAL: 40786488422922; POINT_POSITION: (423.458, 227.826, 75.4672); TOOL_DIRECTION: (-0.0856148, -0.294359, -0.951853)
TIME_SPECIAL: 40786505104029; POINT_POSITION: (422.515, 228.79, 74.6494); TOOL_DIRECTION: (-0.0871683, -0.291591, -0.952563)
TIME_SPECIAL: 40786521775749; POINT_POSITION: (422.086, 229.254, 74.2472); TOOL_DIRECTION: (-0.0871969, -0.290572, -0.952872)
