PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 123840877189279
TIME_WORD_START: 123840877819318; WORD_VALUE: dinned
TIME_SPECIAL: 123841604771117; POINT_POSITION: (336.316, 225.425, 316.9); TOOL_DIRECTION: (-0.0402421, -0.153153, -0.987383)
TIME_SPECIAL: 123841621432029; POINT_POSITION: (332.002, 223.887, 315.761); TOOL_DIRECTION: (-0.0410639, -0.158002, -0.986585)
TIME_SPECIAL: 123841638125082; POINT_POSITION: (327.041, 222.153, 314.533); TOOL_DIRECTION: (-0.0426048, -0.161514, -0.98595)
TIME_SPECIAL: 123841654817851; POINT_POSITION: (321.944, 218.958, 313.143); TOOL_DIRECTION: (-0.0434462, -0.171675, -0.984195)
TIME_SPECIAL: 123841671415048; POINT_POSITION: (318.047, 216.609, 312.224); TOOL_DIRECTION: (-0.0443355, -0.177811, -0.983065)
TIME_SPECIAL: 123841688168687; POINT_POSITION: (313.988, 214.908, 311.176); TOOL_DIRECTION: (-0.0460632, -0.181334, -0.982342)
TIME_SPECIAL: 123841704825901; POINT_POSITION: (309.958, 212.904, 310.467); TOOL_DIRECTION: (-0.0486538, -0.186489, -0.981252)
TIME_SPECIAL: 123841721462919; POINT_POSITION: (307.107, 211.35, 309.248); TOOL_DIRECTION: (-0.0498874, -0.190708, -0.980378)
TIME_SPECIAL: 123841738117004; POINT_POSITION: (306.218, 210.762, 308.763); TOOL_DIRECTION: (-0.0505065, -0.191915, -0.980111)
TIME_SPECIAL: 123841754816884; POINT_POSITION: (306.218, 210.762, 308.763); TOOL_DIRECTION: (-0.0505065, -0.191915, -0.980111)
TIME_SPECIAL: 123841771498844; POINT_POSITION: (304.079, 209.817, 308.014); TOOL_DIRECTION: (-0.0512237, -0.19358, -0.979746)
TIME_SPECIAL: 123841788140698; POINT_POSITION: (301.326, 208.953, 307.701); TOOL_DIRECTION: (-0.0539966, -0.194884, -0.979339)
TIME_SPECIAL: 123841804820098; POINT_POSITION: (299.361, 208.049, 307.298); TOOL_DIRECTION: (-0.0553399, -0.196341, -0.978973)
TIME_SPECIAL: 123841821498645; POINT_POSITION: (297.958, 207.236, 307.645); TOOL_DIRECTION: (-0.0564122, -0.1975, -0.978678)
TIME_SPECIAL: 123841838213032; POINT_POSITION: (296.607, 206.419, 307.556); TOOL_DIRECTION: (-0.0570303, -0.200162, -0.978102)
TIME_SPECIAL: 123841854871383; POINT_POSITION: (295.907, 205.941, 307.438); TOOL_DIRECTION: (-0.0572115, -0.201704, -0.977774)
TIME_SPECIAL: 123841871529166; POINT_POSITION: (295.487, 205.709, 307.51); TOOL_DIRECTION: (-0.0576302, -0.202314, -0.977624)
TIME_SPECIAL: 123841888161349; POINT_POSITION: (295.385, 205.616, 307.293); TOOL_DIRECTION: (-0.057572, -0.20243, -0.977603)
TIME_SPECIAL: 123841904876873; POINT_POSITION: (295.493, 205.567, 307.316); TOOL_DIRECTION: (-0.0572893, -0.202428, -0.97762)
TIME_SPECIAL: 123841921530673; POINT_POSITION: (295.615, 205.502, 307.208); TOOL_DIRECTION: (-0.0572004, -0.202506, -0.977609)
TIME_SPECIAL: 123841938234536; POINT_POSITION: (295.974, 205.45, 307.066); TOOL_DIRECTION: (-0.0568253, -0.202313, -0.977671)
TIME_SPECIAL: 123841954922185; POINT_POSITION: (296.385, 205.438, 306.944); TOOL_DIRECTION: (-0.0564975, -0.20193, -0.977769)
TIME_SPECIAL: 123841971527345; POINT_POSITION: (296.456, 205.452, 306.894); TOOL_DIRECTION: (-0.0567285, -0.201767, -0.977789)
TIME_SPECIAL: 123841988208452; POINT_POSITION: (296.644, 205.467, 306.821); TOOL_DIRECTION: (-0.0566681, -0.20144, -0.97786)
TIME_SPECIAL: 123842004879888; POINT_POSITION: (296.725, 205.467, 306.778); TOOL_DIRECTION: (-0.0567083, -0.201375, -0.977871)
TIME_SPECIAL: 123842021604515; POINT_POSITION: (296.771, 205.474, 306.776); TOOL_DIRECTION: (-0.0566891, -0.201269, -0.977894)
TIME_SPECIAL: 123842038224466; POINT_POSITION: (296.776, 205.459, 306.825); TOOL_DIRECTION: (-0.0567834, -0.201498, -0.977842)
TIME_SPECIAL: 123842054898747; POINT_POSITION: (296.733, 205.434, 306.909); TOOL_DIRECTION: (-0.0569425, -0.201635, -0.977804)
