PRACTICE_WORD_COUNT: 9
TIME_EXPERIMENT_START: 152972009560383
TIME_WORD_START: 152972010593761; WORD_VALUE: vales
TIME_SPECIAL: 152972718896114; POINT_POSITION: (450.788, 155.124, 188.995); TOOL_DIRECTION: (0.571459, 0.116041, -0.812385)
TIME_SPECIAL: 152972735584616; POINT_POSITION: (453.131, 152.772, 188.749); TOOL_DIRECTION: (0.571112, 0.11309, -0.813045)
TIME_SPECIAL: 152972752235857; POINT_POSITION: (456.609, 148.208, 191.266); TOOL_DIRECTION: (0.571144, 0.10744, -0.813788)
TIME_SPECIAL: 152972768944839; POINT_POSITION: (461.102, 142.819, 192.789); TOOL_DIRECTION: (0.571584, 0.0993627, -0.814505)
TIME_SPECIAL: 152972785590106; POINT_POSITION: (463.212, 135.219, 196.166); TOOL_DIRECTION: (0.571734, 0.088047, -0.815701)
TIME_SPECIAL: 152972802261542; POINT_POSITION: (465.005, 125.468, 197.037); TOOL_DIRECTION: (0.56969, 0.0742955, -0.818495)
TIME_SPECIAL: 152972818963982; POINT_POSITION: (465.799, 115.334, 196.735); TOOL_DIRECTION: (0.566112, 0.0603155, -0.822119)
TIME_SPECIAL: 152972835632004; POINT_POSITION: (465.988, 104.373, 197.105); TOOL_DIRECTION: (0.56265, 0.041578, -0.825649)
TIME_SPECIAL: 152972852274711; POINT_POSITION: (467.277, 94.8766, 197.744); TOOL_DIRECTION: (0.559542, 0.0246797, -0.828434)
TIME_SPECIAL: 152972868955534; POINT_POSITION: (468.138, 88.0678, 198.086); TOOL_DIRECTION: (0.554475, 0.0148574, -0.832068)
TIME_SPECIAL: 152972885643752; POINT_POSITION: (469.162, 84.9167, 198.156); TOOL_DIRECTION: (0.548634, 0.00981107, -0.836005)
TIME_SPECIAL: 152972902324574; POINT_POSITION: (470.979, 84.1996, 197.602); TOOL_DIRECTION: (0.542879, 0.00895474, -0.839763)
TIME_SPECIAL: 152972918982357; POINT_POSITION: (473.053, 84.7949, 194.657); TOOL_DIRECTION: (0.537126, 0.00999221, -0.843443)
TIME_SPECIAL: 152972935602024; POINT_POSITION: (478.495, 85.4951, 193.324); TOOL_DIRECTION: (0.531605, 0.0110766, -0.84692)
TIME_SPECIAL: 152972952376712; POINT_POSITION: (481.379, 85.7514, 192.77); TOOL_DIRECTION: (0.529067, 0.0108121, -0.848511)
TIME_SPECIAL: 152972969045873; POINT_POSITION: (485.956, 86.3455, 191.032); TOOL_DIRECTION: (0.523573, 0.0106177, -0.851915)
TIME_SPECIAL: 152972985699389; POINT_POSITION: (489.795, 86.9618, 188.435); TOOL_DIRECTION: (0.515815, 0.00964517, -0.856645)
TIME_SPECIAL: 152973002362007; POINT_POSITION: (486.933, 86.9666, 182.183); TOOL_DIRECTION: (0.50302, 0.00789077, -0.864239)
TIME_SPECIAL: 152973019028323; POINT_POSITION: (478.805, 86.3005, 173.034); TOOL_DIRECTION: (0.481712, 0.00466999, -0.876317)
TIME_SPECIAL: 152973037169186; POINT_POSITION: (470.05, 85.2584, 163.699); TOOL_DIRECTION: (0.458995, 0.000805264, -0.888439)
TIME_SPECIAL: 152973052376030; POINT_POSITION: (465.269, 81.3534, 156.68); TOOL_DIRECTION: (0.442567, -0.00980329, -0.896682)
TIME_SPECIAL: 152973069075625; POINT_POSITION: (461.136, 78.8207, 151.874); TOOL_DIRECTION: (0.428738, -0.0180036, -0.90325)
TIME_SPECIAL: 152973085727435; POINT_POSITION: (456.198, 77.7216, 147.437); TOOL_DIRECTION: (0.414661, -0.0232513, -0.909679)
TIME_SPECIAL: 152973102429875; POINT_POSITION: (452.59, 78.6041, 143.413); TOOL_DIRECTION: (0.400711, -0.0266388, -0.915817)
TIME_SPECIAL: 152973119104439; POINT_POSITION: (445.658, 78.987, 141.501); TOOL_DIRECTION: (0.38756, -0.0296858, -0.921366)
TIME_SPECIAL: 152973135735769; POINT_POSITION: (436.766, 78.6456, 140.848); TOOL_DIRECTION: (0.373883, -0.032497, -0.926906)
TIME_SPECIAL: 152973152419720; POINT_POSITION: (428.751, 78.368, 140.409); TOOL_DIRECTION: (0.361435, -0.0352279, -0.931732)
TIME_SPECIAL: 152973169054178; POINT_POSITION: (425.171, 78.38, 140.325); TOOL_DIRECTION: (0.355447, -0.0365648, -0.933981)
TIME_SPECIAL: 152973185771694; POINT_POSITION: (419.894, 79.5674, 139.859); TOOL_DIRECTION: (0.345136, -0.0371495, -0.937817)
TIME_SPECIAL: 152973202468445; POINT_POSITION: (416.409, 81.667, 140.638); TOOL_DIRECTION: (0.337718, -0.035368, -0.940583)
TIME_SPECIAL: 152973219143579; POINT_POSITION: (413.269, 82.7844, 141.34); TOOL_DIRECTION: (0.329896, -0.0354564, -0.943351)
TIME_SPECIAL: 152973235786855; POINT_POSITION: (412.318, 84.5416, 140.751); TOOL_DIRECTION: (0.321477, -0.0352969, -0.946259)
TIME_SPECIAL: 152973252444637; POINT_POSITION: (411.788, 85.7598, 140.637); TOOL_DIRECTION: (0.312795, -0.0364921, -0.949119)
TIME_SPECIAL: 152973269154473; POINT_POSITION: (413.972, 87.3186, 141.831); TOOL_DIRECTION: (0.309391, -0.0355935, -0.950269)
TIME_SPECIAL: 152973285827900; POINT_POSITION: (416.843, 87.9644, 142.293); TOOL_DIRECTION: (0.310124, -0.035968, -0.950015)
TIME_SPECIAL: 152973302504171; POINT_POSITION: (425.333, 88.6924, 148.611); TOOL_DIRECTION: (0.321154, -0.0372563, -0.946294)
TIME_SPECIAL: 152973319167358; POINT_POSITION: (441.309, 89.8308, 159.899); TOOL_DIRECTION: (0.344811, -0.0387746, -0.937871)
