PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 2190649464554
TIME_WORD_START: 2190650319014; WORD_VALUE: etc
TIME_SPECIAL: 2191360598383; POINT_POSITION: (383.097, 190.817, 98.7785); TOOL_DIRECTION: (-0.0995424, 0.0406516, -0.994203)
TIME_SPECIAL: 2191377250387; POINT_POSITION: (371.25, 192.001, 98.6429); TOOL_DIRECTION: (-0.105088, 0.0448827, -0.99345)
TIME_SPECIAL: 2191393923154; POINT_POSITION: (361.449, 193.993, 99.562); TOOL_DIRECTION: (-0.110986, 0.0490071, -0.992613)
TIME_SPECIAL: 2191410629202; POINT_POSITION: (353.21, 196.579, 99.8144); TOOL_DIRECTION: (-0.115264, 0.0577866, -0.991653)
TIME_SPECIAL: 2191427305099; POINT_POSITION: (347.258, 198.042, 98.0674); TOOL_DIRECTION: (-0.118717, 0.0637699, -0.990878)
TIME_SPECIAL: 2191443972747; POINT_POSITION: (340.671, 199.015, 97.7232); TOOL_DIRECTION: (-0.12132, 0.0652032, -0.99047)
TIME_SPECIAL: 2191460675950; POINT_POSITION: (337.847, 199.839, 97.964); TOOL_DIRECTION: (-0.122458, 0.0648933, -0.99035)
TIME_SPECIAL: 2191477341607; POINT_POSITION: (332.562, 200.743, 97.0934); TOOL_DIRECTION: (-0.126161, 0.0662325, -0.989796)
TIME_SPECIAL: 2191494001006; POINT_POSITION: (328.232, 202.39, 96.4474); TOOL_DIRECTION: (-0.129292, 0.072069, -0.988984)
TIME_SPECIAL: 2191510716440; POINT_POSITION: (326.216, 204.282, 96.4446); TOOL_DIRECTION: (-0.130477, 0.0780139, -0.988377)
TIME_SPECIAL: 2191527343413; POINT_POSITION: (325.341, 205.219, 96.0273); TOOL_DIRECTION: (-0.130921, 0.0804397, -0.988124)
TIME_SPECIAL: 2191544053158; POINT_POSITION: (325.887, 208.74, 94.7609); TOOL_DIRECTION: (-0.130285, 0.0924349, -0.987158)
TIME_SPECIAL: 2191560718815; POINT_POSITION: (327.071, 210.143, 93.3588); TOOL_DIRECTION: (-0.129138, 0.0962679, -0.986943)
TIME_SPECIAL: 2191577379352; POINT_POSITION: (329.328, 209.566, 92.6984); TOOL_DIRECTION: (-0.126064, 0.0924002, -0.987709)
TIME_SPECIAL: 2191594048991; POINT_POSITION: (333.274, 209.792, 91.265); TOOL_DIRECTION: (-0.123558, 0.0915757, -0.988103)
TIME_SPECIAL: 2191610739679; POINT_POSITION: (340.61, 211.418, 89.7489); TOOL_DIRECTION: (-0.119522, 0.0976675, -0.988016)
TIME_SPECIAL: 2191627418135; POINT_POSITION: (346.686, 212.723, 88.1622); TOOL_DIRECTION: (-0.117003, 0.10421, -0.987649)
TIME_SPECIAL: 2191644068432; POINT_POSITION: (353.945, 212.775, 87.1693); TOOL_DIRECTION: (-0.112704, 0.104376, -0.988131)
TIME_SPECIAL: 2191660730392; POINT_POSITION: (360.841, 212.547, 85.0007); TOOL_DIRECTION: (-0.106999, 0.105252, -0.988672)
TIME_SPECIAL: 2191677426484; POINT_POSITION: (363.854, 212.326, 83.7764); TOOL_DIRECTION: (-0.104628, 0.105335, -0.988917)
TIME_SPECIAL: 2191694090434; POINT_POSITION: (372.568, 211.456, 81.7304); TOOL_DIRECTION: (-0.0994764, 0.101326, -0.989867)
TIME_SPECIAL: 2191710732767; POINT_POSITION: (380.256, 212.016, 80.2635); TOOL_DIRECTION: (-0.0959192, 0.103744, -0.989968)
TIME_SPECIAL: 2191727442512; POINT_POSITION: (384.379, 210.38, 78.4687); TOOL_DIRECTION: (-0.0918226, 0.0975761, -0.990983)
TIME_SPECIAL: 2191744122675; POINT_POSITION: (387.656, 209.405, 76.6255); TOOL_DIRECTION: (-0.0896747, 0.0944281, -0.991485)
TIME_SPECIAL: 2191760817630; POINT_POSITION: (390.128, 209.17, 74.8356); TOOL_DIRECTION: (-0.0886632, 0.0947142, -0.991548)
TIME_SPECIAL: 2191777516282; POINT_POSITION: (391.187, 209.322, 73.9573); TOOL_DIRECTION: (-0.0885835, 0.0962419, -0.991408)
TIME_SPECIAL: 2191794189903; POINT_POSITION: (392.364, 209.869, 72.6022); TOOL_DIRECTION: (-0.0898369, 0.100948, -0.990827)
TIME_SPECIAL: 2191810804929; POINT_POSITION: (392.741, 210.796, 70.788); TOOL_DIRECTION: (-0.0904613, 0.107311, -0.990102)
TIME_SPECIAL: 2191827470871; POINT_POSITION: (391.512, 210.781, 69.1441); TOOL_DIRECTION: (-0.092854, 0.10967, -0.989621)
TIME_SPECIAL: 2191844188865; POINT_POSITION: (388.45, 210.017, 67.9041); TOOL_DIRECTION: (-0.0974138, 0.108916, -0.989266)
TIME_SPECIAL: 2191860844566; POINT_POSITION: (384.11, 210.237, 66.6468); TOOL_DIRECTION: (-0.103379, 0.111564, -0.988366)
TIME_SPECIAL: 2191877528712; POINT_POSITION: (380.234, 209.981, 65.1144); TOOL_DIRECTION: (-0.10747, 0.111575, -0.987928)
TIME_SPECIAL: 2191894153125; POINT_POSITION: (377.993, 210.394, 64.233); TOOL_DIRECTION: (-0.109999, 0.113652, -0.987413)
TIME_SPECIAL: 2191910826177; POINT_POSITION: (374.587, 211.648, 62.5025); TOOL_DIRECTION: (-0.113282, 0.119723, -0.986323)
TIME_SPECIAL: 2191927507763; POINT_POSITION: (370.624, 212.162, 60.3378); TOOL_DIRECTION: (-0.11677, 0.123156, -0.985493)
TIME_SPECIAL: 2191944211535; POINT_POSITION: (367.091, 213.19, 58.2524); TOOL_DIRECTION: (-0.118845, 0.128642, -0.984544)
TIME_SPECIAL: 2191960891982; POINT_POSITION: (361.189, 215.77, 55.6821); TOOL_DIRECTION: (-0.123242, 0.139763, -0.982485)
TIME_SPECIAL: 2191977586937; POINT_POSITION: (355.283, 217.657, 53.6509); TOOL_DIRECTION: (-0.127296, 0.149066, -0.980599)
TIME_SPECIAL: 2191994244345; POINT_POSITION: (352.751, 217.582, 52.5755); TOOL_DIRECTION: (-0.128889, 0.149032, -0.980396)
TIME_SPECIAL: 2192010914553; POINT_POSITION: (346.956, 219.451, 50.0709); TOOL_DIRECTION: (-0.132587, 0.157041, -0.978652)
TIME_SPECIAL: 2192027589312; POINT_POSITION: (340.506, 220.418, 48.0886); TOOL_DIRECTION: (-0.135985, 0.160975, -0.977545)
TIME_SPECIAL: 2192044261795; POINT_POSITION: (333.722, 221.877, 45.7287); TOOL_DIRECTION: (-0.140975, 0.166321, -0.975942)
TIME_SPECIAL: 2192060964714; POINT_POSITION: (326.138, 223.283, 43.8913); TOOL_DIRECTION: (-0.146758, 0.172897, -0.973945)
TIME_SPECIAL: 2192077620415; POINT_POSITION: (320.229, 224.124, 42.2556); TOOL_DIRECTION: (-0.150633, 0.177684, -0.972491)
TIME_SPECIAL: 2192094292614; POINT_POSITION: (315.284, 223.913, 40.547); TOOL_DIRECTION: (-0.152831, 0.177901, -0.972108)
TIME_SPECIAL: 2192110947178; POINT_POSITION: (310.967, 224.06, 39.7105); TOOL_DIRECTION: (-0.155538, 0.180059, -0.971281)
TIME_SPECIAL: 2192127626488; POINT_POSITION: (303.483, 223.424, 37.9579); TOOL_DIRECTION: (-0.159674, 0.180241, -0.970576)
TIME_SPECIAL: 2192144256305; POINT_POSITION: (295.828, 222.559, 36.518); TOOL_DIRECTION: (-0.162802, 0.17804, -0.970463)
TIME_SPECIAL: 2192161007010; POINT_POSITION: (289.929, 222.249, 34.6534); TOOL_DIRECTION: (-0.166727, 0.177936, -0.969815)
TIME_SPECIAL: 2192177641094; POINT_POSITION: (283.342, 221.724, 33.1647); TOOL_DIRECTION: (-0.169031, 0.177143, -0.969561)
TIME_SPECIAL: 2192194351977; POINT_POSITION: (278.561, 221.035, 31.896); TOOL_DIRECTION: (-0.169984, 0.175151, -0.969756)
TIME_SPECIAL: 2192210957333; POINT_POSITION: (276.29, 220.606, 31.2877); TOOL_DIRECTION: (-0.170632, 0.173506, -0.969938)
TIME_SPECIAL: 2192227664802; POINT_POSITION: (271.889, 221.179, 30.1181); TOOL_DIRECTION: (-0.172442, 0.176239, -0.969125)
TIME_SPECIAL: 2192244372841; POINT_POSITION: (267.705, 221.579, 29.097); TOOL_DIRECTION: (-0.173894, 0.178379, -0.968474)
TIME_SPECIAL: 2192261035084; POINT_POSITION: (264.948, 221.422, 27.997); TOOL_DIRECTION: (-0.175314, 0.178053, -0.968278)
TIME_SPECIAL: 2192277700457; POINT_POSITION: (263.021, 220.98, 26.8125); TOOL_DIRECTION: (-0.175508, 0.176214, -0.968579)
TIME_SPECIAL: 2192294403944; POINT_POSITION: (261.633, 221.031, 25.8069); TOOL_DIRECTION: (-0.17534, 0.176064, -0.968637)
TIME_SPECIAL: 2192311077850; POINT_POSITION: (260.364, 220.973, 24.2837); TOOL_DIRECTION: (-0.175106, 0.175718, -0.968742)
TIME_SPECIAL: 2192328140586; POINT_POSITION: (260.031, 220.851, 23.4415); TOOL_DIRECTION: (-0.174493, 0.175146, -0.968956)
TIME_SPECIAL: 2192344456097; POINT_POSITION: (259.086, 220.822, 21.4055); TOOL_DIRECTION: (-0.173584, 0.174499, -0.969236)
TIME_SPECIAL: 2192361075958; POINT_POSITION: (257.384, 220.828, 18.9868); TOOL_DIRECTION: (-0.173589, 0.173863, -0.96935)
TIME_SPECIAL: 2192377725118; POINT_POSITION: (257.384, 220.828, 18.9868); TOOL_DIRECTION: (-0.173589, 0.173863, -0.96935)
TIME_SPECIAL: 2192394408410; POINT_POSITION: (255.055, 220.178, 16.2496); TOOL_DIRECTION: (-0.173231, 0.169897, -0.970117)
TIME_SPECIAL: 2192411119862; POINT_POSITION: (252.036, 220.826, 13.3253); TOOL_DIRECTION: (-0.173746, 0.17047, -0.969924)
TIME_SPECIAL: 2192427759350; POINT_POSITION: (251.182, 220.993, 12.0389); TOOL_DIRECTION: (-0.173032, 0.17013, -0.970111)
TIME_SPECIAL: 2192444411638; POINT_POSITION: (249.411, 220.967, 9.33476); TOOL_DIRECTION: (-0.171453, 0.168554, -0.970666)
TIME_SPECIAL: 2192461103179; POINT_POSITION: (247.048, 221.415, 6.98731); TOOL_DIRECTION: (-0.17117, 0.169619, -0.970531)
TIME_SPECIAL: 2192477809227; POINT_POSITION: (245.279, 221.184, 4.86616); TOOL_DIRECTION: (-0.170169, 0.168978, -0.970819)
TIME_SPECIAL: 2192494482848; POINT_POSITION: (243.66, 221.066, 2.48303); TOOL_DIRECTION: (-0.169136, 0.169238, -0.970954)
TIME_PRESSED: 2192494528928; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 2192511177802; POINT_POSITION: (242.315, 221.566, 0.369074); TOOL_DIRECTION: (-0.168558, 0.172613, -0.97046)
TIME_SPECIAL: 2192527911156; POINT_POSITION: (241.64, 221.749, 0); TOOL_DIRECTION: (-0.16795, 0.174509, -0.970226)
TIME_SPECIAL: 2192544586200; POINT_POSITION: (240.663, 221.042, 0); TOOL_DIRECTION: (-0.165783, 0.174732, -0.970559)
TIME_SPECIAL: 2192561196960; POINT_POSITION: (239.048, 219.701, 0); TOOL_DIRECTION: (-0.16472, 0.172609, -0.97112)
TIME_SPECIAL: 2192577848110; POINT_POSITION: (237.825, 219.06, 0); TOOL_DIRECTION: (-0.163605, 0.173011, -0.971237)
TIME_SPECIAL: 2192594542780; POINT_POSITION: (237.123, 217.958, 0); TOOL_DIRECTION: (-0.161744, 0.172631, -0.971616)
TIME_SPECIAL: 2192611191655; POINT_POSITION: (236.765, 215.984, 0); TOOL_DIRECTION: (-0.159442, 0.16913, -0.972612)
TIME_SPECIAL: 2192627876085; POINT_POSITION: (235.9, 215.124, 0); TOOL_DIRECTION: (-0.158649, 0.169292, -0.972713)
TIME_SPECIAL: 2192644555110; POINT_POSITION: (235.846, 215.217, 0); TOOL_DIRECTION: (-0.157842, 0.17129, -0.972495)
TIME_SPECIAL: 2192661196874; POINT_POSITION: (236.024, 215.84, 0); TOOL_DIRECTION: (-0.156024, 0.177331, -0.971705)
TIME_SPECIAL: 2192677894673; POINT_POSITION: (235.016, 216.793, 0); TOOL_DIRECTION: (-0.15635, 0.184783, -0.970263)
TIME_SPECIAL: 2192694567725; POINT_POSITION: (233.37, 218.111, 0); TOOL_DIRECTION: (-0.15777, 0.193461, -0.96834)
TIME_SPECIAL: 2192711248742; POINT_POSITION: (233.193, 218.03, 0); TOOL_DIRECTION: (-0.156828, 0.197406, -0.967696)
TIME_SPECIAL: 2192727900177; POINT_POSITION: (233.953, 217.391, 0); TOOL_DIRECTION: (-0.154044, 0.199436, -0.967727)
TIME_SPECIAL: 2192744590296; POINT_POSITION: (234.403, 217.058, 0); TOOL_DIRECTION: (-0.152062, 0.202387, -0.967428)
TIME_SPECIAL: 2192761212149; POINT_POSITION: (234.544, 217.211, 0); TOOL_DIRECTION: (-0.151633, 0.205373, -0.966866)
TIME_SPECIAL: 2192777887192; POINT_POSITION: (235.451, 216.905, 0); TOOL_DIRECTION: (-0.149931, 0.210071, -0.966122)
TIME_SPECIAL: 2192794603195; POINT_POSITION: (235.431, 216.18, 0); TOOL_DIRECTION: (-0.148999, 0.211291, -0.966)
TIME_SPECIAL: 2192811282221; POINT_POSITION: (234.391, 215.893, 0); TOOL_DIRECTION: (-0.149862, 0.213616, -0.965355)
TIME_SPECIAL: 2192827956411; POINT_POSITION: (234.416, 215.869, 0); TOOL_DIRECTION: (-0.148581, 0.217495, -0.964686)
TIME_SPECIAL: 2192844608699; POINT_POSITION: (233.371, 215.518, 0); TOOL_DIRECTION: (-0.148923, 0.220595, -0.963929)
