PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 116366150747769
TIME_WORD_START: 116366151421897; WORD_VALUE: cocker
TIME_SPECIAL: 116366878821408; POINT_POSITION: (680.502, 320.036, 175.72); TOOL_DIRECTION: (-0.202577, 0.141652, -0.968967)
TIME_SPECIAL: 116366895488577; POINT_POSITION: (667.5, 320.558, 175.223); TOOL_DIRECTION: (-0.207242, 0.145264, -0.967445)
TIME_SPECIAL: 116366912169115; POINT_POSITION: (653.947, 320.219, 173.626); TOOL_DIRECTION: (-0.211846, 0.146107, -0.96632)
TIME_SPECIAL: 116366928846524; POINT_POSITION: (639.08, 319.181, 170.64); TOOL_DIRECTION: (-0.217408, 0.145178, -0.965224)
TIME_SPECIAL: 116366945549249; POINT_POSITION: (623.826, 317.28, 168.016); TOOL_DIRECTION: (-0.222538, 0.142909, -0.964393)
TIME_SPECIAL: 116366962242302; POINT_POSITION: (609.255, 315, 165.703); TOOL_DIRECTION: (-0.227079, 0.140375, -0.963706)
TIME_SPECIAL: 116366978889560; POINT_POSITION: (593.606, 311.22, 162.519); TOOL_DIRECTION: (-0.233769, 0.133061, -0.963144)
TIME_SPECIAL: 116366995553316; POINT_POSITION: (577.331, 306.851, 158.148); TOOL_DIRECTION: (-0.2409, 0.125337, -0.962423)
TIME_SPECIAL: 116367012236130; POINT_POSITION: (569.339, 304.935, 155.518); TOOL_DIRECTION: (-0.244102, 0.126269, -0.961494)
TIME_SPECIAL: 116367028904721; POINT_POSITION: (553.319, 301.16, 149.903); TOOL_DIRECTION: (-0.248265, 0.130375, -0.959878)
TIME_SPECIAL: 116367045571037; POINT_POSITION: (536.056, 296.919, 144.896); TOOL_DIRECTION: (-0.252456, 0.127745, -0.959139)
TIME_SPECIAL: 116367062249299; POINT_POSITION: (518.576, 292.284, 141.442); TOOL_DIRECTION: (-0.258654, 0.120176, -0.958465)
TIME_SPECIAL: 116367078886602; POINT_POSITION: (502.478, 288.599, 137.364); TOOL_DIRECTION: (-0.262965, 0.124152, -0.956784)
TIME_SPECIAL: 116367095609806; POINT_POSITION: (487.546, 282.825, 130.91); TOOL_DIRECTION: (-0.262004, 0.102919, -0.959563)
TIME_SPECIAL: 116367112281811; POINT_POSITION: (471.136, 278.204, 125.703); TOOL_DIRECTION: (-0.270122, 0.0993586, -0.957686)
TIME_SPECIAL: 116367128956660; POINT_POSITION: (455.694, 273.926, 122.488); TOOL_DIRECTION: (-0.27724, 0.0988972, -0.955697)
TIME_SPECIAL: 116367145632363; POINT_POSITION: (442.164, 270.598, 120.768); TOOL_DIRECTION: (-0.281802, 0.0959809, -0.95466)
TIME_SPECIAL: 116367162258572; POINT_POSITION: (429.546, 267.411, 120.002); TOOL_DIRECTION: (-0.286537, 0.0946024, -0.953387)
TIME_SPECIAL: 116367178987750; POINT_POSITION: (418.027, 264.55, 118.373); TOOL_DIRECTION: (-0.290644, 0.0962751, -0.951975)
TIME_SPECIAL: 116367195913477; POINT_POSITION: (412.751, 263.236, 116.83); TOOL_DIRECTION: (-0.292042, 0.0963013, -0.951545)
TIME_SPECIAL: 116367212261502; POINT_POSITION: (396.288, 258.178, 112.036); TOOL_DIRECTION: (-0.297094, 0.0915535, -0.950449)
TIME_SPECIAL: 116367229020546; POINT_POSITION: (390.962, 256.278, 111.253); TOOL_DIRECTION: (-0.29931, 0.0900141, -0.949901)
TIME_SPECIAL: 116367245678328; POINT_POSITION: (381.466, 252.381, 110.373); TOOL_DIRECTION: (-0.303349, 0.0853592, -0.949048)
TIME_SPECIAL: 116367262331844; POINT_POSITION: (373.136, 248.752, 108.569); TOOL_DIRECTION: (-0.306842, 0.0819513, -0.948226)
TIME_SPECIAL: 116367278999867; POINT_POSITION: (366.528, 244.766, 106.867); TOOL_DIRECTION: (-0.308204, 0.0779584, -0.948121)
TIME_SPECIAL: 116367295660210; POINT_POSITION: (361.727, 240.564, 106.138); TOOL_DIRECTION: (-0.309603, 0.0732813, -0.948038)
TIME_SPECIAL: 116367312363503; POINT_POSITION: (358.13, 236.479, 101.883); TOOL_DIRECTION: (-0.305503, 0.0597713, -0.950313)
TIME_SPECIAL: 116367329001943; POINT_POSITION: (354.113, 233.288, 99.386); TOOL_DIRECTION: (-0.310035, 0.0623812, -0.948676)
TIME_SPECIAL: 116367345716899; POINT_POSITION: (351.985, 230.582, 96.8047); TOOL_DIRECTION: (-0.311347, 0.0649529, -0.948074)
TIME_SPECIAL: 116367362404832; POINT_POSITION: (351.845, 228.214, 96.2563); TOOL_DIRECTION: (-0.311349, 0.0655543, -0.948032)
TIME_SPECIAL: 116367379066313; POINT_POSITION: (352.337, 225.29, 91.8895); TOOL_DIRECTION: (-0.309119, 0.0595323, -0.949158)
TIME_SPECIAL: 116367395722389; POINT_POSITION: (354.999, 221.611, 89.9027); TOOL_DIRECTION: (-0.304612, 0.0490199, -0.951214)
TIME_SPECIAL: 116367412381593; POINT_POSITION: (358.288, 217.962, 87.0957); TOOL_DIRECTION: (-0.296877, 0.0289303, -0.954477)
TIME_SPECIAL: 116367429067251; POINT_POSITION: (361.999, 215.183, 85.2062); TOOL_DIRECTION: (-0.293338, 0.0217997, -0.95576)
TIME_SPECIAL: 116367445761442; POINT_POSITION: (363.749, 213.978, 84.4382); TOOL_DIRECTION: (-0.293227, 0.0217518, -0.955795)
TIME_SPECIAL: 116367462399599; POINT_POSITION: (367.091, 211.423, 81.4965); TOOL_DIRECTION: (-0.290275, 0.0155801, -0.956816)
TIME_SPECIAL: 116367479111710; POINT_POSITION: (369.528, 209.269, 79.2321); TOOL_DIRECTION: (-0.290399, 0.0147149, -0.956793)
TIME_SPECIAL: 116367495789688; POINT_POSITION: (370.472, 209.491, 80.5258); TOOL_DIRECTION: (-0.296605, 0.0317848, -0.954471)
TIME_SPECIAL: 116367512460270; POINT_POSITION: (373.01, 206.453, 79.0879); TOOL_DIRECTION: (-0.297144, 0.0324119, -0.954282)
TIME_SPECIAL: 116367529092737; POINT_POSITION: (373.01, 206.453, 79.0879); TOOL_DIRECTION: (-0.297144, 0.0324119, -0.954282)
TIME_SPECIAL: 116367545797453; POINT_POSITION: (377.469, 202.255, 73.696); TOOL_DIRECTION: (-0.283902, 0.0174634, -0.958694)
TIME_SPECIAL: 116367562458364; POINT_POSITION: (377.339, 199.42, 70.8735); TOOL_DIRECTION: (-0.289661, 0.0227802, -0.956858)
TIME_SPECIAL: 116367579158813; POINT_POSITION: (379.208, 194.462, 67.3633); TOOL_DIRECTION: (-0.280819, 0.0035855, -0.959754)
TIME_SPECIAL: 116367595808347; POINT_POSITION: (380.541, 190.169, 64.7015); TOOL_DIRECTION: (-0.275462, -0.00540007, -0.961297)
TIME_SPECIAL: 116367612480067; POINT_POSITION: (381.084, 185.963, 60.2555); TOOL_DIRECTION: (-0.27042, -0.0140388, -0.96264)
TIME_SPECIAL: 116367629189903; POINT_POSITION: (381.045, 182.637, 56.1194); TOOL_DIRECTION: (-0.268254, -0.0165106, -0.963207)
TIME_SPECIAL: 116367645859347; POINT_POSITION: (377.474, 180.36, 55.1366); TOOL_DIRECTION: (-0.284876, 0.00378036, -0.958557)
TIME_SPECIAL: 116367662529930; POINT_POSITION: (376.595, 179.09, 54.9065); TOOL_DIRECTION: (-0.287979, 0.00849993, -0.957599)
TIME_SPECIAL: 116367679135091; POINT_POSITION: (374.575, 176.652, 52.9734); TOOL_DIRECTION: (-0.291358, 0.00933611, -0.956569)
TIME_SPECIAL: 116367695871948; POINT_POSITION: (373.871, 173.91, 52.5109); TOOL_DIRECTION: (-0.290053, 0.00483708, -0.956998)
