PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 154873377644387
TIME_WORD_START: 154873378223511; WORD_VALUE: tom
TIME_SPECIAL: 154874106340669; POINT_POSITION: (395.611, 320.855, 434.558); TOOL_DIRECTION: (-0.0329215, 0.554506, -0.831528)
TIME_SPECIAL: 154874123024336; POINT_POSITION: (402.008, 315.804, 434.558); TOOL_DIRECTION: (-0.0219952, 0.548396, -0.835929)
TIME_SPECIAL: 154874139686669; POINT_POSITION: (409.35, 306.24, 434.558); TOOL_DIRECTION: (-0.00711778, 0.451665, -0.892159)
TIME_SPECIAL: 154874156354692; POINT_POSITION: (404.309, 306.956, 434.558); TOOL_DIRECTION: (0.00649016, 0.407343, -0.913252)
TIME_SPECIAL: 154874173055425; POINT_POSITION: (395.848, 314.474, 434.558); TOOL_DIRECTION: (0.00655562, 0.445851, -0.895083)
TIME_SPECIAL: 154874189733403; POINT_POSITION: (391.332, 317.659, 434.558); TOOL_DIRECTION: (0.00683788, 0.482126, -0.876075)
TIME_SPECIAL: 154874206408537; POINT_POSITION: (388.596, 316.772, 434.558); TOOL_DIRECTION: (0.00161968, 0.47025, -0.882532)
TIME_SPECIAL: 154874223052097; POINT_POSITION: (387.27, 314.929, 434.558); TOOL_DIRECTION: (-0.0014399, 0.410606, -0.911812)
TIME_SPECIAL: 154874239685418; POINT_POSITION: (387.975, 311.026, 434.558); TOOL_DIRECTION: (0.00204917, 0.343484, -0.939156)
TIME_SPECIAL: 154874256418293; POINT_POSITION: (388.061, 310.94, 434.558); TOOL_DIRECTION: (0.00400662, 0.330295, -0.943869)
TIME_SPECIAL: 154874273038245; POINT_POSITION: (386.678, 311.746, 434.558); TOOL_DIRECTION: (0.00355872, 0.339169, -0.940719)
TIME_SPECIAL: 154874289750356; POINT_POSITION: (386.673, 311.485, 434.558); TOOL_DIRECTION: (0.00634941, 0.329659, -0.944079)
TIME_SPECIAL: 154874306426627; POINT_POSITION: (386.556, 313.452, 434.558); TOOL_DIRECTION: (0.00748217, 0.351337, -0.936219)
TIME_SPECIAL: 154874323056535; POINT_POSITION: (385.796, 313.013, 434.558); TOOL_DIRECTION: (0.00484098, 0.373935, -0.927442)
TIME_SPECIAL: 154874339761250; POINT_POSITION: (385.016, 312.509, 434.558); TOOL_DIRECTION: (0.00242262, 0.382646, -0.923892)
TIME_SPECIAL: 154874356447193; POINT_POSITION: (383.437, 312.143, 434.558); TOOL_DIRECTION: (-0.00142179, 0.398399, -0.917211)
TIME_SPECIAL: 154874373094166; POINT_POSITION: (384.179, 310.416, 434.558); TOOL_DIRECTION: (0.00196691, 0.365389, -0.930853)
TIME_SPECIAL: 154874389835575; POINT_POSITION: (384.624, 308.849, 434.558); TOOL_DIRECTION: (0.0048797, 0.335168, -0.942146)
TIME_SPECIAL: 154874406479135; POINT_POSITION: (384.259, 309.297, 434.558); TOOL_DIRECTION: (0.00519459, 0.344553, -0.938753)
TIME_SPECIAL: 154874423100794; POINT_POSITION: (385.276, 309.522, 434.558); TOOL_DIRECTION: (0.00766203, 0.347724, -0.937566)
TIME_SPECIAL: 154874439817740; POINT_POSITION: (386.859, 308.125, 434.558); TOOL_DIRECTION: (0.0153921, 0.326452, -0.945089)
