PRACTICE_WORD_COUNT: 11
TIME_EXPERIMENT_START: 150356648210261
TIME_WORD_START: 150356650293515; WORD_VALUE: fit
TIME_SPECIAL: 150357360334947; POINT_POSITION: (468.447, 251.718, 263.303); TOOL_DIRECTION: (-0.25262, 0.486978, -0.836083)
TIME_SPECIAL: 150357376985903; POINT_POSITION: (467.708, 251.961, 262.893); TOOL_DIRECTION: (-0.253352, 0.486466, -0.83616)
TIME_SPECIAL: 150357393677534; POINT_POSITION: (466.828, 252.056, 262.313); TOOL_DIRECTION: (-0.253702, 0.485121, -0.836835)
TIME_SPECIAL: 150357410317113; POINT_POSITION: (465.785, 252.066, 261.327); TOOL_DIRECTION: (-0.254077, 0.483624, -0.837587)
TIME_SPECIAL: 150357426994522; POINT_POSITION: (464.004, 252.005, 259.612); TOOL_DIRECTION: (-0.255577, 0.481929, -0.838108)
TIME_SPECIAL: 150357443670793; POINT_POSITION: (461.253, 251.717, 257.305); TOOL_DIRECTION: (-0.256869, 0.479944, -0.838851)
TIME_SPECIAL: 150357460354175; POINT_POSITION: (458.292, 250.985, 255.355); TOOL_DIRECTION: (-0.258026, 0.478281, -0.839446)
TIME_SPECIAL: 150357477047229; POINT_POSITION: (456.876, 250.541, 254.31); TOOL_DIRECTION: (-0.258496, 0.476982, -0.84004)
TIME_SPECIAL: 150357493722647; POINT_POSITION: (453.057, 248.969, 250.43); TOOL_DIRECTION: (-0.260471, 0.470347, -0.843166)
TIME_SPECIAL: 150357510379292; POINT_POSITION: (446.905, 244.555, 242.334); TOOL_DIRECTION: (-0.263194, 0.458971, -0.848572)
TIME_SPECIAL: 150357527079456; POINT_POSITION: (440.181, 237.443, 231.122); TOOL_DIRECTION: (-0.264674, 0.44634, -0.854827)
TIME_SPECIAL: 150357543737239; POINT_POSITION: (435.225, 231.509, 221.6); TOOL_DIRECTION: (-0.26539, 0.434115, -0.860879)
TIME_SPECIAL: 150357560407821; POINT_POSITION: (431.914, 229.342, 216.665); TOOL_DIRECTION: (-0.266201, 0.433436, -0.860971)
TIME_SPECIAL: 150357577095755; POINT_POSITION: (428.299, 224.874, 207.996); TOOL_DIRECTION: (-0.266076, 0.423597, -0.865892)
TIME_SPECIAL: 150357593743297; POINT_POSITION: (424.991, 219.894, 198.482); TOOL_DIRECTION: (-0.264969, 0.410236, -0.872639)
TIME_SPECIAL: 150357610420422; POINT_POSITION: (421.684, 216.069, 190.782); TOOL_DIRECTION: (-0.264359, 0.399738, -0.877681)
TIME_SPECIAL: 150357627105227; POINT_POSITION: (416.665, 209.88, 182.277); TOOL_DIRECTION: (-0.264421, 0.386449, -0.883594)
TIME_SPECIAL: 150357643785196; POINT_POSITION: (411.076, 203.422, 172.753); TOOL_DIRECTION: (-0.26527, 0.373929, -0.888712)
TIME_SPECIAL: 150357660460045; POINT_POSITION: (405.445, 197.917, 165.147); TOOL_DIRECTION: (-0.266985, 0.362961, -0.892736)
TIME_SPECIAL: 150357677094788; POINT_POSITION: (403.038, 195.533, 161.277); TOOL_DIRECTION: (-0.267134, 0.357305, -0.894971)
TIME_SPECIAL: 150357693740055; POINT_POSITION: (397.933, 190.122, 154.478); TOOL_DIRECTION: (-0.267361, 0.346459, -0.899157)
TIME_SPECIAL: 150357710478619; POINT_POSITION: (393.089, 182.702, 145.841); TOOL_DIRECTION: (-0.266256, 0.333361, -0.904422)
TIME_SPECIAL: 150357727499918; POINT_POSITION: (387.598, 174.746, 137.699); TOOL_DIRECTION: (-0.267174, 0.31982, -0.909029)
TIME_SPECIAL: 150357743830593; POINT_POSITION: (382.007, 169.109, 131.693); TOOL_DIRECTION: (-0.267722, 0.311791, -0.911653)
TIME_SPECIAL: 150357760486669; POINT_POSITION: (376.5, 164.715, 126.522); TOOL_DIRECTION: (-0.268456, 0.304033, -0.914054)
TIME_SPECIAL: 150357777174033; POINT_POSITION: (371.496, 161.704, 122.785); TOOL_DIRECTION: (-0.268669, 0.298918, -0.915677)
TIME_SPECIAL: 150357793846038; POINT_POSITION: (366.959, 159.875, 119.574); TOOL_DIRECTION: (-0.268618, 0.295739, -0.916724)
TIME_SPECIAL: 150357810513491; POINT_POSITION: (361.681, 158.132, 117.872); TOOL_DIRECTION: (-0.269442, 0.293487, -0.917206)
TIME_SPECIAL: 150357827135150; POINT_POSITION: (358.109, 158.117, 114.895); TOOL_DIRECTION: (-0.270462, 0.292484, -0.917226)
TIME_SPECIAL: 150357843905856; POINT_POSITION: (354.199, 158.266, 111.597); TOOL_DIRECTION: (-0.270778, 0.291218, -0.917536)
TIME_SPECIAL: 150357860484848; POINT_POSITION: (350.63, 158.67, 108.976); TOOL_DIRECTION: (-0.270703, 0.289898, -0.917976)
TIME_SPECIAL: 150357877154577; POINT_POSITION: (348.64, 159.742, 105.889); TOOL_DIRECTION: (-0.269847, 0.288612, -0.918632)
TIME_SPECIAL: 150357893935523; POINT_POSITION: (346.352, 161.069, 103.432); TOOL_DIRECTION: (-0.269874, 0.287702, -0.91891)
TIME_SPECIAL: 150357910587902; POINT_POSITION: (345.543, 161.672, 102.182); TOOL_DIRECTION: (-0.269941, 0.287449, -0.918969)
TIME_SPECIAL: 150357927287497; POINT_POSITION: (346.26, 163.543, 98.9051); TOOL_DIRECTION: (-0.26684, 0.288365, -0.919588)
TIME_SPECIAL: 150357943929920; POINT_POSITION: (349.859, 164.808, 88.6274); TOOL_DIRECTION: (-0.257793, 0.28534, -0.923106)
TIME_SPECIAL: 150357960525125; POINT_POSITION: (352.825, 164.573, 75.0561); TOOL_DIRECTION: (-0.248783, 0.277871, -0.927844)
TIME_SPECIAL: 150357977257716; POINT_POSITION: (349.798, 166.44, 66.0411); TOOL_DIRECTION: (-0.249506, 0.274381, -0.928688)
TIME_SPECIAL: 150357993917490; POINT_POSITION: (345.93, 171.065, 58.9089); TOOL_DIRECTION: (-0.251746, 0.275416, -0.927777)
TIME_SPECIAL: 150358010561619; POINT_POSITION: (344.494, 173.849, 56.0513); TOOL_DIRECTION: (-0.25237, 0.277148, -0.927091)
TIME_SPECIAL: 150358027329765; POINT_POSITION: (343.861, 176.79, 53.5025); TOOL_DIRECTION: (-0.251743, 0.279515, -0.926551)
TIME_SPECIAL: 150358043978161; POINT_POSITION: (342.004, 181.751, 49.7952); TOOL_DIRECTION: (-0.252062, 0.284052, -0.925083)
TIME_SPECIAL: 150358060615748; POINT_POSITION: (340.727, 186.931, 47.7563); TOOL_DIRECTION: (-0.252206, 0.290621, -0.923002)
TIME_SPECIAL: 150358077312215; POINT_POSITION: (339.473, 189.998, 46.2309); TOOL_DIRECTION: (-0.252868, 0.294601, -0.921557)
TIME_SPECIAL: 150358093970851; POINT_POSITION: (338.622, 191.132, 44.3248); TOOL_DIRECTION: (-0.253044, 0.295504, -0.92122)
TIME_SPECIAL: 150358110700313; POINT_POSITION: (337.415, 191.305, 42.4827); TOOL_DIRECTION: (-0.254058, 0.294684, -0.921203)
TIME_PRESSED: 150358110784223; KEY_PRESSED: VK_F; KEY_EXPECTED: VK_F
TIME_SPECIAL: 150358127422380; POINT_POSITION: (336.417, 191.327, 41.8441); TOOL_DIRECTION: (-0.255437, 0.294169, -0.920987)
TIME_SPECIAL: 150358144075042; POINT_POSITION: (334.434, 191.786, 40.9075); TOOL_DIRECTION: (-0.258935, 0.293637, -0.920179)
TIME_SPECIAL: 150358160729696; POINT_POSITION: (334.536, 192.056, 37.739); TOOL_DIRECTION: (-0.261628, 0.289768, -0.920644)
TIME_SPECIAL: 150358177361879; POINT_POSITION: (341.986, 195.049, 34.963); TOOL_DIRECTION: (-0.259408, 0.28773, -0.92191)
TIME_SPECIAL: 150358194059768; POINT_POSITION: (353.053, 198.07, 33.6671); TOOL_DIRECTION: (-0.25378, 0.287323, -0.923602)
TIME_SPECIAL: 150358210786670; POINT_POSITION: (367.016, 201.36, 32.3509); TOOL_DIRECTION: (-0.244905, 0.285665, -0.926508)
TIME_SPECIAL: 150358227416292; POINT_POSITION: (382.619, 205.65, 28.8707); TOOL_DIRECTION: (-0.234025, 0.282422, -0.930306)
TIME_SPECIAL: 150358244062128; POINT_POSITION: (398.29, 212.918, 25.644); TOOL_DIRECTION: (-0.224956, 0.288107, -0.9308)
TIME_SPECIAL: 150358260771395; POINT_POSITION: (413.459, 219.861, 19.3483); TOOL_DIRECTION: (-0.217374, 0.289906, -0.932042)
TIME_SPECIAL: 150358277441693; POINT_POSITION: (432.104, 229.07, 13.0031); TOOL_DIRECTION: (-0.207063, 0.29552, -0.932627)
TIME_SPECIAL: 150358294132187; POINT_POSITION: (447.668, 237.31, 4.98112); TOOL_DIRECTION: (-0.200995, 0.298887, -0.932881)
TIME_SPECIAL: 150358310793098; POINT_POSITION: (462.115, 243.67, 0); TOOL_DIRECTION: (-0.198698, 0.29996, -0.933029)
TIME_SPECIAL: 150358327421583; POINT_POSITION: (470.647, 252.335, 0); TOOL_DIRECTION: (-0.197173, 0.305113, -0.931681)
TIME_SPECIAL: 150358344150476; POINT_POSITION: (481.299, 255.64, 0); TOOL_DIRECTION: (-0.194588, 0.306268, -0.931845)
TIME_SPECIAL: 150358360813094; POINT_POSITION: (499.464, 263.945, 0); TOOL_DIRECTION: (-0.189176, 0.31307, -0.930698)
TIME_SPECIAL: 150358377531748; POINT_POSITION: (516.662, 265.757, 0); TOOL_DIRECTION: (-0.183382, 0.316729, -0.93062)
TIME_SPECIAL: 150358394208019; POINT_POSITION: (533.725, 268.021, 0); TOOL_DIRECTION: (-0.177426, 0.31643, -0.931875)
TIME_SPECIAL: 150358410836504; POINT_POSITION: (550.354, 271.43, 0); TOOL_DIRECTION: (-0.171484, 0.317872, -0.932497)
TIME_PRESSED: 150358410894530; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 150358427561984; POINT_POSITION: (562.454, 271.848, 0); TOOL_DIRECTION: (-0.168005, 0.317253, -0.933341)
TIME_SPECIAL: 150358444179376; POINT_POSITION: (573.427, 271.724, 0); TOOL_DIRECTION: (-0.16395, 0.3186, -0.933603)
TIME_SPECIAL: 150358460890918; POINT_POSITION: (584.423, 270.684, 0.297275); TOOL_DIRECTION: (-0.160488, 0.317787, -0.934481)
TIME_SPECIAL: 150358477498354; POINT_POSITION: (596.781, 271.746, 1.12749); TOOL_DIRECTION: (-0.154497, 0.317343, -0.935641)
TIME_SPECIAL: 150358494238056; POINT_POSITION: (604.714, 271.47, 3.00511); TOOL_DIRECTION: (-0.149835, 0.316355, -0.936733)
TIME_SPECIAL: 150358510913758; POINT_POSITION: (610.731, 273.06, 3.66055); TOOL_DIRECTION: (-0.147169, 0.318683, -0.936367)
TIME_SPECIAL: 150358527568697; POINT_POSITION: (613.072, 274.09, 3.52864); TOOL_DIRECTION: (-0.146759, 0.320162, -0.935926)
TIME_SPECIAL: 150358544255208; POINT_POSITION: (613.599, 275.309, 3.58979); TOOL_DIRECTION: (-0.147145, 0.322792, -0.934962)
TIME_SPECIAL: 150358560900475; POINT_POSITION: (613.824, 276.032, 3.62292); TOOL_DIRECTION: (-0.147487, 0.324636, -0.934269)
TIME_SPECIAL: 150358577604053; POINT_POSITION: (614.985, 277.655, 4.2397); TOOL_DIRECTION: (-0.145687, 0.330024, -0.932663)
TIME_SPECIAL: 150358594247044; POINT_POSITION: (615.256, 278.599, 4.86277); TOOL_DIRECTION: (-0.14487, 0.333521, -0.931545)
TIME_SPECIAL: 150358610920756; POINT_POSITION: (615.505, 279.186, 5.32859); TOOL_DIRECTION: (-0.141783, 0.336324, -0.931012)
TIME_SPECIAL: 150358627640831; POINT_POSITION: (615.553, 278.515, 5.09012); TOOL_DIRECTION: (-0.137103, 0.335441, -0.932031)
TIME_SPECIAL: 150358644268178; POINT_POSITION: (614.272, 276.33, 5.41776); TOOL_DIRECTION: (-0.132189, 0.331557, -0.934129)
TIME_SPECIAL: 150358660970334; POINT_POSITION: (607.777, 277.277, 2.51934); TOOL_DIRECTION: (-0.131357, 0.331961, -0.934102)
TIME_SPECIAL: 150358677642339; POINT_POSITION: (595.079, 277.616, 0); TOOL_DIRECTION: (-0.134178, 0.3306, -0.934184)
TIME_SPECIAL: 150358694293579; POINT_POSITION: (577.754, 278.714, 0); TOOL_DIRECTION: (-0.142765, 0.327312, -0.934069)
TIME_SPECIAL: 150358710985210; POINT_POSITION: (560.238, 281.253, 0); TOOL_DIRECTION: (-0.149291, 0.326354, -0.933384)
TIME_SPECIAL: 150358727604878; POINT_POSITION: (545.321, 284.603, 0); TOOL_DIRECTION: (-0.152465, 0.327961, -0.932307)
TIME_SPECIAL: 150358744328935; POINT_POSITION: (531.15, 286.106, 0); TOOL_DIRECTION: (-0.152506, 0.328497, -0.932111)
TIME_SPECIAL: 150358760985864; POINT_POSITION: (521.545, 288.942, 0); TOOL_DIRECTION: (-0.152413, 0.327393, -0.932515)
TIME_SPECIAL: 150358777793832; POINT_POSITION: (515.264, 291.109, 0); TOOL_DIRECTION: (-0.153275, 0.3277, -0.932266)
TIME_SPECIAL: 150358794334140; POINT_POSITION: (495.411, 290.004, 0); TOOL_DIRECTION: (-0.158672, 0.323198, -0.932934)
TIME_SPECIAL: 150358811088633; POINT_POSITION: (477.443, 291.344, 0); TOOL_DIRECTION: (-0.167983, 0.318426, -0.932945)
TIME_SPECIAL: 150358827693510; POINT_POSITION: (467.835, 283.167, 0); TOOL_DIRECTION: (-0.174593, 0.312869, -0.933611)
TIME_PRESSED: 150358827752105; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 150358844407896; POINT_POSITION: (456.86, 275.915, 0); TOOL_DIRECTION: (-0.179408, 0.308096, -0.934286)
TIME_SPECIAL: 150358860996844; POINT_POSITION: (447.965, 268.825, 0); TOOL_DIRECTION: (-0.182448, 0.302493, -0.935527)
TIME_SPECIAL: 150358877758163; POINT_POSITION: (437.237, 265.674, 2.29236); TOOL_DIRECTION: (-0.184205, 0.302899, -0.935051)
TIME_SPECIAL: 150358894370151; POINT_POSITION: (425.631, 264.678, 7.67532); TOOL_DIRECTION: (-0.185923, 0.30109, -0.935295)
TIME_SPECIAL: 150358911021107; POINT_POSITION: (417.332, 263.635, 15.3259); TOOL_DIRECTION: (-0.189816, 0.302341, -0.934109)
TIME_SPECIAL: 150358927694249; POINT_POSITION: (407.62, 263.545, 19.0262); TOOL_DIRECTION: (-0.19525, 0.302534, -0.932926)
TIME_SPECIAL: 150358944415462; POINT_POSITION: (400.411, 262.973, 20.7494); TOOL_DIRECTION: (-0.198051, 0.299407, -0.933344)
TIME_SPECIAL: 150358961016641; POINT_POSITION: (395.602, 263.01, 21.5258); TOOL_DIRECTION: (-0.199241, 0.297658, -0.93365)
TIME_SPECIAL: 150358977747525; POINT_POSITION: (394.9, 262.791, 22.2381); TOOL_DIRECTION: (-0.197909, 0.29661, -0.934267)
TIME_SPECIAL: 150358994354677; POINT_POSITION: (392.204, 263.656, 24.0625); TOOL_DIRECTION: (-0.198932, 0.297432, -0.933788)
TIME_SPECIAL: 150359011111446; POINT_POSITION: (391.584, 264.264, 23.8953); TOOL_DIRECTION: (-0.19664, 0.297022, -0.934404)
TIME_SPECIAL: 150359027729122; POINT_POSITION: (390.474, 264.551, 24.2987); TOOL_DIRECTION: (-0.196486, 0.297014, -0.934439)
TIME_SPECIAL: 150359044445215; POINT_POSITION: (389.641, 264.416, 25.5301); TOOL_DIRECTION: (-0.197995, 0.297336, -0.934018)
TIME_SPECIAL: 150359061100722; POINT_POSITION: (389.901, 264.315, 25.9153); TOOL_DIRECTION: (-0.197605, 0.297336, -0.9341)
TIME_SPECIAL: 150359077801456; POINT_POSITION: (390.718, 265.471, 25.2411); TOOL_DIRECTION: (-0.19586, 0.298843, -0.933987)
TIME_SPECIAL: 150359094462936; POINT_POSITION: (389.861, 266.206, 25.013); TOOL_DIRECTION: (-0.197094, 0.299841, -0.933407)
TIME_SPECIAL: 150359111112754; POINT_POSITION: (389.757, 266.574, 24.9429); TOOL_DIRECTION: (-0.197257, 0.300371, -0.933203)
TIME_SPECIAL: 150359127808083; POINT_POSITION: (389.103, 266.794, 24.9451); TOOL_DIRECTION: (-0.198444, 0.300607, -0.932875)
TIME_SPECIAL: 150359144500568; POINT_POSITION: (388.583, 267.031, 24.398); TOOL_DIRECTION: (-0.199887, 0.300486, -0.932606)
TIME_SPECIAL: 150359161162332; POINT_POSITION: (388.504, 262.874, 23.8571); TOOL_DIRECTION: (-0.200824, 0.292441, -0.934959)
TIME_SPECIAL: 150359177888665; POINT_POSITION: (386.928, 259.67, 30.4046); TOOL_DIRECTION: (-0.20442, 0.290585, -0.934758)
TIME_SPECIAL: 150359194517719; POINT_POSITION: (387.207, 260.222, 38.5612); TOOL_DIRECTION: (-0.205674, 0.295756, -0.932859)
TIME_SPECIAL: 150359211225848; POINT_POSITION: (388.308, 264.485, 58.3086); TOOL_DIRECTION: (-0.207476, 0.3135, -0.926645)
TIME_PRESSED: 150359211300941; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 150359211388265; WORD_VALUE: fit
TIME_WORD_START: 150359211446860; WORD_VALUE: tim
TIME_SPECIAL: 150359228240890; POINT_POSITION: (390.162, 268.887, 81.8938); TOOL_DIRECTION: (-0.208101, 0.334485, -0.919137)
TIME_SPECIAL: 150359244500169; POINT_POSITION: (391.915, 272.883, 108.168); TOOL_DIRECTION: (-0.208474, 0.357319, -0.910418)
TIME_SPECIAL: 150359261158521; POINT_POSITION: (392.53, 273.933, 137.287); TOOL_DIRECTION: (-0.210652, 0.378184, -0.901445)
TIME_SPECIAL: 150359277840481; POINT_POSITION: (391.363, 273.096, 168.326); TOOL_DIRECTION: (-0.215456, 0.398201, -0.891636)
TIME_SPECIAL: 150359294550032; POINT_POSITION: (388.017, 271.03, 201.773); TOOL_DIRECTION: (-0.22395, 0.418709, -0.880073)
TIME_SPECIAL: 150359311189326; POINT_POSITION: (385.328, 264.415, 232.266); TOOL_DIRECTION: (-0.230994, 0.43162, -0.871978)
TIME_SPECIAL: 150359327887215; POINT_POSITION: (382.608, 257.097, 260.852); TOOL_DIRECTION: (-0.237782, 0.442676, -0.864579)
TIME_SPECIAL: 150359344525086; POINT_POSITION: (382.605, 250.162, 286.925); TOOL_DIRECTION: (-0.24015, 0.453396, -0.858347)
TIME_SPECIAL: 150359361202211; POINT_POSITION: (384.734, 242.072, 309.524); TOOL_DIRECTION: (-0.238911, 0.460908, -0.854684)
TIME_SPECIAL: 150359377904651; POINT_POSITION: (387.843, 233.96, 329.615); TOOL_DIRECTION: (-0.23566, 0.467196, -0.852169)
TIME_SPECIAL: 150359394574380; POINT_POSITION: (390.736, 225.816, 347.815); TOOL_DIRECTION: (-0.232182, 0.47253, -0.850181)
TIME_SPECIAL: 150359411237283; POINT_POSITION: (391.847, 218.71, 365.763); TOOL_DIRECTION: (-0.231454, 0.479376, -0.846539)
TIME_SPECIAL: 150359427943705; POINT_POSITION: (392.263, 214.785, 373.557); TOOL_DIRECTION: (-0.231117, 0.481714, -0.845302)
TIME_SPECIAL: 150359444639318; POINT_POSITION: (392.944, 207.037, 387.696); TOOL_DIRECTION: (-0.230542, 0.486236, -0.842867)
TIME_SPECIAL: 150359461267519; POINT_POSITION: (394.294, 197.767, 398.266); TOOL_DIRECTION: (-0.228248, 0.487319, -0.842866)
TIME_SPECIAL: 150359477927862; POINT_POSITION: (394.618, 189.001, 407.661); TOOL_DIRECTION: (-0.227698, 0.488662, -0.842237)
TIME_SPECIAL: 150359494559475; POINT_POSITION: (393.716, 180.139, 415.499); TOOL_DIRECTION: (-0.229558, 0.488893, -0.841598)
TIME_SPECIAL: 150359511267035; POINT_POSITION: (394.694, 170.039, 419.703); TOOL_DIRECTION: (-0.22821, 0.48717, -0.842962)
TIME_SPECIAL: 150359527982560; POINT_POSITION: (396.682, 162.783, 423.454); TOOL_DIRECTION: (-0.226478, 0.48981, -0.841899)
TIME_SPECIAL: 150359544633516; POINT_POSITION: (398.781, 154.642, 422.907); TOOL_DIRECTION: (-0.226484, 0.489088, -0.842317)
TIME_SPECIAL: 150359561254605; POINT_POSITION: (401.247, 149.031, 418.775); TOOL_DIRECTION: (-0.226884, 0.482946, -0.845746)
TIME_SPECIAL: 150359577926894; POINT_POSITION: (403.023, 146.589, 414.214); TOOL_DIRECTION: (-0.226694, 0.477866, -0.848678)
TIME_SPECIAL: 150359594637299; POINT_POSITION: (405.063, 145.83, 409.174); TOOL_DIRECTION: (-0.225761, 0.47417, -0.850997)
TIME_SPECIAL: 150359611343437; POINT_POSITION: (408.078, 144.665, 403.153); TOOL_DIRECTION: (-0.222534, 0.467368, -0.855597)
TIME_SPECIAL: 150359628025112; POINT_POSITION: (409.694, 144.564, 399.986); TOOL_DIRECTION: (-0.222062, 0.465041, -0.856986)
TIME_SPECIAL: 150359644679482; POINT_POSITION: (410.849, 145.906, 399.032); TOOL_DIRECTION: (-0.221026, 0.46771, -0.855801)
TIME_SPECIAL: 150359661376802; POINT_POSITION: (410.62, 147.201, 396.384); TOOL_DIRECTION: (-0.223503, 0.468899, -0.854506)
TIME_SPECIAL: 150359677996185; POINT_POSITION: (412.671, 148.31, 390.571); TOOL_DIRECTION: (-0.222149, 0.467622, -0.855558)
TIME_SPECIAL: 150359694709718; POINT_POSITION: (413.65, 150.215, 384.713); TOOL_DIRECTION: (-0.222221, 0.466343, -0.856237)
