PRACTICE_WORD_COUNT: 12
TIME_EXPERIMENT_START: 151965488102355
TIME_WORD_START: 151965488818581; WORD_VALUE: fir
TIME_SPECIAL: 151967600551135; POINT_POSITION: (302.341, 233.397, 126.937); TOOL_DIRECTION: (0.0123528, -0.388341, -0.921433)
TIME_SPECIAL: 151967617266659; POINT_POSITION: (302.493, 233.423, 126.109); TOOL_DIRECTION: (0.0104435, -0.38409, -0.923237)
TIME_SPECIAL: 151967633917899; POINT_POSITION: (308.75, 230.207, 126.983); TOOL_DIRECTION: (0.0204019, -0.397118, -0.917541)
TIME_SPECIAL: 151967650638259; POINT_POSITION: (314.749, 226.786, 130.818); TOOL_DIRECTION: (0.0226353, -0.410316, -0.911662)
TIME_SPECIAL: 151967667235171; POINT_POSITION: (320.592, 225.369, 130.644); TOOL_DIRECTION: (0.0241791, -0.411587, -0.91105)
TIME_SPECIAL: 151967684027495; POINT_POSITION: (326.362, 224.259, 130.464); TOOL_DIRECTION: (0.0229131, -0.396862, -0.917592)
TIME_SPECIAL: 151967700648015; POINT_POSITION: (331.809, 221.034, 133.586); TOOL_DIRECTION: (0.0275183, -0.422176, -0.906096)
TIME_SPECIAL: 151967717310918; POINT_POSITION: (334.642, 220.286, 132.359); TOOL_DIRECTION: (0.0272112, -0.4202, -0.907023)
TIME_SPECIAL: 151967734000843; POINT_POSITION: (338.725, 219.215, 129.81); TOOL_DIRECTION: (0.0304847, -0.423292, -0.90548)
TIME_SPECIAL: 151967750690483; POINT_POSITION: (343.494, 218.298, 128.492); TOOL_DIRECTION: (0.0305274, -0.426362, -0.904037)
TIME_SPECIAL: 151967767307590; POINT_POSITION: (346.469, 217.225, 128.265); TOOL_DIRECTION: (0.0278941, -0.430864, -0.901986)
TIME_SPECIAL: 151967784021408; POINT_POSITION: (347.887, 216.833, 126.067); TOOL_DIRECTION: (0.0286758, -0.431765, -0.90153)
TIME_SPECIAL: 151967800682888; POINT_POSITION: (349.248, 216.38, 122.799); TOOL_DIRECTION: (0.0283721, -0.431288, -0.901768)
TIME_SPECIAL: 151967817363426; POINT_POSITION: (350.798, 215.533, 119.422); TOOL_DIRECTION: (0.0274162, -0.431169, -0.901855)
TIME_SPECIAL: 151967834059324; POINT_POSITION: (352.133, 215.143, 118.47); TOOL_DIRECTION: (0.0277688, -0.42942, -0.902678)
TIME_SPECIAL: 151967850723364; POINT_POSITION: (356.509, 213.564, 120.206); TOOL_DIRECTION: (0.0272176, -0.421813, -0.906274)
TIME_SPECIAL: 151967867342747; POINT_POSITION: (359.673, 212.521, 120.207); TOOL_DIRECTION: (0.0292471, -0.420401, -0.906867)
TIME_SPECIAL: 151967884080174; POINT_POSITION: (363.096, 210.009, 122.466); TOOL_DIRECTION: (0.0307116, -0.434428, -0.900183)
TIME_SPECIAL: 151967900737672; POINT_POSITION: (365.678, 208.063, 123.926); TOOL_DIRECTION: (0.0316426, -0.442059, -0.896428)
TIME_SPECIAL: 151967917421338; POINT_POSITION: (367.079, 206.856, 122.406); TOOL_DIRECTION: (0.0302338, -0.447122, -0.893962)
TIME_SPECIAL: 151967934027353; POINT_POSITION: (369.856, 204.84, 120.516); TOOL_DIRECTION: (0.0339429, -0.458782, -0.8879)
TIME_SPECIAL: 151967950755108; POINT_POSITION: (372.247, 203.105, 118.319); TOOL_DIRECTION: (0.0361473, -0.467108, -0.883461)
TIME_SPECIAL: 151967967379042; POINT_POSITION: (374.362, 202.003, 114.693); TOOL_DIRECTION: (0.0372091, -0.469003, -0.882412)
TIME_SPECIAL: 151967984095420; POINT_POSITION: (376.306, 201.468, 112.9); TOOL_DIRECTION: (0.035671, -0.464586, -0.884809)
TIME_SPECIAL: 151968000786482; POINT_POSITION: (378.403, 200.431, 112.483); TOOL_DIRECTION: (0.0346263, -0.46343, -0.885457)
TIME_SPECIAL: 151968017475269; POINT_POSITION: (381.915, 199.382, 113.57); TOOL_DIRECTION: (0.0366272, -0.459563, -0.887389)
TIME_SPECIAL: 151968034150402; POINT_POSITION: (384.886, 198.082, 116.961); TOOL_DIRECTION: (0.0360751, -0.455032, -0.889744)
TIME_SPECIAL: 151968050818709; POINT_POSITION: (386.016, 197.827, 117.09); TOOL_DIRECTION: (0.0357939, -0.451123, -0.891744)
TIME_SPECIAL: 151968067490998; POINT_POSITION: (387.634, 196.869, 117.876); TOOL_DIRECTION: (0.032587, -0.446031, -0.894424)
TIME_SPECIAL: 151968084153616; POINT_POSITION: (391.296, 193.23, 124.959); TOOL_DIRECTION: (0.0351806, -0.464979, -0.884623)
TIME_SPECIAL: 151968100766457; POINT_POSITION: (393.547, 191.985, 124.652); TOOL_DIRECTION: (0.0359949, -0.469571, -0.882161)
