PRACTICE_WORD_COUNT: 5
TIME_EXPERIMENT_START: 153168113736448
TIME_WORD_START: 153168114624476; WORD_VALUE: rube
TIME_SPECIAL: 153168824010269; POINT_POSITION: (395.506, 240.775, 123.671); TOOL_DIRECTION: (-0.255441, 0.0121227, -0.966749)
TIME_SPECIAL: 153168840407787; POINT_POSITION: (394.868, 241.067, 123.302); TOOL_DIRECTION: (-0.255592, 0.0143203, -0.966679)
TIME_SPECIAL: 153168857052485; POINT_POSITION: (392.832, 242.305, 122.741); TOOL_DIRECTION: (-0.255895, 0.0245295, -0.966393)
TIME_SPECIAL: 153168873740988; POINT_POSITION: (388.474, 243.551, 122.715); TOOL_DIRECTION: (-0.258055, 0.0288604, -0.965699)
TIME_SPECIAL: 153168890444565; POINT_POSITION: (382.158, 244.742, 123.472); TOOL_DIRECTION: (-0.260687, 0.0313888, -0.964913)
TIME_SPECIAL: 153168907078739; POINT_POSITION: (373.241, 245.864, 123.738); TOOL_DIRECTION: (-0.26466, 0.0362526, -0.96366)
TIME_SPECIAL: 153168923789144; POINT_POSITION: (364.868, 246.41, 124.381); TOOL_DIRECTION: (-0.264425, 0.0312116, -0.963901)
TIME_SPECIAL: 153168940481913; POINT_POSITION: (357.276, 247.03, 124.903); TOOL_DIRECTION: (-0.266507, 0.0322771, -0.963292)
TIME_SPECIAL: 153168957120069; POINT_POSITION: (351.432, 247.941, 125.891); TOOL_DIRECTION: (-0.26753, 0.0323966, -0.963005)
TIME_SPECIAL: 153168973813691; POINT_POSITION: (345.564, 248.48, 126.016); TOOL_DIRECTION: (-0.267469, 0.0325218, -0.963017)
TIME_SPECIAL: 153168990473180; POINT_POSITION: (339.856, 249.268, 126.359); TOOL_DIRECTION: (-0.269405, 0.0343461, -0.962414)
TIME_SPECIAL: 153169007126127; POINT_POSITION: (333.349, 249.09, 126.144); TOOL_DIRECTION: (-0.271951, 0.0328771, -0.961749)
TIME_SPECIAL: 153169023865829; POINT_POSITION: (329.672, 249.172, 126.263); TOOL_DIRECTION: (-0.273703, 0.0341824, -0.961207)
TIME_SPECIAL: 153169040500288; POINT_POSITION: (324.854, 249.222, 127.022); TOOL_DIRECTION: (-0.275728, 0.0347913, -0.960606)
TIME_SPECIAL: 153169057156364; POINT_POSITION: (320.203, 248.899, 127.141); TOOL_DIRECTION: (-0.277574, 0.0333835, -0.960124)
TIME_SPECIAL: 153169073859372; POINT_POSITION: (316.973, 249.279, 126.818); TOOL_DIRECTION: (-0.276584, 0.0316206, -0.960469)
TIME_SPECIAL: 153169090537066; POINT_POSITION: (313.551, 249.693, 126.678); TOOL_DIRECTION: (-0.276893, 0.0295039, -0.960448)
TIME_SPECIAL: 153169107200822; POINT_POSITION: (310.161, 250.844, 126.843); TOOL_DIRECTION: (-0.279304, 0.0354351, -0.959549)
TIME_SPECIAL: 153169123852062; POINT_POSITION: (307.763, 250.784, 127.22); TOOL_DIRECTION: (-0.280177, 0.0356952, -0.959284)
TIME_SPECIAL: 153169140526343; POINT_POSITION: (306.114, 250.68, 127.009); TOOL_DIRECTION: (-0.280272, 0.0358709, -0.95925)
TIME_SPECIAL: 153169157165636; POINT_POSITION: (304.86, 251.031, 126.979); TOOL_DIRECTION: (-0.281018, 0.0379871, -0.95895)
TIME_SPECIAL: 153169173821997; POINT_POSITION: (304.986, 251.114, 127.07); TOOL_DIRECTION: (-0.28004, 0.0373015, -0.959263)
